first_dataset,cifar10
first_model,wideresnet
mng_dataset,cifar10
mng_model,wideresnet
first_model_load_path,models/wide-vgg-c10-epbatchDiff.pt
mng_load_data_path,
mng_save_data,True
batch_size,128
n_epochs,300
learning_rate,0.1
data_augmentation,True
save_models,True
cutout,False
cutout_n_holes,1
cutout_len,16
seed,0
mango,True
mng_n_branches,4
mng_init_len,16
n_workers,2
experiment_type,orignewcutout
device,cuda:0
""
epoch,train_acc,test_acc
1,  38.062,  41.660
2,  54.598,  59.580
3,  61.686,  65.220
4,  65.522,  61.210
5,  68.836,  63.580
6,  71.214,  66.500
7,  73.088,  71.510
8,  74.618,  66.510
9,  76.068,  72.600
10,  76.694,  75.390
11,  78.050,  73.220
12,  78.818,  71.100
13,  79.374,  74.650
14,  80.148,  68.130
15,  81.042,  76.200
16,  81.562,  77.920
17,  81.752,  76.230
18,  82.372,  74.550
19,  82.890,  70.030
20,  83.332,  76.200
21,  83.438,  82.330
22,  83.808,  74.660
23,  84.324,  79.240
24,  84.274,  81.770
25,  84.830,  77.680
26,  85.036,  82.640
27,  85.184,  76.440
28,  85.648,  79.140
29,  85.650,  79.840
30,  85.626,  78.990
31,  86.166,  79.670
32,  86.196,  76.260
33,  86.382,  78.400
34,  86.604,  79.780
35,  86.398,  77.130
36,  86.710,  68.410
37,  86.616,  78.590
38,  87.228,  76.440
39,  86.920,  78.260
40,  87.048,  79.310
41,  86.638,  77.390
42,  87.174,  72.810
43,  87.170,  79.420
44,  87.378,  78.320
45,  87.612,  78.010
46,  87.658,  78.350
47,  87.562,  79.910
48,  87.648,  80.650
49,  87.436,  76.650
50,  87.628,  81.620
51,  87.774,  71.850
52,  87.954,  76.960
53,  87.976,  79.090
54,  87.866,  69.300
55,  87.952,  80.730
56,  87.960,  80.670
57,  87.904,  74.960
58,  87.986,  76.890
59,  88.074,  80.490
60,  88.478,  79.570
61,  96.618,  87.620
62,  99.208,  87.850
63,  99.562,  86.940
64,  99.676,  87.920
65,  99.770,  87.470
66,  99.820,  87.930
67,  99.812,  87.900
68,  99.826,  87.680
69,  99.794,  87.570
70,  99.772,  87.270
71,  99.660,  87.700
72,  99.338,  86.360
73,  99.038,  84.150
74,  98.522,  84.950
75,  98.318,  82.580
76,  97.844,  84.770
77,  97.656,  84.340
78,  97.856,  84.470
79,  97.848,  85.030
80,  97.958,  85.440
81,  97.732,  84.990
82,  97.892,  82.820
83,  97.964,  84.730
84,  97.862,  84.510
85,  97.762,  83.950
86,  98.020,  84.350
87,  97.864,  84.820
88,  97.878,  82.590
89,  97.736,  84.840
90,  97.958,  84.710
91,  97.680,  84.350
92,  97.928,  85.360
93,  97.784,  83.520
94,  98.108,  83.450
95,  97.986,  84.710
96,  97.902,  83.010
97,  98.018,  85.100
98,  97.772,  85.090
99,  98.038,  83.360
100,  97.808,  83.710
101,  97.962,  84.090
102,  98.278,  83.860
103,  98.006,  84.720
104,  97.920,  83.090
105,  97.884,  85.130
106,  98.084,  83.800
107,  97.918,  83.410
108,  98.006,  84.460
109,  97.886,  82.040
110,  97.992,  85.180
111,  98.028,  84.200
112,  98.044,  82.100
113,  98.166,  85.450
114,  97.888,  85.210
115,  97.974,  84.470
116,  97.538,  83.980
117,  97.910,  83.470
118,  98.206,  81.610
119,  97.888,  83.570
120,  97.976,  82.070
121,  99.456,  87.810
122,  99.884,  88.110
123,  99.958,  88.080
124,  99.968,  88.350
125,  99.978,  88.360
126,  99.988,  88.290
127,  99.978,  88.440
128,  99.980,  88.500
129,  99.988,  88.370
130,  99.988,  88.490
131,  99.994,  88.480
132,  99.994,  88.590
133,  100.000,  88.510
134,  99.992,  88.530
135,  99.986,  88.550
136,  99.998,  88.590
137,  99.988,  88.560
138,  99.990,  88.820
139,  99.994,  88.600
140,  99.998,  88.560
141,  99.998,  88.610
142,  99.996,  88.780
143,  99.996,  88.660
144,  99.998,  88.500
145,  99.998,  88.710
146,  100.000,  88.660
147,  99.994,  88.620
148,  99.994,  88.730
149,  99.996,  88.720
150,  99.992,  88.900
151,  99.994,  88.940
152,  99.994,  88.820
153,  100.000,  88.520
154,  100.000,  88.530
155,  99.998,  88.730
156,  99.998,  88.600
157,  99.996,  88.610
158,  100.000,  88.860
159,  100.000,  88.610
160,  99.996,  88.720
161,  99.998,  88.680
162,  99.994,  88.580
163,  99.998,  88.760
164,  99.998,  88.680
165,  100.000,  88.580
166,  99.996,  88.730
167,  100.000,  88.620
168,  100.000,  88.670
169,  100.000,  88.720
170,  99.998,  88.570
171,  100.000,  88.760
172,  100.000,  88.750
173,  99.998,  88.690
174,  100.000,  88.820
175,  99.996,  88.780
176,  99.996,  88.790
177,  100.000,  88.770
178,  99.998,  88.820
179,  99.996,  88.660
180,  99.996,  88.740
181,  99.998,  88.770
182,  99.998,  88.800
183,  100.000,  88.780
184,  100.000,  88.630
185,  100.000,  88.820
186,  99.998,  88.700
187,  99.998,  88.690
188,  100.000,  88.760
189,  100.000,  88.780
190,  100.000,  88.460
191,  100.000,  88.760
192,  100.000,  88.660
193,  99.996,  88.750
194,  100.000,  88.880
195,  100.000,  88.560
196,  100.000,  88.750
197,  99.996,  88.680
198,  99.998,  88.700
199,  100.000,  88.730
200,  100.000,  88.720
201,  100.000,  88.660
202,  100.000,  88.770
203,  100.000,  88.590
204,  100.000,  88.560
205,  100.000,  88.730
206,  99.998,  88.590
207,  99.998,  88.620
208,  99.998,  88.660
209,  100.000,  88.750
210,  99.998,  88.670
211,  100.000,  88.580
212,  100.000,  88.890
213,  100.000,  88.660
214,  99.998,  88.590
215,  99.998,  88.840
216,  99.998,  88.660
217,  100.000,  88.730
218,  99.998,  88.750
219,  99.998,  88.790
220,  99.998,  88.590
221,  100.000,  88.690
222,  100.000,  88.650
223,  99.992,  88.520
224,  100.000,  88.560
225,  100.000,  88.600
226,  100.000,  88.800
227,  100.000,  88.630
228,  100.000,  88.610
229,  99.998,  88.710
230,  100.000,  88.680
231,  100.000,  88.670
232,  100.000,  88.600
233,  99.998,  88.620
234,  99.998,  88.560
235,  100.000,  88.520
236,  99.998,  88.670
237,  99.998,  88.720
238,  99.996,  88.730
239,  99.998,  88.720
240,  100.000,  88.680
241,  100.000,  88.770
242,  100.000,  88.680
243,  99.998,  88.590
244,  99.998,  88.790
245,  99.998,  88.700
246,  100.000,  88.700
247,  100.000,  88.670
248,  100.000,  88.690
249,  100.000,  88.400
250,  99.998,  88.580
251,  99.998,  88.680
252,  99.996,  88.620
253,  99.998,  88.620
254,  99.998,  88.520
255,  100.000,  88.410
256,  100.000,  88.640
257,  99.996,  88.520
258,  100.000,  88.650
259,  100.000,  88.550
260,  99.996,  88.570
261,  100.000,  88.590
262,  99.994,  88.770
263,  99.998,  88.580
264,  100.000,  88.550
265,  100.000,  88.630
266,  100.000,  88.650
267,  99.998,  88.530
268,  99.996,  88.580
269,  100.000,  88.470
270,  100.000,  88.720
271,  100.000,  88.750
272,  100.000,  88.550
273,  99.998,  88.530
274,  100.000,  88.590
275,  100.000,  88.500
276,  99.998,  88.780
277,  99.998,  88.530
278,  100.000,  88.590
279,  100.000,  88.510
280,  100.000,  88.460
281,  99.998,  88.450
282,  100.000,  88.690
283,  100.000,  88.640
284,  99.998,  88.350
285,  100.000,  88.480
286,  100.000,  88.460
287,  99.998,  88.320
288,  100.000,  88.500
289,  99.998,  88.530
290,  99.996,  88.460
291,  99.998,  88.430
292,  100.000,  88.510
293,  100.000,  88.380
294,  99.998,  88.680
295,  100.000,  88.720
296,  99.998,  88.410
297,  100.000,  88.650
298,  99.998,  88.540
299,  99.998,  88.560
300,  100.000,  88.370
