first_dataset,cifar10
first_model,wideresnet
mng_dataset,cifar10
mng_model,wideresnet
first_model_load_path,models/wide-vgg-c10-epbatchDiff.pt
mng_load_data_path,
mng_save_data,True
batch_size,128
n_epochs,300
learning_rate,0.1
data_augmentation,True
save_models,True
cutout,False
cutout_n_holes,1
cutout_len,16
seed,0
mango,True
mng_n_branches,9
mng_init_len,11
n_workers,2
experiment_type,wide-wide-3x3
device,cuda:0
""
epoch,train_acc,test_acc
1,  44.850,  50.330
2,  66.114,  57.750
3,  73.792,  64.540
4,  78.532,  68.640
5,  81.898,  77.760
6,  84.144,  80.810
7,  85.880,  79.950
8,  86.928,  76.140
9,  87.812,  82.830
10,  88.268,  79.530
11,  89.172,  84.020
12,  89.668,  81.220
13,  89.812,  83.650
14,  90.416,  79.270
15,  90.714,  77.030
16,  90.890,  74.310
17,  91.342,  82.030
18,  91.330,  81.660
19,  91.654,  80.750
20,  91.784,  81.320
21,  92.220,  78.510
22,  91.806,  82.280
23,  92.300,  77.510
24,  92.218,  84.200
25,  92.584,  82.460
26,  92.610,  81.890
27,  92.534,  83.230
28,  92.744,  78.640
29,  92.804,  81.320
30,  92.836,  82.280
31,  92.880,  83.030
32,  92.936,  85.910
33,  92.966,  82.830
34,  93.248,  80.400
35,  93.150,  78.270
36,  93.140,  82.270
37,  93.118,  80.910
38,  93.440,  86.180
39,  93.286,  83.750
40,  93.232,  86.520
41,  93.126,  81.380
42,  93.542,  81.910
43,  93.298,  84.180
44,  93.418,  82.980
45,  93.532,  83.250
46,  93.480,  83.220
47,  93.696,  85.680
48,  93.556,  81.270
49,  93.334,  82.200
50,  93.542,  85.690
51,  93.554,  85.130
52,  93.526,  77.690
53,  93.648,  84.270
54,  93.452,  85.060
55,  93.626,  85.570
56,  93.706,  84.470
57,  93.702,  81.770
58,  93.408,  84.810
59,  93.674,  78.370
60,  93.616,  85.090
61,  98.618,  91.120
62,  99.688,  91.550
63,  99.874,  91.880
64,  99.906,  91.890
65,  99.944,  91.560
66,  99.938,  91.770
67,  99.946,  91.840
68,  99.954,  91.700
69,  99.940,  91.810
70,  99.930,  91.850
71,  99.924,  91.690
72,  99.936,  92.130
73,  99.868,  91.560
74,  99.742,  91.010
75,  99.596,  90.790
76,  99.394,  89.110
77,  99.150,  87.750
78,  98.734,  88.510
79,  98.894,  89.990
80,  98.712,  88.540
81,  98.938,  86.860
82,  98.662,  89.000
83,  98.854,  89.050
84,  99.036,  89.530
85,  98.998,  88.460
86,  98.628,  87.320
87,  98.826,  88.070
88,  98.794,  89.070
89,  98.844,  89.170
90,  98.864,  89.770
91,  98.934,  89.050
92,  98.798,  89.510
93,  98.874,  88.650
94,  98.872,  88.800
95,  98.742,  88.180
96,  98.850,  89.280
97,  98.834,  90.210
98,  98.874,  87.350
99,  98.990,  88.830
100,  99.096,  89.120
101,  98.894,  88.340
102,  98.792,  89.730
103,  98.796,  84.600
104,  98.914,  88.810
105,  98.992,  88.960
106,  98.952,  87.940
107,  98.898,  87.360
108,  98.894,  88.100
109,  98.854,  87.800
110,  98.742,  89.130
111,  99.046,  89.260
112,  99.078,  88.570
113,  98.900,  86.030
114,  98.932,  88.640
115,  98.832,  89.270
116,  98.978,  89.320
117,  98.908,  88.210
118,  98.952,  88.400
119,  99.058,  88.170
120,  98.838,  89.230
121,  99.780,  92.220
122,  99.972,  92.270
123,  99.988,  92.540
124,  99.996,  92.660
125,  99.990,  92.590
126,  99.996,  92.650
127,  100.000,  92.710
128,  99.994,  92.600
129,  100.000,  92.780
130,  99.998,  92.620
131,  99.998,  92.590
132,  99.996,  92.690
133,  99.998,  92.830
134,  99.998,  92.760
135,  99.992,  92.820
136,  100.000,  92.810
137,  100.000,  92.740
138,  99.998,  92.780
139,  100.000,  92.840
140,  100.000,  92.750
141,  99.994,  92.760
142,  99.998,  92.850
143,  100.000,  92.650
144,  100.000,  92.870
145,  99.998,  92.800
146,  100.000,  92.700
147,  100.000,  92.790
148,  100.000,  92.750
149,  100.000,  92.680
150,  100.000,  92.880
151,  99.996,  92.710
152,  100.000,  92.660
153,  99.994,  92.780
154,  100.000,  92.700
155,  100.000,  92.770
156,  100.000,  92.660
157,  100.000,  92.750
158,  100.000,  92.760
159,  100.000,  92.870
160,  99.992,  92.650
161,  100.000,  92.850
162,  99.998,  92.780
163,  100.000,  92.720
164,  99.998,  92.840
165,  100.000,  92.850
166,  100.000,  92.840
167,  100.000,  92.790
168,  100.000,  92.720
169,  99.998,  92.740
170,  100.000,  92.790
171,  100.000,  92.710
172,  100.000,  92.830
173,  100.000,  92.720
174,  100.000,  92.750
175,  100.000,  92.770
176,  100.000,  92.810
177,  99.998,  92.820
178,  99.998,  92.780
179,  99.998,  92.880
180,  100.000,  92.740
181,  100.000,  92.750
182,  99.998,  92.690
183,  100.000,  92.690
184,  99.998,  92.760
185,  100.000,  92.700
186,  99.998,  92.740
187,  100.000,  92.820
188,  100.000,  92.740
189,  100.000,  92.760
190,  100.000,  92.670
191,  100.000,  92.750
192,  100.000,  92.680
193,  100.000,  92.830
194,  100.000,  92.800
195,  100.000,  92.680
196,  99.998,  92.800
197,  99.998,  92.740
198,  100.000,  92.750
199,  100.000,  92.810
200,  100.000,  92.830
201,  100.000,  92.900
202,  99.998,  92.710
203,  100.000,  92.670
204,  99.998,  92.700
205,  100.000,  92.620
206,  100.000,  92.620
207,  100.000,  92.710
208,  100.000,  92.710
209,  100.000,  92.760
210,  100.000,  92.810
211,  100.000,  92.770
212,  99.998,  92.780
