mng_dataset,cifar10
mng_model,resnet18
first_model_load_path,
mng_save_data,False
batch_size,128
mng_epochs,200
learning_rate,0.1
data_augmentation,True
save_models,True
cutout,False
cutout_n_holes,1
cutout_len,16
seed,0
mango,False
mng_threshold,0
mng_n_branches,4
mng_init_len,16
mng_randcolor,False
mng_faredge,False
n_workers,2
experiment_name,base_c10_res18_s0
device,cuda:0
""
epoch,train_acc,test_acc
1,  31.576,  42.310
2,  47.108,  50.760
3,  58.054,  59.890
4,  66.126,  64.520
5,  71.326,  68.110
6,  75.950,  74.770
7,  79.078,  77.540
8,  80.554,  77.970
9,  81.912,  77.380
10,  82.608,  80.020
11,  83.538,  80.640
12,  84.062,  82.460
13,  84.642,  81.500
14,  85.080,  81.180
15,  85.648,  80.950
16,  85.766,  83.700
17,  86.132,  83.000
18,  86.476,  82.400
19,  86.572,  84.170
20,  86.872,  80.820
21,  87.070,  85.090
22,  87.118,  82.490
23,  87.494,  83.650
24,  87.700,  81.820
25,  87.606,  82.650
26,  87.832,  86.320
27,  87.976,  83.810
28,  87.882,  84.950
29,  87.992,  83.980
30,  87.876,  84.400
31,  88.048,  83.230
32,  88.486,  84.830
33,  88.416,  84.080
34,  88.416,  84.490
35,  88.656,  83.800
36,  88.428,  80.950
37,  88.426,  84.610
38,  88.574,  81.890
39,  88.696,  84.750
40,  88.856,  81.020
41,  88.824,  80.920
42,  89.104,  83.180
43,  88.828,  85.480
44,  88.852,  82.880
45,  89.076,  86.670
46,  88.870,  85.500
47,  88.842,  84.950
48,  88.934,  80.720
49,  89.152,  85.990
50,  89.144,  84.330
51,  89.094,  86.520
52,  89.124,  81.970
53,  89.386,  83.710
54,  89.092,  83.930
55,  89.258,  85.750
56,  89.148,  84.720
57,  89.370,  84.630
58,  89.210,  83.010
59,  89.326,  83.120
60,  89.516,  85.190
61,  94.464,  92.500
62,  95.862,  92.670
63,  96.518,  93.090
64,  96.878,  92.750
65,  97.044,  92.640
66,  96.990,  92.810
67,  97.288,  92.130
68,  97.164,  91.320
69,  97.382,  92.200
70,  97.122,  91.970
71,  97.192,  92.530
72,  97.142,  91.860
73,  97.058,  91.990
74,  97.006,  90.800
75,  96.794,  90.960
76,  96.958,  91.830
77,  96.954,  89.970
78,  96.754,  91.420
79,  96.882,  91.390
80,  96.892,  91.560
81,  96.824,  90.600
82,  96.986,  90.870
83,  96.780,  91.310
84,  96.748,  91.030
85,  96.932,  91.520
86,  96.894,  91.250
87,  96.656,  91.170
88,  96.952,  90.840
89,  96.844,  91.220
90,  96.892,  91.370
91,  96.944,  91.110
92,  96.916,  90.530
93,  96.984,  91.140
94,  96.968,  91.280
95,  96.940,  90.840
96,  96.988,  91.580
97,  96.984,  91.300
98,  97.144,  91.440
99,  96.938,  91.230
100,  97.194,  89.850
101,  96.928,  89.910
102,  97.070,  90.830
103,  97.092,  90.440
104,  97.076,  90.350
105,  97.244,  91.680
106,  97.046,  91.140
107,  97.078,  90.930
108,  97.210,  90.160
109,  96.984,  91.030
110,  97.218,  91.090
111,  97.272,  90.500
112,  97.216,  90.110
113,  97.166,  91.070
114,  97.094,  91.170
115,  97.074,  90.620
116,  97.184,  91.370
117,  97.284,  90.890
118,  97.352,  91.280
119,  97.078,  91.900
120,  97.188,  89.680
121,  99.004,  93.780
122,  99.568,  94.120
123,  99.668,  94.220
124,  99.772,  94.500
125,  99.840,  94.510
126,  99.874,  94.580
127,  99.860,  94.730
128,  99.888,  94.650
129,  99.890,  94.680
130,  99.896,  94.710
131,  99.900,  94.700
132,  99.940,  94.710
133,  99.920,  94.740
134,  99.946,  94.780
135,  99.950,  94.770
136,  99.964,  94.890
137,  99.956,  94.900
138,  99.956,  94.960
139,  99.976,  94.820
140,  99.970,  94.800
141,  99.968,  94.900
142,  99.974,  94.880
143,  99.976,  94.940
144,  99.976,  94.950
145,  99.988,  95.000
146,  99.968,  94.800
147,  99.974,  95.010
148,  99.986,  95.010
149,  99.988,  95.050
150,  99.960,  94.900
151,  99.984,  95.010
152,  99.984,  94.880
153,  99.984,  94.890
154,  99.968,  94.910
155,  99.984,  95.060
156,  99.976,  94.940
157,  99.980,  94.890
158,  99.982,  94.740
159,  99.982,  94.860
160,  99.986,  95.060
161,  99.984,  94.980
162,  99.988,  95.050
163,  99.992,  94.980
164,  99.998,  95.050
165,  99.998,  95.000
166,  99.992,  95.010
167,  99.996,  94.990
168,  99.990,  95.050
169,  100.000,  95.030
170,  99.994,  95.030
171,  99.990,  95.080
172,  99.992,  95.060
173,  99.994,  94.990
174,  99.998,  95.050
175,  99.994,  95.070
176,  99.994,  95.100
177,  99.998,  95.150
178,  100.000,  95.080
179,  99.990,  95.070
180,  99.998,  95.160
181,  99.994,  95.190
182,  99.994,  95.130
183,  99.998,  95.090
184,  99.990,  95.080
185,  99.994,  95.160
186,  99.998,  95.130
187,  99.996,  95.110
188,  100.000,  95.150
189,  99.996,  95.120
190,  100.000,  95.130
191,  99.992,  95.210
192,  99.996,  95.130
193,  99.996,  95.180
194,  99.994,  95.110
195,  99.998,  95.280
196,  99.992,  95.230
197,  100.000,  95.130
198,  100.000,  95.170
199,  99.998,  95.070
200,  99.998,  95.080
best epoch: 195,,  95.280
