mng_dataset,cifar10
mng_model,wideresnet
first_model_load_path,
mng_save_data,False
batch_size,128
mng_epochs,200
learning_rate,0.1
data_augmentation,True
save_models,True
cutout,True
cutout_n_holes,1
cutout_len,16
seed,0
mango,False
mng_threshold,0
mng_n_branches,4
mng_init_len,16
mng_randcolor,False
mng_faredge,False
n_workers,2
experiment_name,cutout-c10-wideres-s0
device,cuda:0
""
epoch,train_acc,test_acc
1,  37.820,  43.390
2,  56.910,  65.240
3,  64.424,  64.370
4,  69.430,  70.460
5,  72.448,  73.000
6,  74.616,  74.490
7,  76.154,  74.110
8,  77.128,  77.420
9,  77.962,  78.090
10,  78.616,  80.020
11,  79.310,  78.290
12,  79.768,  70.500
13,  80.368,  77.940
14,  80.790,  79.940
15,  81.088,  82.500
16,  81.346,  74.710
17,  81.790,  83.810
18,  81.918,  82.730
19,  82.146,  82.910
20,  82.246,  77.300
21,  82.464,  84.450
22,  82.794,  85.340
23,  83.014,  83.550
24,  82.920,  84.840
25,  83.014,  79.760
26,  83.120,  83.810
27,  83.328,  85.000
28,  83.634,  87.490
29,  83.906,  80.890
30,  83.784,  84.590
31,  83.702,  83.800
32,  83.796,  84.780
33,  83.804,  83.940
34,  84.140,  85.890
35,  84.054,  84.510
36,  84.320,  86.540
37,  83.998,  83.180
38,  84.176,  79.040
39,  84.464,  83.410
40,  84.318,  82.780
41,  84.222,  83.500
42,  84.422,  86.010
43,  84.598,  84.830
44,  84.472,  87.020
45,  84.422,  86.900
46,  84.322,  87.140
47,  84.912,  83.530
48,  84.466,  83.040
49,  84.690,  87.260
50,  84.794,  85.660
51,  84.474,  82.650
52,  84.896,  86.550
53,  84.582,  88.010
54,  84.592,  86.910
55,  84.944,  86.770
56,  85.064,  85.230
57,  84.772,  86.000
58,  84.970,  85.320
59,  85.080,  81.490
60,  85.158,  86.320
61,  90.314,  93.160
62,  91.812,  93.710
63,  92.296,  93.470
64,  92.876,  93.670
65,  92.738,  93.350
66,  92.788,  94.200
67,  92.956,  93.790
68,  92.996,  93.980
69,  93.180,  93.430
70,  93.280,  93.670
71,  92.966,  93.940
72,  93.082,  94.230
73,  92.896,  93.660
74,  92.928,  93.280
75,  93.062,  93.510
76,  92.712,  93.570
77,  92.888,  93.120
78,  92.730,  93.230
79,  92.976,  93.610
80,  92.760,  93.000
81,  93.048,  93.070
82,  92.836,  93.950
83,  93.008,  92.080
84,  93.106,  92.780
85,  93.002,  93.180
86,  92.996,  93.740
87,  92.914,  92.630
88,  93.020,  93.280
89,  92.704,  93.040
90,  93.066,  93.520
91,  93.012,  93.050
92,  93.128,  92.980
93,  93.362,  93.350
94,  93.212,  93.070
95,  93.334,  93.530
96,  93.220,  92.700
97,  93.282,  93.140
98,  93.370,  92.810
99,  93.122,  93.140
100,  93.292,  93.990
101,  93.430,  93.860
102,  93.482,  93.740
103,  93.262,  91.370
104,  93.366,  93.420
105,  93.132,  93.570
106,  93.446,  93.840
107,  93.368,  93.810
108,  93.482,  93.570
109,  93.416,  93.390
110,  93.500,  93.820
111,  93.360,  92.410
112,  93.622,  93.300
113,  93.552,  92.570
114,  93.736,  93.500
115,  93.600,  93.440
116,  93.650,  93.340
117,  93.556,  92.930
118,  93.730,  93.250
119,  93.658,  94.350
120,  93.610,  93.760
121,  96.074,  95.900
122,  97.046,  96.110
123,  97.324,  96.220
124,  97.388,  96.290
125,  97.510,  96.260
126,  97.554,  96.240
127,  97.736,  96.380
128,  97.814,  96.380
129,  97.690,  96.070
130,  97.914,  96.160
131,  97.876,  96.040
132,  97.972,  96.010
133,  97.978,  96.250
134,  98.038,  96.410
135,  97.932,  96.510
136,  98.058,  96.350
137,  98.096,  96.430
138,  98.084,  96.260
139,  98.106,  96.150
140,  98.024,  96.280
141,  98.050,  96.270
142,  98.150,  96.170
143,  98.158,  96.160
144,  98.250,  96.270
145,  98.270,  96.050
146,  98.118,  96.110
147,  98.178,  96.120
148,  98.086,  96.120
149,  98.142,  96.100
150,  98.274,  96.330
151,  98.122,  96.090
152,  98.108,  96.170
153,  98.124,  96.150
154,  98.410,  96.230
155,  98.290,  96.080
156,  98.272,  96.100
157,  98.192,  96.140
158,  98.218,  96.170
159,  98.180,  95.870
160,  98.244,  95.610
161,  98.528,  96.420
162,  98.794,  96.460
163,  98.820,  96.660
164,  98.922,  96.620
165,  98.980,  96.660
166,  98.914,  96.580
167,  99.052,  96.660
168,  99.052,  96.560
169,  99.082,  96.780
170,  99.090,  96.610
171,  99.076,  96.610
172,  99.040,  96.530
173,  99.130,  96.650
174,  99.160,  96.600
175,  99.184,  96.570
176,  99.184,  96.450
177,  99.204,  96.590
178,  99.214,  96.520
179,  99.186,  96.520
180,  99.174,  96.630
181,  99.210,  96.530
182,  99.130,  96.530
183,  99.192,  96.500
184,  99.166,  96.570
185,  99.184,  96.490
186,  99.316,  96.510
187,  99.156,  96.710
188,  99.246,  96.580
189,  99.210,  96.650
190,  99.208,  96.560
191,  99.228,  96.600
192,  99.278,  96.580
193,  99.208,  96.650
194,  99.286,  96.550
195,  99.326,  96.640
196,  99.294,  96.720
197,  99.242,  96.750
198,  99.294,  96.640
199,  99.176,  96.540
200,  99.346,  96.620
best epoch: 169,,  96.780
