mng_dataset,cifar100
mng_model,wideresnet
first_model_load_path,
mng_save_data,False
batch_size,128
mng_epochs,200
learning_rate,0.1
data_augmentation,True
save_models,True
cutout,True
cutout_n_holes,1
cutout_len,8
seed,4
mango,False
mng_threshold,0
mng_n_branches,4
mng_init_len,16
mng_randcolor,False
mng_faredge,False
n_workers,2
experiment_name,cutout_c100_wideres_s4
device,cuda:0
""
epoch,train_acc,test_acc
1,  9.274,  14.050
2,  21.842,  23.580
3,  32.736,  33.570
4,  39.908,  39.700
5,  45.032,  42.170
6,  48.856,  46.980
7,  51.884,  51.580
8,  54.216,  48.780
9,  56.324,  52.680
10,  57.282,  49.850
11,  58.790,  51.910
12,  60.182,  53.070
13,  60.900,  54.320
14,  61.628,  57.940
15,  62.548,  58.550
16,  63.110,  55.930
17,  63.956,  54.970
18,  64.368,  52.890
19,  64.770,  55.960
20,  65.128,  59.440
21,  65.716,  61.110
22,  66.220,  57.140
23,  66.580,  55.270
24,  66.834,  61.280
25,  67.024,  58.650
26,  67.422,  60.020
27,  67.322,  60.030
28,  67.858,  56.510
29,  67.996,  55.040
30,  68.202,  61.300
31,  68.388,  55.260
32,  68.578,  61.620
33,  68.862,  59.700
34,  69.232,  60.340
35,  68.908,  59.430
36,  69.230,  61.430
37,  69.284,  59.760
38,  69.682,  61.170
39,  69.598,  58.810
40,  69.308,  60.010
41,  69.922,  58.200
42,  69.774,  57.870
43,  69.940,  61.040
44,  70.030,  62.520
45,  70.146,  61.420
46,  70.076,  59.630
47,  70.322,  61.700
48,  70.538,  60.580
49,  70.434,  61.700
50,  70.454,  61.660
51,  70.552,  61.370
52,  70.556,  63.000
53,  70.776,  62.400
54,  70.734,  62.770
55,  70.686,  60.800
56,  70.944,  57.980
57,  70.824,  60.420
58,  71.200,  63.960
59,  70.800,  60.930
60,  70.918,  65.460
61,  83.406,  77.140
62,  86.896,  77.630
63,  88.356,  77.680
64,  89.580,  77.780
65,  90.332,  77.350
66,  90.786,  76.670
67,  91.316,  76.570
68,  91.478,  76.390
69,  91.522,  75.930
70,  91.710,  74.950
71,  91.686,  75.890
72,  92.086,  75.140
73,  91.708,  74.580
74,  91.544,  74.270
75,  91.840,  74.710
76,  91.462,  73.800
77,  91.304,  73.580
78,  91.902,  74.420
79,  91.614,  74.590
80,  91.776,  74.300
81,  91.472,  74.360
82,  92.068,  73.780
83,  92.088,  73.120
84,  91.558,  73.790
85,  91.934,  73.080
86,  91.874,  72.210
87,  92.092,  73.620
88,  92.348,  75.270
89,  92.402,  73.240
90,  92.148,  73.890
91,  92.616,  74.060
92,  92.750,  73.020
93,  92.648,  72.970
94,  92.444,  73.140
95,  92.724,  72.560
96,  92.824,  72.660
97,  92.800,  73.780
98,  92.652,  73.660
99,  92.676,  73.190
100,  92.788,  72.240
101,  92.780,  74.630
102,  93.024,  74.330
103,  93.084,  72.410
104,  92.934,  73.050
105,  93.136,  74.500
106,  93.032,  73.690
107,  93.442,  74.420
108,  93.256,  73.350
109,  93.188,  72.570
110,  93.050,  72.680
111,  93.644,  72.890
112,  93.610,  73.230
113,  93.256,  72.560
114,  93.300,  73.860
115,  93.238,  74.120
116,  93.708,  74.850
117,  93.260,  74.170
118,  93.384,  73.880
119,  93.484,  72.610
120,  93.768,  74.130
121,  97.974,  80.040
122,  99.046,  79.920
123,  99.238,  80.270
124,  99.312,  80.510
125,  99.470,  80.470
126,  99.510,  80.440
127,  99.530,  80.680
128,  99.626,  80.510
129,  99.640,  80.780
130,  99.646,  80.750
131,  99.658,  81.140
132,  99.628,  80.990
133,  99.694,  80.840
134,  99.686,  80.940
135,  99.702,  80.730
136,  99.708,  80.980
137,  99.754,  80.660
138,  99.712,  80.910
139,  99.762,  81.040
140,  99.750,  81.040
141,  99.730,  80.900
142,  99.764,  81.120
143,  99.788,  80.940
144,  99.772,  80.940
145,  99.768,  80.990
146,  99.744,  81.090
147,  99.832,  81.060
148,  99.752,  80.840
149,  99.788,  81.400
150,  99.752,  81.080
151,  99.802,  80.890
152,  99.816,  80.840
153,  99.826,  81.020
154,  99.788,  80.820
155,  99.800,  80.990
156,  99.748,  80.870
157,  99.814,  81.070
158,  99.834,  81.260
159,  99.856,  81.170
160,  99.824,  81.170
161,  99.814,  81.260
162,  99.896,  81.400
163,  99.858,  81.590
164,  99.858,  81.610
165,  99.894,  81.430
166,  99.906,  81.660
167,  99.912,  81.660
168,  99.920,  81.630
169,  99.892,  81.570
170,  99.886,  81.600
171,  99.920,  81.800
172,  99.912,  81.540
173,  99.900,  81.750
174,  99.892,  81.560
175,  99.912,  81.610
176,  99.892,  81.590
177,  99.914,  81.630
178,  99.920,  81.740
179,  99.906,  81.640
180,  99.916,  81.660
181,  99.902,  81.830
182,  99.872,  81.810
183,  99.880,  81.690
184,  99.914,  81.700
185,  99.908,  81.650
186,  99.888,  81.780
187,  99.918,  82.050
188,  99.912,  81.840
189,  99.926,  81.870
190,  99.916,  81.840
191,  99.906,  81.700
192,  99.900,  81.670
193,  99.900,  81.770
194,  99.904,  81.760
195,  99.918,  81.700
196,  99.888,  81.650
197,  99.896,  81.540
198,  99.896,  81.750
199,  99.936,  81.720
200,  99.898,  81.500
best epoch: 187,,  82.050
