mng_dataset,cifar100
mng_model,resnet18
first_model_load_path,
mng_save_data,False
batch_size,128
mng_epochs,200
learning_rate,0.1
data_augmentation,True
save_models,True
cutout,False
cutout_n_holes,1
cutout_len,16
seed,3
mango,True
mng_threshold,0
mng_n_branches,9
mng_init_len,11
mng_randcolor,False
mng_faredge,False
n_workers,2
experiment_name,mng_c100_res18_3x3_s3
device,cuda:0
""
epoch,train_acc,test_acc
1,  9.778,  14.580
2,  19.278,  21.880
3,  27.416,  33.070
4,  34.408,  35.070
5,  39.800,  40.350
6,  44.424,  43.940
7,  47.200,  45.280
8,  49.508,  43.550
9,  51.590,  49.180
10,  52.868,  44.670
11,  54.266,  49.290
12,  55.400,  50.970
13,  56.492,  55.230
14,  57.886,  52.040
15,  57.850,  51.580
16,  58.516,  56.370
17,  59.192,  51.230
18,  59.376,  50.470
19,  59.950,  55.170
20,  60.314,  55.140
21,  60.652,  56.340
22,  60.456,  54.320
23,  61.536,  57.090
24,  61.884,  54.890
25,  62.100,  56.130
26,  62.218,  50.540
27,  62.130,  57.790
28,  62.776,  54.580
29,  63.240,  59.570
30,  63.020,  56.020
31,  63.174,  57.630
32,  63.230,  54.270
33,  63.140,  55.230
34,  63.614,  56.130
35,  64.328,  54.490
36,  63.634,  56.660
37,  64.008,  58.170
38,  64.326,  56.350
39,  63.802,  51.500
40,  63.494,  59.270
41,  64.446,  52.380
42,  64.630,  54.340
43,  64.212,  59.950
44,  64.804,  52.480
45,  64.752,  57.200
46,  64.634,  58.610
47,  64.240,  59.340
48,  64.918,  55.560
49,  64.880,  57.770
50,  64.838,  58.750
51,  65.002,  59.470
52,  65.404,  58.500
53,  65.316,  56.920
54,  65.128,  49.860
55,  65.190,  60.620
56,  65.452,  57.930
57,  65.294,  59.460
58,  65.646,  60.180
59,  65.296,  55.880
60,  65.648,  59.520
61,  76.276,  74.060
62,  80.096,  74.210
63,  82.456,  74.730
64,  82.730,  74.020
65,  83.744,  74.270
66,  85.562,  74.470
67,  85.882,  73.860
68,  85.336,  73.130
69,  85.486,  72.870
70,  85.304,  72.610
71,  86.078,  71.780
72,  85.808,  71.710
73,  85.858,  71.250
74,  86.144,  70.970
75,  86.108,  71.510
76,  85.464,  71.590
77,  86.124,  70.360
78,  85.944,  71.630
79,  86.930,  71.450
80,  86.736,  71.220
81,  86.702,  70.300
82,  87.472,  71.590
83,  87.004,  70.360
84,  86.096,  70.980
85,  87.090,  72.020
86,  87.468,  71.080
87,  86.908,  70.870
88,  87.666,  71.480
89,  86.718,  69.880
90,  88.286,  70.940
91,  87.612,  69.930
92,  86.326,  70.610
93,  87.560,  70.270
94,  87.962,  70.200
95,  88.726,  71.420
96,  88.092,  70.760
97,  88.622,  70.600
98,  87.778,  68.880
99,  87.092,  71.100
100,  87.714,  70.030
101,  88.876,  70.680
102,  88.962,  70.790
103,  88.910,  69.950
104,  89.266,  70.510
105,  88.932,  69.180
106,  88.466,  69.330
107,  89.216,  68.470
108,  88.214,  71.200
109,  89.370,  69.130
110,  89.334,  68.760
111,  89.476,  70.390
112,  89.536,  69.970
113,  88.572,  71.000
114,  89.146,  69.670
115,  89.038,  69.240
116,  88.770,  70.510
117,  89.872,  70.900
118,  88.726,  69.800
119,  89.470,  69.520
120,  89.492,  70.540
121,  94.968,  76.150
122,  97.136,  76.640
123,  97.618,  76.460
124,  97.758,  76.330
125,  98.344,  76.340
126,  98.432,  77.100
127,  98.486,  77.280
128,  98.628,  76.930
129,  98.878,  76.930
130,  98.870,  77.010
131,  98.914,  76.730
132,  98.796,  77.220
133,  99.018,  77.060
134,  99.000,  77.190
135,  99.064,  76.920
136,  99.160,  76.920
137,  99.218,  77.380
138,  99.264,  77.020
139,  99.238,  77.140
140,  99.268,  76.910
141,  99.250,  76.910
142,  99.236,  77.360
143,  99.372,  77.040
144,  99.312,  77.510
145,  99.412,  77.470
146,  99.412,  77.250
147,  99.350,  77.450
148,  99.446,  77.430
149,  99.406,  77.240
150,  99.460,  77.310
151,  99.420,  77.500
152,  99.414,  77.480
153,  99.426,  77.350
154,  99.498,  77.440
155,  99.534,  77.520
156,  99.450,  77.400
157,  99.498,  77.320
158,  99.516,  77.480
159,  99.576,  77.760
160,  99.444,  77.290
161,  99.602,  77.680
162,  99.680,  77.920
163,  99.706,  77.840
164,  99.668,  77.710
165,  99.726,  77.750
166,  99.720,  77.840
167,  99.758,  77.830
168,  99.770,  77.950
169,  99.710,  78.010
170,  99.760,  78.090
171,  99.750,  78.000
172,  99.744,  77.990
173,  99.706,  77.980
174,  99.748,  77.830
175,  99.770,  77.920
176,  99.806,  77.960
177,  99.786,  77.880
178,  99.790,  78.070
179,  99.736,  77.850
180,  99.784,  77.820
181,  99.822,  77.910
182,  99.762,  77.890
183,  99.800,  78.100
184,  99.780,  77.930
185,  99.814,  77.830
186,  99.804,  78.060
187,  99.764,  78.280
188,  99.798,  77.960
189,  99.776,  77.910
190,  99.822,  77.970
191,  99.852,  78.120
192,  99.814,  78.050
193,  99.816,  77.930
194,  99.814,  78.130
195,  99.834,  77.910
196,  99.820,  78.230
197,  99.772,  77.750
198,  99.800,  78.040
199,  99.796,  77.880
200,  99.826,  77.930
best epoch: 187,,  78.280
