mng_dataset,cifar100
mng_model,resnet18
first_model_load_path,
mng_save_data,False
batch_size,128
mng_epochs,200
learning_rate,0.1
data_augmentation,True
save_models,True
cutout,False
cutout_n_holes,1
cutout_len,16
seed,3
mango,True
mng_threshold,0
mng_n_branches,4
mng_init_len,16
mng_randcolor,False
mng_faredge,True
n_workers,2
experiment_name,mng_c100_res18_faredge_s3
device,cuda:0
""
epoch,train_acc,test_acc
1,  8.576,  12.050
2,  16.858,  17.800
3,  25.746,  23.730
4,  33.520,  36.540
5,  38.916,  41.050
6,  43.486,  42.120
7,  46.350,  48.290
8,  48.610,  44.360
9,  50.818,  49.360
10,  51.784,  51.870
11,  52.830,  52.780
12,  54.338,  49.390
13,  55.258,  55.260
14,  56.636,  54.270
15,  56.676,  51.310
16,  57.222,  54.860
17,  57.700,  56.570
18,  58.278,  53.890
19,  58.940,  55.420
20,  59.296,  54.370
21,  60.114,  58.690
22,  59.718,  55.130
23,  60.040,  55.390
24,  60.904,  51.500
25,  60.790,  54.220
26,  61.198,  58.230
27,  61.124,  57.650
28,  60.888,  59.020
29,  61.506,  58.470
30,  61.734,  55.430
31,  62.006,  57.390
32,  61.572,  54.720
33,  62.462,  58.480
34,  62.876,  57.080
35,  62.654,  57.580
36,  62.970,  57.520
37,  63.292,  58.650
38,  62.788,  59.640
39,  63.088,  54.710
40,  63.044,  55.780
41,  63.214,  51.930
42,  63.172,  57.620
43,  63.122,  57.560
44,  63.374,  50.530
45,  64.044,  56.530
46,  64.002,  55.150
47,  63.894,  59.410
48,  64.188,  55.470
49,  63.904,  52.920
50,  64.380,  56.990
51,  63.980,  55.740
52,  63.868,  57.050
53,  63.940,  59.950
54,  64.282,  60.250
55,  64.338,  59.660
56,  64.886,  57.630
57,  63.964,  55.400
58,  64.772,  57.920
59,  63.890,  58.160
60,  63.866,  56.660
61,  76.116,  73.700
62,  79.928,  74.100
63,  81.226,  73.980
64,  82.508,  73.240
65,  83.656,  74.280
66,  84.260,  74.050
67,  84.918,  73.200
68,  85.470,  72.680
69,  85.346,  71.490
70,  85.928,  71.860
71,  86.582,  71.850
72,  86.180,  71.300
73,  85.004,  71.480
74,  84.948,  71.950
75,  86.092,  71.180
76,  84.982,  69.590
77,  85.668,  70.640
78,  86.618,  71.650
79,  85.722,  70.290
80,  86.264,  71.570
81,  87.040,  70.100
82,  86.314,  71.040
83,  86.128,  70.280
84,  86.610,  70.560
85,  87.338,  69.230
86,  87.018,  70.100
87,  86.618,  69.340
88,  87.076,  70.730
89,  86.766,  70.870
90,  87.692,  70.900
91,  87.744,  70.400
92,  87.948,  70.930
93,  87.638,  70.080
94,  87.580,  71.190
95,  87.390,  70.100
96,  87.858,  70.560
97,  87.976,  70.080
98,  88.570,  69.560
99,  87.670,  70.370
100,  87.720,  71.060
101,  87.548,  68.880
102,  88.784,  69.280
103,  88.410,  70.950
104,  88.346,  70.180
105,  88.938,  68.870
106,  88.766,  70.540
107,  88.704,  69.940
108,  88.518,  69.720
109,  88.558,  69.350
110,  89.052,  70.720
111,  88.306,  69.550
112,  89.256,  70.050
113,  88.644,  68.800
114,  89.286,  70.540
115,  89.122,  70.010
116,  88.878,  69.470
117,  89.222,  69.130
118,  89.084,  71.010
119,  89.968,  67.930
120,  89.714,  70.420
121,  95.010,  76.120
122,  97.230,  76.290
123,  97.694,  76.600
124,  98.194,  76.670
125,  98.294,  77.020
126,  98.566,  76.990
127,  98.644,  76.770
128,  98.824,  77.100
129,  98.934,  77.170
130,  99.060,  77.360
131,  99.000,  77.120
132,  99.100,  77.230
133,  99.202,  77.210
134,  99.154,  77.000
135,  99.228,  76.970
136,  99.332,  76.980
137,  99.342,  77.400
138,  99.340,  77.310
139,  99.406,  77.440
140,  99.400,  77.230
141,  99.512,  77.380
142,  99.510,  77.340
143,  99.522,  77.100
144,  99.546,  77.350
145,  99.500,  77.400
146,  99.642,  77.510
147,  99.478,  77.330
148,  99.568,  77.370
149,  99.528,  77.350
150,  99.574,  77.240
151,  99.566,  77.510
152,  99.564,  77.380
153,  99.622,  77.340
154,  99.606,  77.310
155,  99.664,  77.240
156,  99.652,  77.310
157,  99.616,  77.120
158,  99.654,  77.310
159,  99.710,  77.360
160,  99.628,  77.340
161,  99.748,  77.560
162,  99.786,  77.480
163,  99.756,  77.530
164,  99.772,  77.590
165,  99.806,  77.600
166,  99.854,  77.630
167,  99.802,  77.430
168,  99.802,  77.760
169,  99.806,  77.820
170,  99.788,  77.800
171,  99.822,  77.640
172,  99.832,  77.720
173,  99.852,  77.800
174,  99.852,  77.880
175,  99.846,  77.770
176,  99.854,  77.590
177,  99.864,  77.520
178,  99.844,  77.840
179,  99.830,  77.750
180,  99.854,  77.650
181,  99.812,  77.710
182,  99.872,  77.600
183,  99.860,  77.940
184,  99.850,  77.840
185,  99.842,  77.710
186,  99.892,  77.840
187,  99.884,  77.730
188,  99.896,  77.610
189,  99.866,  77.810
190,  99.882,  77.760
191,  99.896,  77.760
192,  99.874,  77.850
193,  99.874,  77.870
194,  99.858,  77.900
195,  99.842,  77.750
196,  99.880,  77.840
197,  99.874,  77.620
198,  99.894,  77.850
199,  99.882,  77.950
200,  99.912,  77.850
best epoch: 199,,  77.950
