mng_dataset,cifar100
mng_model,resnet18
first_model_load_path,
mng_save_data,False
batch_size,128
mng_epochs,200
learning_rate,0.1
data_augmentation,True
save_models,True
cutout,False
cutout_n_holes,1
cutout_len,16
seed,1
mango,True
mng_threshold,0
mng_n_branches,4
mng_init_len,16
mng_randcolor,True
mng_faredge,False
n_workers,2
experiment_name,mng_c100_res18_randcolor_s1
device,cuda:0
""
epoch,train_acc,test_acc
1,  9.078,  13.240
2,  17.480,  22.210
3,  24.372,  31.660
4,  31.894,  36.940
5,  37.816,  35.000
6,  41.850,  41.360
7,  45.100,  45.860
8,  46.726,  45.130
9,  48.998,  49.780
10,  50.250,  48.800
11,  51.818,  42.540
12,  52.594,  50.800
13,  54.132,  52.470
14,  54.250,  53.050
15,  54.628,  52.120
16,  55.746,  50.910
17,  56.370,  48.350
18,  56.262,  57.660
19,  57.428,  48.130
20,  56.746,  53.690
21,  57.822,  49.160
22,  58.180,  55.490
23,  58.784,  51.590
24,  58.756,  54.530
25,  58.712,  57.370
26,  59.706,  51.440
27,  59.632,  58.130
28,  59.034,  55.590
29,  59.844,  61.010
30,  59.520,  58.280
31,  59.962,  59.650
32,  60.786,  56.340
33,  60.438,  54.790
34,  60.466,  53.320
35,  60.412,  57.860
36,  60.020,  56.440
37,  60.044,  55.600
38,  61.344,  58.100
39,  60.714,  54.030
40,  60.574,  56.400
41,  61.632,  56.980
42,  61.300,  53.010
43,  61.480,  55.600
44,  61.546,  56.640
45,  61.884,  58.680
46,  61.570,  57.300
47,  61.262,  56.350
48,  61.230,  53.890
49,  61.054,  51.630
50,  61.830,  55.380
51,  61.570,  55.480
52,  62.096,  56.850
53,  62.476,  56.420
54,  61.766,  59.580
55,  61.862,  57.690
56,  61.794,  54.060
57,  61.542,  53.250
58,  61.728,  56.960
59,  62.078,  56.940
60,  62.450,  59.320
61,  73.114,  72.790
62,  76.856,  74.000
63,  78.096,  74.490
64,  78.816,  74.380
65,  79.888,  72.970
66,  80.410,  73.300
67,  80.770,  72.120
68,  80.630,  72.460
69,  80.774,  72.110
70,  81.082,  71.470
71,  80.858,  73.510
72,  81.092,  71.350
73,  81.142,  71.670
74,  82.176,  71.180
75,  82.414,  71.390
76,  82.380,  70.550
77,  81.538,  69.750
78,  81.506,  69.730
79,  82.980,  72.220
80,  81.410,  69.990
81,  81.622,  70.630
82,  82.366,  68.680
83,  82.798,  71.010
84,  83.682,  71.620
85,  81.472,  71.640
86,  83.228,  69.410
87,  82.936,  69.760
88,  83.506,  71.830
89,  83.580,  70.560
90,  82.948,  69.580
91,  84.160,  69.350
92,  84.478,  69.510
93,  84.848,  70.360
94,  84.354,  70.770
95,  84.528,  69.800
96,  84.490,  68.340
97,  83.418,  70.690
98,  83.630,  69.240
99,  84.514,  70.010
100,  84.894,  70.050
101,  84.644,  69.190
102,  84.596,  69.170
103,  84.134,  69.680
104,  84.386,  70.980
105,  85.750,  70.510
106,  84.036,  70.610
107,  84.844,  70.890
108,  85.176,  69.640
109,  86.274,  71.350
110,  85.766,  68.160
111,  86.122,  69.740
112,  85.472,  69.480
113,  85.230,  69.100
114,  85.324,  70.850
115,  85.984,  70.430
116,  86.118,  70.020
117,  85.056,  69.530
118,  85.482,  69.350
119,  85.362,  69.900
120,  86.552,  70.200
121,  92.138,  76.700
122,  94.636,  76.640
123,  95.370,  76.780
124,  96.068,  77.240
125,  96.434,  76.940
126,  96.528,  76.770
127,  96.828,  77.160
128,  97.058,  76.970
129,  97.002,  77.210
130,  97.298,  77.020
131,  97.394,  77.530
132,  97.534,  76.880
133,  97.684,  77.270
134,  97.916,  77.240
135,  97.704,  77.210
136,  98.078,  77.310
137,  98.106,  77.400
138,  98.130,  77.400
139,  98.026,  77.490
140,  98.006,  77.380
141,  98.320,  77.540
142,  98.302,  77.250
143,  98.452,  77.170
144,  98.526,  77.120
145,  98.378,  77.450
146,  98.344,  77.130
147,  98.502,  77.720
148,  98.604,  77.410
149,  98.642,  77.310
150,  98.628,  77.220
151,  98.486,  77.290
152,  98.446,  77.210
153,  98.468,  77.070
154,  98.770,  77.010
155,  98.630,  76.950
156,  98.760,  77.210
157,  98.712,  77.370
158,  98.620,  77.160
159,  98.714,  76.950
160,  98.922,  76.820
161,  99.060,  77.310
162,  99.260,  77.740
163,  99.212,  77.630
164,  99.220,  77.680
165,  99.306,  77.570
166,  99.424,  77.770
167,  99.476,  77.810
168,  99.384,  77.940
169,  99.438,  77.860
170,  99.392,  77.790
171,  99.480,  77.890
172,  99.498,  77.540
173,  99.520,  77.800
174,  99.436,  77.790
175,  99.460,  77.960
176,  99.492,  77.950
177,  99.552,  77.900
178,  99.500,  77.980
179,  99.506,  77.980
180,  99.560,  77.990
181,  99.570,  78.100
182,  99.542,  78.070
183,  99.538,  78.090
184,  99.544,  77.940
185,  99.534,  77.870
186,  99.574,  78.040
187,  99.622,  77.950
188,  99.546,  77.500
189,  99.594,  78.060
190,  99.618,  77.870
191,  99.680,  78.080
192,  99.598,  78.140
193,  99.622,  78.030
194,  99.596,  78.070
195,  99.634,  77.920
196,  99.644,  77.960
197,  99.642,  78.050
198,  99.646,  77.950
199,  99.694,  77.800
200,  99.648,  77.860
best epoch: 192,,  78.140
