mng_dataset,cifar100
mng_model,wideresnet
first_model_load_path,
mng_save_data,False
batch_size,128
mng_epochs,200
learning_rate,0.1
data_augmentation,True
save_models,True
cutout,False
cutout_n_holes,1
cutout_len,16
seed,3
mango,True
mng_threshold,0
mng_n_branches,4
mng_init_len,16
mng_randcolor,False
mng_faredge,True
n_workers,2
experiment_name,mng_c100_wideres_faredge_s3
device,cuda:0
""
epoch,train_acc,test_acc
1,  7.642,  10.950
2,  16.978,  21.550
3,  27.092,  31.760
4,  33.936,  34.790
5,  39.250,  37.320
6,  43.056,  45.580
7,  46.442,  46.750
8,  48.826,  48.640
9,  51.442,  49.100
10,  53.060,  50.880
11,  54.476,  50.620
12,  55.768,  51.460
13,  56.506,  49.710
14,  57.254,  54.640
15,  58.292,  50.570
16,  59.328,  57.540
17,  58.950,  56.440
18,  59.680,  58.810
19,  60.622,  57.380
20,  61.456,  57.560
21,  61.404,  57.570
22,  61.642,  58.560
23,  62.220,  58.350
24,  62.678,  54.650
25,  63.558,  58.450
26,  62.710,  63.620
27,  63.496,  58.100
28,  63.258,  59.650
29,  63.316,  56.820
30,  64.132,  60.950
31,  64.210,  57.870
32,  64.264,  62.080
33,  63.472,  61.870
34,  64.168,  62.580
35,  65.352,  61.440
36,  64.804,  62.470
37,  64.612,  61.990
38,  65.120,  59.620
39,  64.852,  59.560
40,  65.444,  61.190
41,  65.486,  57.440
42,  65.670,  63.360
43,  65.616,  60.990
44,  65.456,  61.720
45,  66.116,  62.860
46,  65.982,  62.730
47,  65.638,  63.490
48,  66.000,  63.090
49,  66.036,  61.200
50,  66.310,  61.360
51,  66.272,  60.470
52,  66.806,  62.480
53,  66.476,  59.270
54,  66.222,  59.730
55,  67.228,  54.730
56,  66.968,  58.850
57,  66.498,  62.640
58,  66.466,  63.830
59,  66.706,  61.840
60,  66.354,  60.920
61,  77.780,  76.900
62,  82.052,  77.440
63,  83.290,  76.890
64,  83.976,  77.210
65,  85.168,  76.420
66,  85.712,  76.350
67,  85.696,  76.380
68,  86.790,  76.630
69,  86.008,  76.510
70,  86.060,  76.610
71,  86.034,  75.460
72,  86.338,  74.810
73,  87.130,  75.810
74,  86.700,  75.280
75,  87.238,  75.650
76,  86.976,  76.080
77,  87.850,  75.390
78,  87.532,  75.290
79,  87.672,  74.910
80,  87.188,  75.000
81,  87.560,  74.480
82,  87.714,  74.470
83,  87.238,  74.250
84,  87.510,  72.680
85,  88.084,  73.760
86,  87.786,  75.180
87,  88.520,  74.660
88,  87.472,  74.170
89,  89.056,  74.270
90,  88.298,  73.060
91,  89.192,  74.420
92,  88.936,  73.350
93,  88.460,  74.880
94,  89.182,  74.550
95,  88.760,  73.610
96,  88.588,  73.400
97,  88.642,  74.900
98,  88.802,  74.180
99,  89.870,  74.920
100,  88.908,  72.530
101,  89.398,  73.580
102,  89.688,  74.590
103,  90.338,  74.500
104,  89.152,  73.610
105,  90.062,  73.620
106,  89.410,  73.360
107,  89.592,  74.350
108,  90.508,  73.580
109,  89.920,  73.820
110,  89.712,  73.490
111,  89.406,  74.800
112,  90.590,  73.370
113,  90.182,  75.240
114,  90.170,  74.590
115,  90.712,  73.480
116,  89.928,  74.390
117,  90.272,  74.220
118,  90.508,  74.720
119,  90.374,  74.320
120,  90.332,  73.930
121,  96.042,  79.990
122,  97.922,  80.650
123,  98.284,  80.360
124,  98.486,  80.540
125,  98.716,  81.410
126,  98.870,  80.790
127,  98.986,  80.770
128,  98.936,  81.010
129,  99.114,  81.160
130,  98.932,  80.870
131,  99.166,  81.030
132,  99.230,  80.930
133,  99.336,  80.830
134,  99.236,  80.940
135,  99.334,  80.770
136,  99.382,  81.090
137,  99.406,  81.150
138,  99.460,  81.150
139,  99.370,  80.980
140,  99.396,  81.090
141,  99.464,  81.280
142,  99.484,  81.010
143,  99.434,  80.900
144,  99.422,  81.180
145,  99.490,  81.060
146,  99.488,  81.000
147,  99.504,  80.970
148,  99.470,  81.010
149,  99.568,  80.950
150,  99.556,  81.100
151,  99.522,  81.370
152,  99.606,  81.050
153,  99.514,  80.860
154,  99.564,  80.900
155,  99.620,  81.040
156,  99.590,  81.070
157,  99.564,  81.060
158,  99.584,  80.860
159,  99.636,  80.720
160,  99.494,  81.140
161,  99.672,  81.460
162,  99.750,  81.550
163,  99.768,  81.680
164,  99.804,  81.720
165,  99.808,  81.670
166,  99.814,  81.490
167,  99.812,  81.710
168,  99.826,  81.620
169,  99.780,  81.660
170,  99.834,  81.630
171,  99.806,  81.610
172,  99.830,  81.700
173,  99.844,  81.690
174,  99.814,  81.650
175,  99.856,  81.810
176,  99.850,  81.800
177,  99.804,  81.600
178,  99.836,  81.590
179,  99.832,  81.750
180,  99.830,  81.920
181,  99.854,  81.770
182,  99.862,  81.770
183,  99.846,  81.820
184,  99.844,  81.680
185,  99.842,  81.780
186,  99.838,  81.700
187,  99.850,  81.900
188,  99.862,  81.820
189,  99.832,  81.750
190,  99.852,  81.660
191,  99.860,  81.760
192,  99.874,  81.680
193,  99.890,  81.770
194,  99.842,  81.760
195,  99.852,  81.820
196,  99.866,  81.820
197,  99.882,  81.770
198,  99.906,  81.900
199,  99.860,  81.860
200,  99.860,  81.750
best epoch: 180,,  81.920
