mng_dataset,cifar100
mng_model,wideresnet
first_model_load_path,
mng_save_data,False
batch_size,128
mng_epochs,200
learning_rate,0.1
data_augmentation,True
save_models,True
cutout,False
cutout_n_holes,1
cutout_len,16
seed,2
mango,True
mng_threshold,0
mng_n_branches,4
mng_init_len,16
mng_randcolor,False
mng_faredge,False
n_workers,2
experiment_name,mng_c100_wideres_s22
device,cuda:0
""
epoch,train_acc,test_acc
1,  8.138,  12.310
2,  18.024,  21.210
3,  27.134,  29.990
4,  33.634,  36.230
5,  39.062,  40.800
6,  43.294,  45.380
7,  45.902,  47.730
8,  48.948,  44.380
9,  49.666,  50.900
10,  51.574,  50.190
11,  52.888,  50.420
12,  54.054,  50.570
13,  55.008,  54.840
14,  55.950,  50.740
15,  56.422,  52.100
16,  56.952,  54.740
17,  57.782,  52.230
18,  58.398,  57.750
19,  58.616,  52.680
20,  58.570,  56.410
21,  59.578,  57.860
22,  59.982,  59.580
23,  60.800,  56.810
24,  60.514,  58.200
25,  60.626,  59.590
26,  61.208,  54.440
27,  60.780,  56.650
28,  61.434,  56.640
29,  62.134,  58.750
30,  62.034,  61.000
31,  61.948,  60.300
32,  62.118,  59.440
33,  61.712,  58.870
34,  62.050,  60.760
35,  62.970,  62.060
36,  62.338,  58.820
37,  63.390,  59.020
38,  63.124,  58.570
39,  63.390,  61.160
40,  63.524,  60.700
41,  63.398,  60.170
42,  61.956,  59.330
43,  64.030,  57.570
44,  63.818,  59.290
45,  63.704,  62.000
46,  64.748,  59.320
47,  64.368,  62.580
48,  63.758,  54.990
49,  63.880,  63.660
50,  64.064,  64.110
51,  64.202,  59.050
52,  64.698,  60.110
53,  64.260,  58.850
54,  64.614,  59.410
55,  64.236,  60.500
56,  64.660,  60.530
57,  65.192,  60.330
58,  64.742,  62.160
59,  63.926,  62.460
60,  64.648,  60.200
61,  74.890,  77.330
62,  79.070,  77.410
63,  79.860,  77.170
64,  80.922,  77.790
65,  81.466,  77.090
66,  82.664,  76.690
67,  82.300,  76.810
68,  82.870,  76.230
69,  82.886,  76.470
70,  82.790,  75.840
71,  83.272,  75.030
72,  83.370,  76.600
73,  83.682,  74.730
74,  84.208,  75.870
75,  84.058,  75.530
76,  84.104,  74.620
77,  83.640,  75.760
78,  84.316,  73.790
79,  84.170,  75.270
80,  84.072,  74.910
81,  84.542,  75.090
82,  84.638,  74.180
83,  84.530,  74.150
84,  84.382,  74.980
85,  85.022,  74.200
86,  85.652,  74.660
87,  85.776,  74.730
88,  84.926,  74.490
89,  86.012,  73.970
90,  85.656,  74.730
91,  85.052,  73.810
92,  85.476,  75.370
93,  85.198,  73.250
94,  85.372,  74.340
95,  86.976,  74.000
96,  86.612,  74.600
97,  86.360,  75.050
98,  86.428,  74.570
99,  86.532,  75.830
100,  86.022,  74.730
101,  86.854,  75.440
102,  86.536,  74.890
103,  86.178,  74.730
104,  86.740,  73.560
105,  85.788,  73.630
106,  86.820,  74.200
107,  86.340,  74.230
108,  86.242,  75.200
109,  87.768,  74.510
110,  86.590,  74.040
111,  87.518,  74.330
112,  87.406,  75.170
113,  87.624,  73.640
114,  87.480,  74.210
115,  87.080,  74.900
116,  87.906,  73.030
117,  87.604,  74.670
118,  86.878,  73.600
119,  88.280,  74.580
120,  87.850,  74.430
121,  93.870,  80.760
122,  95.958,  80.800
123,  96.750,  81.090
124,  96.846,  81.190
125,  97.206,  81.330
126,  97.454,  81.250
127,  97.682,  81.130
128,  97.800,  80.940
129,  97.852,  81.140
130,  98.032,  81.270
131,  98.170,  81.220
132,  98.028,  81.040
133,  98.140,  81.510
134,  98.268,  81.060
135,  98.398,  81.100
136,  98.478,  81.160
137,  98.348,  81.330
138,  98.306,  81.230
139,  98.510,  81.230
140,  98.348,  80.810
141,  98.528,  81.200
142,  98.600,  80.470
143,  98.858,  81.190
144,  98.724,  80.950
145,  98.704,  81.160
146,  98.794,  81.280
147,  98.702,  81.310
148,  98.828,  81.120
149,  98.758,  80.950
150,  98.630,  80.810
151,  98.662,  80.750
152,  98.854,  80.840
153,  98.788,  80.660
154,  98.614,  80.770
155,  98.904,  81.270
156,  98.822,  80.770
157,  98.866,  81.160
158,  98.886,  80.980
159,  98.832,  80.440
160,  98.972,  81.180
161,  99.222,  81.640
162,  99.296,  81.630
163,  99.442,  81.830
164,  99.412,  81.920
165,  99.498,  81.930
166,  99.482,  81.820
167,  99.502,  81.950
168,  99.452,  81.850
169,  99.484,  81.910
170,  99.550,  81.830
171,  99.670,  81.730
172,  99.570,  81.680
173,  99.632,  81.900
174,  99.532,  81.880
175,  99.584,  82.010
176,  99.578,  81.770
177,  99.656,  81.920
178,  99.644,  81.890
179,  99.622,  81.750
180,  99.644,  81.760
181,  99.672,  81.770
182,  99.662,  81.940
183,  99.654,  81.680
184,  99.660,  82.160
185,  99.678,  82.110
186,  99.652,  81.890
187,  99.596,  81.820
188,  99.644,  81.880
189,  99.702,  81.980
190,  99.646,  81.810
191,  99.680,  81.940
192,  99.658,  82.070
193,  99.648,  81.810
194,  99.718,  81.690
195,  99.674,  82.010
196,  99.652,  81.730
197,  99.684,  82.020
198,  99.660,  81.910
199,  99.684,  82.080
200,  99.746,  82.160
best epoch: 200,,  82.160
