mng_dataset,cifar100
mng_model,wideresnet
first_model_load_path,
mng_save_data,False
batch_size,128
mng_epochs,200
learning_rate,0.1
data_augmentation,True
save_models,True
cutout,False
cutout_n_holes,1
cutout_len,16
seed,4
mng_threshold,0
mng_n_branches,4
mng_init_len,16
mng_randcolor,False
mng_faredge,False
n_workers,2
experiment_name,mng_c100_wideres_s4
device,cuda:0
""
epoch,train_acc,test_acc
1,  8.650,  12.450
2,  18.782,  21.710
3,  28.058,  24.380
4,  34.634,  35.220
5,  39.372,  43.380
6,  43.380,  43.690
7,  46.210,  48.500
8,  48.280,  47.180
9,  50.690,  48.030
10,  52.170,  49.950
11,  53.536,  47.960
12,  54.538,  54.840
13,  54.910,  52.580
14,  55.796,  55.230
15,  56.364,  55.460
16,  56.618,  55.030
17,  57.450,  57.920
18,  58.592,  57.560
19,  58.990,  55.530
20,  58.544,  59.170
21,  59.322,  58.780
22,  60.252,  57.250
23,  60.252,  57.220
24,  59.966,  55.250
25,  60.814,  57.630
26,  61.314,  56.420
27,  61.584,  55.890
28,  61.784,  56.810
29,  61.284,  55.160
30,  62.252,  49.100
31,  62.006,  55.000
32,  62.024,  55.570
33,  62.596,  59.700
34,  62.668,  60.080
35,  63.626,  59.280
36,  62.796,  60.450
37,  62.974,  58.360
38,  62.756,  61.530
39,  63.334,  61.850
40,  63.206,  56.730
41,  62.856,  55.250
42,  64.296,  58.250
43,  63.540,  55.320
44,  63.780,  64.230
45,  64.110,  61.990
46,  63.600,  61.030
47,  64.292,  60.040
48,  64.180,  60.930
49,  63.886,  62.640
50,  63.640,  60.600
51,  64.430,  62.420
52,  64.636,  60.750
53,  64.726,  63.760
54,  63.856,  63.400
55,  65.318,  62.820
56,  65.234,  61.570
57,  64.904,  60.340
58,  64.070,  63.080
59,  64.450,  63.320
60,  65.376,  54.290
61,  75.620,  76.630
62,  78.456,  77.110
63,  80.218,  76.310
64,  81.156,  76.950
65,  81.846,  76.430
66,  82.204,  75.880
67,  82.650,  76.420
68,  82.702,  77.140
69,  83.464,  76.130
70,  83.702,  75.040
71,  82.882,  76.710
72,  82.754,  74.420
73,  82.996,  74.440
74,  83.486,  75.030
75,  82.832,  76.050
76,  84.186,  75.120
77,  83.990,  76.490
78,  83.864,  76.020
79,  84.668,  75.110
80,  83.780,  75.260
81,  84.558,  75.930
82,  84.692,  74.290
83,  85.134,  73.730
84,  84.262,  74.090
85,  84.784,  72.760
86,  84.870,  73.700
87,  85.764,  75.810
88,  85.706,  74.950
89,  84.600,  71.210
90,  84.970,  74.620
91,  85.136,  73.280
92,  85.390,  75.100
93,  85.388,  75.250
94,  86.060,  73.720
95,  85.930,  73.650
96,  85.818,  74.030
97,  84.984,  74.270
98,  86.722,  74.740
99,  86.702,  74.130
100,  85.798,  75.010
101,  86.400,  73.540
102,  86.848,  75.260
103,  86.672,  73.380
104,  86.676,  73.500
105,  87.512,  74.820
106,  86.848,  73.860
107,  87.250,  74.480
108,  87.764,  74.720
109,  86.880,  73.680
110,  87.230,  74.450
111,  87.824,  74.810
112,  87.594,  73.470
113,  87.600,  75.440
114,  87.184,  73.150
115,  86.524,  75.370
116,  88.408,  74.930
117,  88.182,  74.380
118,  87.840,  74.820
119,  87.950,  73.520
120,  87.592,  75.410
121,  94.084,  80.110
122,  95.718,  80.610
123,  96.614,  80.710
124,  96.970,  81.000
125,  97.256,  80.940
126,  97.644,  80.820
127,  97.480,  80.810
128,  97.836,  80.930
129,  97.802,  80.960
130,  97.908,  80.840
131,  98.372,  81.060
132,  98.196,  81.280
133,  98.440,  81.020
134,  98.352,  80.920
135,  98.464,  81.140
136,  98.524,  80.910
137,  98.558,  81.080
138,  98.632,  81.210
139,  98.634,  81.240
140,  98.568,  80.990
141,  98.826,  80.660
142,  98.570,  80.350
143,  98.762,  80.840
144,  98.866,  80.600
145,  98.674,  81.160
146,  98.782,  80.950
147,  98.772,  81.040
148,  98.792,  81.230
149,  98.860,  80.730
150,  98.598,  80.710
151,  98.796,  80.860
152,  98.722,  80.470
153,  98.878,  80.700
154,  98.802,  80.840
155,  98.786,  80.160
156,  98.780,  80.700
157,  98.930,  80.800
158,  98.994,  81.160
159,  98.966,  80.710
160,  98.934,  80.800
161,  99.132,  81.740
162,  99.342,  81.910
163,  99.364,  81.830
164,  99.448,  81.940
165,  99.420,  81.870
166,  99.444,  81.960
167,  99.442,  81.880
168,  99.520,  81.960
169,  99.528,  81.910
170,  99.538,  81.830
171,  99.592,  81.930
172,  99.612,  81.950
173,  99.546,  82.050
174,  99.576,  81.780
175,  99.602,  82.020
176,  99.564,  81.650
177,  99.610,  81.860
178,  99.626,  81.790
179,  99.608,  81.890
180,  99.642,  81.960
181,  99.656,  82.050
182,  99.636,  82.140
183,  99.700,  82.040
184,  99.652,  81.990
185,  99.650,  82.060
186,  99.640,  82.130
187,  99.676,  82.120
188,  99.578,  82.260
189,  99.634,  81.970
190,  99.680,  81.910
191,  99.674,  81.920
192,  99.684,  81.920
193,  99.668,  82.050
194,  99.612,  81.820
195,  99.668,  81.900
196,  99.660,  81.910
197,  99.646,  81.840
198,  99.718,  81.980
199,  99.666,  82.020
200,  99.712,  81.890
best epoch: 188,,  82.260
