mng_dataset,cifar10
mng_model,resnet18
first_model_load_path,
mng_save_data,False
batch_size,128
mng_epochs,200
learning_rate,0.1
data_augmentation,True
save_models,True
cutout,False
cutout_n_holes,1
cutout_len,16
seed,4
mng_threshold,0
mng_n_branches,9
mng_init_len,11
mng_randcolor,False
mng_faredge,False
n_workers,2
experiment_name,mng_c10_res18_3x3_s4
device,cuda:0
""
epoch,train_acc,test_acc
1,  30.956,  37.340
2,  46.796,  55.130
3,  56.804,  56.970
4,  63.196,  66.780
5,  67.920,  67.860
6,  71.488,  74.080
7,  73.692,  74.390
8,  75.646,  63.190
9,  76.384,  79.490
10,  77.616,  74.970
11,  78.706,  79.030
12,  78.930,  80.080
13,  79.652,  79.810
14,  80.420,  74.840
15,  81.050,  74.620
16,  80.860,  78.320
17,  81.554,  84.920
18,  81.780,  80.230
19,  82.114,  79.860
20,  82.592,  82.880
21,  82.560,  80.470
22,  83.086,  84.000
23,  83.108,  80.440
24,  83.412,  82.990
25,  83.680,  77.630
26,  83.222,  82.180
27,  84.126,  84.970
28,  83.792,  81.210
29,  83.880,  83.360
30,  83.708,  80.780
31,  84.072,  78.490
32,  84.274,  83.000
33,  84.224,  84.020
34,  84.016,  84.070
35,  84.452,  76.440
36,  84.168,  83.020
37,  84.438,  83.710
38,  84.348,  84.080
39,  85.046,  84.390
40,  84.250,  83.490
41,  84.826,  85.070
42,  85.046,  81.140
43,  84.764,  81.240
44,  84.566,  82.790
45,  84.950,  86.260
46,  84.780,  84.550
47,  84.846,  80.540
48,  85.490,  81.520
49,  84.872,  84.760
50,  85.232,  85.540
51,  85.454,  85.840
52,  84.952,  84.810
53,  85.010,  80.250
54,  85.046,  83.680
55,  85.312,  85.550
56,  85.048,  84.690
57,  85.164,  82.810
58,  85.428,  81.240
59,  85.420,  85.690
60,  85.204,  79.730
61,  90.288,  92.910
62,  91.488,  92.920
63,  91.858,  92.240
64,  92.654,  93.360
65,  92.566,  93.470
66,  92.846,  92.480
67,  92.948,  93.490
68,  92.772,  93.000
69,  93.426,  92.180
70,  93.124,  92.220
71,  92.678,  92.790
72,  93.240,  92.310
73,  92.926,  92.930
74,  93.444,  92.770
75,  93.124,  92.520
76,  92.954,  91.760
77,  93.734,  93.000
78,  92.876,  92.960
79,  93.008,  92.530
80,  93.222,  92.230
81,  93.118,  92.150
82,  93.106,  92.500
83,  93.304,  92.190
84,  93.096,  91.660
85,  93.030,  91.570
86,  93.372,  92.640
87,  93.494,  92.410
88,  93.118,  91.210
89,  93.102,  91.650
90,  93.516,  92.430
91,  93.278,  92.500
92,  93.246,  91.480
93,  93.544,  91.320
94,  93.228,  92.940
95,  93.352,  91.850
96,  93.530,  91.720
97,  93.260,  92.250
98,  93.556,  91.700
99,  93.546,  92.510
100,  93.486,  92.490
101,  93.556,  91.940
102,  93.342,  92.060
103,  93.482,  92.240
104,  93.626,  92.120
105,  94.056,  93.040
106,  93.866,  93.270
107,  93.610,  93.170
108,  93.434,  93.170
109,  93.780,  92.160
110,  93.782,  91.350
111,  93.930,  92.420
112,  94.000,  92.360
113,  94.004,  91.590
114,  93.828,  92.180
115,  93.600,  92.910
116,  94.186,  91.340
117,  93.784,  93.450
118,  94.182,  92.210
119,  94.020,  92.980
120,  94.058,  92.120
121,  96.512,  95.190
122,  97.512,  95.330
123,  97.734,  95.550
124,  98.026,  95.380
125,  98.030,  95.630
126,  98.138,  95.550
127,  98.134,  95.640
128,  98.306,  95.630
129,  98.290,  95.740
130,  98.444,  95.580
131,  98.404,  95.610
132,  98.450,  95.600
133,  98.500,  95.750
134,  98.504,  95.630
135,  98.728,  95.650
136,  98.626,  95.560
137,  98.530,  95.610
138,  98.542,  95.570
139,  98.678,  95.680
140,  98.878,  95.560
141,  98.740,  95.530
142,  98.780,  95.630
143,  98.748,  95.530
144,  98.726,  95.640
145,  98.934,  95.470
146,  98.762,  95.550
147,  98.798,  95.430
148,  98.858,  95.520
149,  98.614,  95.600
150,  98.866,  95.670
151,  98.742,  95.640
152,  98.734,  95.400
153,  98.994,  95.240
154,  98.858,  95.170
155,  98.966,  95.400
156,  98.946,  95.270
157,  98.672,  95.530
158,  98.678,  95.420
159,  98.598,  95.440
160,  98.916,  95.410
161,  99.106,  95.800
162,  99.314,  95.840
163,  99.426,  95.880
164,  99.418,  95.860
165,  99.460,  95.890
166,  99.486,  95.810
167,  99.520,  95.860
168,  99.522,  95.860
169,  99.572,  96.000
170,  99.598,  95.880
171,  99.566,  95.930
172,  99.600,  95.990
173,  99.542,  95.970
174,  99.604,  95.870
175,  99.602,  96.010
176,  99.626,  96.030
177,  99.550,  96.010
178,  99.530,  96.000
179,  99.612,  95.990
180,  99.640,  96.020
181,  99.582,  96.060
182,  99.644,  95.950
183,  99.674,  96.010
184,  99.616,  96.040
185,  99.662,  96.050
186,  99.624,  96.010
187,  99.638,  96.070
188,  99.656,  96.020
189,  99.704,  96.040
190,  99.622,  96.080
191,  99.696,  96.120
192,  99.644,  96.070
193,  99.708,  95.920
194,  99.676,  96.020
195,  99.634,  95.950
196,  99.702,  95.970
197,  99.718,  96.060
198,  99.618,  96.090
199,  99.634,  96.040
200,  99.746,  96.170
best epoch: 200,,  96.170
