mng_dataset,cifar10
mng_model,resnet18
first_model_load_path,
mng_save_data,False
batch_size,128
mng_epochs,200
learning_rate,0.1
data_augmentation,True
save_models,True
cutout,False
cutout_n_holes,1
cutout_len,16
seed,4
mng_threshold,0
mng_n_branches,4
mng_init_len,16
mng_randcolor,False
mng_faredge,True
n_workers,2
experiment_name,mng_c10_res18_faredge_s4
device,cuda:0
""
epoch,train_acc,test_acc
1,  29.232,  42.860
2,  45.886,  52.530
3,  56.458,  63.550
4,  62.056,  64.180
5,  66.734,  72.350
6,  71.322,  60.130
7,  74.076,  73.230
8,  74.832,  75.860
9,  76.464,  75.240
10,  77.344,  76.260
11,  78.056,  75.150
12,  78.948,  77.010
13,  79.498,  79.730
14,  79.308,  75.470
15,  80.900,  79.140
16,  80.478,  81.180
17,  80.876,  80.350
18,  81.664,  79.210
19,  81.766,  82.610
20,  81.764,  80.500
21,  81.974,  84.340
22,  82.198,  79.020
23,  82.274,  78.880
24,  82.448,  81.250
25,  82.858,  79.920
26,  82.828,  85.280
27,  82.560,  77.380
28,  82.628,  78.730
29,  82.558,  82.370
30,  83.576,  83.480
31,  82.920,  78.000
32,  83.622,  83.330
33,  83.480,  84.090
34,  83.624,  83.340
35,  83.034,  83.500
36,  83.526,  83.010
37,  83.522,  84.270
38,  83.740,  83.280
39,  83.724,  82.960
40,  83.548,  83.870
41,  83.944,  82.540
42,  83.984,  84.430
43,  84.038,  84.050
44,  83.606,  80.350
45,  84.196,  83.500
46,  83.822,  78.920
47,  84.228,  83.490
48,  83.938,  82.590
49,  84.020,  86.300
50,  84.184,  83.090
51,  84.198,  85.210
52,  84.180,  83.680
53,  83.834,  87.270
54,  84.576,  79.370
55,  84.442,  82.950
56,  84.518,  78.780
57,  84.284,  82.430
58,  84.690,  85.820
59,  84.082,  81.350
60,  84.660,  86.520
61,  89.704,  92.160
62,  90.868,  93.160
63,  91.744,  93.100
64,  92.372,  92.660
65,  92.440,  93.060
66,  92.334,  93.460
67,  92.860,  93.350
68,  92.404,  92.850
69,  92.184,  92.740
70,  92.782,  92.840
71,  92.680,  92.630
72,  93.362,  92.690
73,  92.744,  91.800
74,  92.390,  92.880
75,  92.626,  92.130
76,  92.254,  92.380
77,  92.314,  91.360
78,  92.748,  90.190
79,  92.722,  92.690
80,  92.526,  91.660
81,  92.386,  91.530
82,  92.658,  92.280
83,  92.530,  91.810
84,  92.856,  92.320
85,  92.934,  91.580
86,  93.136,  88.940
87,  93.064,  92.140
88,  92.638,  92.370
89,  93.190,  92.830
90,  93.052,  92.820
91,  93.126,  92.060
92,  93.430,  92.670
93,  93.420,  91.600
94,  93.580,  91.970
95,  93.444,  90.370
96,  93.196,  92.100
97,  93.226,  91.530
98,  93.134,  91.950
99,  93.004,  92.600
100,  93.158,  92.420
101,  93.166,  92.490
102,  93.208,  92.160
103,  93.420,  91.400
104,  93.358,  92.460
105,  93.494,  92.340
106,  93.506,  92.650
107,  93.230,  91.640
108,  93.664,  91.570
109,  93.832,  91.900
110,  93.460,  91.820
111,  93.236,  90.000
112,  93.532,  92.120
113,  93.690,  92.090
114,  93.638,  92.860
115,  93.288,  91.820
116,  93.694,  91.160
117,  93.420,  92.890
118,  93.360,  91.170
119,  93.828,  92.110
120,  93.446,  92.450
121,  96.486,  94.850
122,  97.184,  94.940
123,  97.620,  95.110
124,  98.002,  95.350
125,  98.050,  95.150
126,  98.306,  95.150
127,  98.194,  95.230
128,  98.422,  95.180
129,  98.442,  95.200
130,  98.514,  94.900
131,  98.650,  95.230
132,  98.534,  95.320
133,  98.684,  95.160
134,  98.504,  95.140
135,  98.590,  95.200
136,  98.648,  95.020
137,  98.868,  95.220
138,  98.768,  95.210
139,  99.068,  95.160
140,  98.824,  95.240
141,  98.822,  95.160
142,  98.802,  95.030
143,  98.898,  95.270
144,  99.014,  95.360
145,  99.010,  95.170
146,  98.868,  94.870
147,  98.956,  95.080
148,  99.052,  95.180
149,  98.872,  95.030
150,  98.896,  95.160
151,  98.850,  95.000
152,  99.022,  94.850
153,  98.896,  94.940
154,  98.842,  94.870
155,  98.986,  95.090
156,  98.890,  94.900
157,  98.890,  95.040
158,  98.868,  94.720
159,  98.918,  94.540
160,  98.996,  95.060
161,  99.340,  95.460
162,  99.458,  95.490
163,  99.544,  95.520
164,  99.510,  95.560
165,  99.610,  95.600
166,  99.652,  95.540
167,  99.656,  95.600
168,  99.736,  95.460
169,  99.652,  95.630
170,  99.704,  95.620
171,  99.674,  95.540
172,  99.698,  95.570
173,  99.740,  95.480
174,  99.676,  95.530
175,  99.716,  95.450
176,  99.784,  95.540
177,  99.730,  95.630
178,  99.720,  95.550
179,  99.710,  95.640
180,  99.718,  95.690
181,  99.738,  95.530
182,  99.740,  95.590
183,  99.768,  95.660
184,  99.778,  95.590
185,  99.788,  95.590
186,  99.812,  95.740
187,  99.782,  95.650
188,  99.788,  95.620
189,  99.828,  95.500
190,  99.838,  95.550
191,  99.798,  95.510
192,  99.794,  95.420
193,  99.804,  95.530
194,  99.800,  95.560
195,  99.806,  95.690
196,  99.820,  95.590
197,  99.788,  95.530
198,  99.812,  95.500
199,  99.818,  95.520
200,  99.822,  95.570
best epoch: 186,,  95.740
