mng_dataset,cifar10
mng_model,resnet18
first_model_load_path,
mng_save_data,False
batch_size,128
mng_epochs,200
learning_rate,0.1
data_augmentation,True
save_models,True
cutout,False
cutout_n_holes,1
cutout_len,16
seed,2
mng_threshold,0
mng_n_branches,4
mng_init_len,16
mng_randcolor,True
mng_faredge,False
n_workers,2
experiment_name,mng_c10_res18_randcolor_s2
device,cuda:0
""
epoch,train_acc,test_acc
1,  26.080,  37.040
2,  41.300,  49.830
3,  49.914,  57.260
4,  57.754,  63.590
5,  62.778,  67.650
6,  66.532,  64.900
7,  69.936,  70.830
8,  72.402,  74.280
9,  73.814,  77.910
10,  74.864,  79.390
11,  75.714,  67.880
12,  76.858,  72.850
13,  76.790,  78.130
14,  78.648,  81.040
15,  78.354,  81.670
16,  78.732,  79.850
17,  78.994,  83.140
18,  79.796,  82.110
19,  79.614,  83.490
20,  80.204,  84.890
21,  80.066,  80.860
22,  80.284,  81.700
23,  80.666,  83.770
24,  80.960,  80.050
25,  80.866,  81.740
26,  81.166,  83.520
27,  81.032,  82.520
28,  80.940,  84.490
29,  81.342,  79.820
30,  81.440,  82.010
31,  82.356,  84.120
32,  81.236,  80.250
33,  81.614,  81.460
34,  82.012,  81.850
35,  82.176,  82.600
36,  81.262,  84.490
37,  82.502,  82.320
38,  82.450,  82.780
39,  82.422,  83.290
40,  82.520,  83.830
41,  82.178,  82.940
42,  82.126,  83.510
43,  82.254,  83.060
44,  82.754,  85.210
45,  82.166,  83.730
46,  82.374,  83.670
47,  83.026,  85.150
48,  81.866,  83.690
49,  82.286,  82.520
50,  82.254,  82.410
51,  82.386,  83.630
52,  82.588,  86.210
53,  82.724,  84.100
54,  82.380,  86.100
55,  82.428,  83.020
56,  82.778,  77.150
57,  82.580,  78.370
58,  82.560,  79.780
59,  82.658,  81.200
60,  82.852,  76.590
61,  87.562,  92.360
62,  89.840,  92.470
63,  90.208,  92.850
64,  90.158,  92.670
65,  90.112,  93.110
66,  90.410,  92.220
67,  90.594,  92.500
68,  90.380,  93.060
69,  90.806,  93.390
70,  90.978,  93.100
71,  90.964,  91.410
72,  90.906,  92.780
73,  91.010,  92.790
74,  90.936,  92.000
75,  90.346,  92.890
76,  90.696,  92.730
77,  90.532,  92.050
78,  90.922,  89.810
79,  91.464,  92.150
80,  90.930,  92.600
81,  90.818,  92.020
82,  91.078,  92.870
83,  90.528,  92.660
84,  90.800,  91.760
85,  90.864,  92.330
86,  91.750,  92.240
87,  90.696,  92.650
88,  90.458,  92.260
89,  90.640,  91.610
90,  91.646,  92.390
91,  90.906,  92.460
92,  90.918,  92.280
93,  91.456,  92.380
94,  91.792,  91.900
95,  90.966,  93.190
96,  91.264,  93.040
97,  91.390,  92.340
98,  91.326,  92.510
99,  91.122,  92.080
100,  91.128,  90.760
101,  91.138,  92.490
102,  91.414,  92.580
103,  91.424,  93.190
104,  91.502,  92.810
105,  91.802,  92.830
106,  91.724,  92.730
107,  91.068,  89.430
108,  91.744,  93.170
109,  91.646,  92.930
110,  92.098,  93.230
111,  91.406,  92.780
112,  92.102,  93.020
113,  91.792,  92.730
114,  91.406,  91.700
115,  92.364,  93.360
116,  92.276,  93.300
117,  91.728,  91.750
118,  91.930,  92.500
119,  91.510,  93.110
120,  91.908,  92.360
121,  94.740,  95.230
122,  95.796,  95.330
123,  96.132,  95.190
124,  96.184,  95.380
125,  96.346,  95.560
126,  96.890,  95.550
127,  97.000,  95.530
128,  96.616,  95.410
129,  97.118,  95.740
130,  97.136,  95.680
131,  97.054,  95.600
132,  97.202,  95.720
133,  97.228,  95.540
134,  97.232,  95.470
135,  97.054,  95.660
136,  97.374,  95.630
137,  97.408,  95.570
138,  97.434,  95.600
139,  97.732,  95.520
140,  97.662,  95.460
141,  97.730,  95.590
142,  97.628,  95.560
143,  97.374,  95.360
144,  97.200,  95.640
145,  97.474,  95.230
146,  97.792,  95.670
147,  97.702,  95.400
148,  97.608,  95.580
149,  97.764,  95.180
150,  97.518,  95.410
151,  97.704,  95.460
152,  97.736,  95.320
153,  97.692,  95.340
154,  97.824,  95.290
155,  97.632,  95.390
156,  97.882,  95.120
157,  97.906,  95.260
158,  97.890,  95.370
159,  97.744,  95.340
160,  97.712,  94.920
161,  98.434,  95.910
162,  98.710,  95.750
163,  98.776,  95.890
164,  98.974,  96.000
165,  98.928,  95.950
166,  98.846,  95.980
167,  99.004,  95.890
168,  99.086,  95.900
169,  99.210,  95.960
170,  99.056,  95.960
171,  98.988,  96.070
172,  99.206,  96.030
173,  99.244,  95.990
174,  99.224,  95.920
175,  99.192,  96.020
176,  99.126,  96.010
177,  99.148,  96.000
178,  99.262,  95.830
179,  99.278,  96.010
180,  99.340,  95.920
181,  99.256,  95.940
182,  99.300,  96.050
183,  99.264,  96.040
184,  99.354,  95.820
185,  99.338,  95.970
186,  99.278,  95.720
187,  99.338,  95.890
188,  99.392,  96.060
189,  99.376,  96.050
190,  99.424,  95.880
191,  99.418,  95.850
192,  99.404,  95.970
193,  99.428,  95.910
194,  99.456,  96.060
195,  99.472,  96.010
196,  99.386,  95.800
197,  99.376,  95.750
198,  99.396,  95.930
199,  99.494,  96.000
200,  99.372,  95.970
best epoch: 171,,  96.070
