mng_dataset,cifar10
mng_model,resnet18
first_model_load_path,
mng_save_data,False
batch_size,128
mng_epochs,200
learning_rate,0.1
data_augmentation,True
save_models,True
cutout,False
cutout_n_holes,1
cutout_len,16
seed,0
mng_threshold,0.05
mng_n_branches,4
mng_init_len,16
mng_randcolor,False
mng_faredge,False
n_workers,2
experiment_name,mng_c10_res18_threshold5
device,cuda:0
""
epoch,train_acc,test_acc
1,  27.062,  39.140
2,  41.226,  48.220
3,  49.488,  56.320
4,  56.500,  59.560
5,  61.060,  59.560
6,  64.538,  68.930
7,  67.896,  72.340
8,  70.296,  71.670
9,  71.826,  67.250
10,  73.708,  78.690
11,  74.874,  79.880
12,  75.994,  80.810
13,  76.738,  74.410
14,  77.414,  66.510
15,  78.168,  74.400
16,  78.590,  75.040
17,  78.278,  80.870
18,  79.264,  79.710
19,  79.308,  78.750
20,  79.238,  80.580
21,  79.698,  78.990
22,  80.226,  82.440
23,  80.374,  77.030
24,  80.796,  84.240
25,  81.008,  71.060
26,  80.758,  83.330
27,  80.888,  82.370
28,  81.152,  81.230
29,  81.356,  86.020
30,  81.520,  79.790
31,  81.578,  81.870
32,  82.032,  83.410
33,  81.706,  83.030
34,  82.006,  81.500
35,  82.090,  84.000
36,  82.156,  82.610
37,  82.328,  84.690
38,  82.412,  79.810
39,  82.382,  83.240
40,  82.262,  78.350
41,  82.378,  77.150
42,  82.312,  80.270
43,  82.680,  84.610
44,  82.360,  85.790
45,  82.734,  82.740
46,  82.344,  84.580
47,  82.834,  83.050
48,  82.226,  85.880
49,  82.920,  82.120
50,  82.848,  84.270
51,  83.038,  86.970
52,  83.366,  79.380
53,  83.108,  84.760
54,  82.730,  79.840
55,  82.430,  77.000
56,  83.052,  83.900
57,  82.228,  84.670
58,  83.036,  84.070
59,  83.084,  81.870
60,  82.884,  80.790
61,  88.510,  92.560
62,  88.898,  92.810
63,  89.902,  93.020
64,  90.536,  92.670
65,  90.932,  93.070
66,  91.214,  92.540
67,  91.026,  93.260
68,  91.454,  92.990
69,  91.192,  92.800
70,  91.802,  92.630
71,  90.554,  92.400
72,  91.058,  92.450
73,  91.144,  92.540
74,  91.104,  92.230
75,  91.602,  91.530
76,  91.504,  92.330
77,  91.360,  92.730
78,  90.754,  91.990
79,  91.362,  92.840
80,  91.108,  91.890
81,  91.164,  92.440
82,  91.786,  92.400
83,  91.674,  91.950
84,  91.584,  91.290
85,  91.402,  93.020
86,  91.450,  91.080
87,  91.038,  91.550
88,  91.084,  92.020
89,  91.536,  93.140
90,  91.496,  91.980
91,  92.374,  91.400
92,  90.868,  93.000
93,  91.488,  91.980
94,  91.660,  92.150
95,  91.848,  92.430
96,  91.550,  91.240
97,  91.932,  92.330
98,  91.324,  91.620
99,  91.896,  92.400
100,  92.178,  92.430
101,  92.112,  91.820
102,  91.790,  92.930
103,  91.840,  91.070
104,  91.846,  92.510
105,  92.150,  92.530
106,  91.292,  92.020
107,  91.940,  92.350
108,  92.316,  92.780
109,  92.348,  92.620
110,  91.722,  92.710
111,  92.110,  90.260
112,  92.462,  89.780
113,  92.162,  92.990
114,  92.868,  90.810
115,  92.220,  92.000
116,  92.650,  92.750
117,  92.458,  92.850
118,  91.980,  92.600
119,  92.654,  92.350
120,  92.060,  91.810
121,  95.034,  95.280
122,  96.206,  95.370
123,  96.532,  95.360
124,  96.510,  95.240
125,  96.952,  95.330
126,  97.268,  95.440
127,  97.148,  95.430
128,  97.214,  95.400
129,  97.194,  95.320
130,  97.490,  95.180
131,  97.542,  95.130
132,  97.652,  95.560
133,  97.552,  95.520
134,  97.764,  95.630
135,  97.904,  95.370
136,  97.822,  95.380
137,  97.776,  95.510
138,  97.950,  95.420
139,  97.912,  95.420
140,  97.942,  95.340
141,  97.950,  95.050
142,  98.090,  95.120
143,  97.872,  95.300
144,  97.992,  95.520
145,  97.974,  95.130
146,  98.092,  95.570
147,  98.194,  95.270
148,  98.178,  94.920
149,  97.746,  95.320
150,  98.206,  95.110
151,  98.056,  95.060
152,  98.222,  95.280
153,  98.054,  95.410
154,  98.122,  95.320
155,  98.334,  95.200
156,  97.930,  95.410
157,  98.272,  95.370
158,  98.040,  95.380
159,  98.152,  95.230
160,  97.974,  95.280
161,  98.650,  95.830
162,  98.904,  95.820
163,  98.968,  95.840
164,  99.134,  95.910
165,  99.054,  95.840
166,  99.310,  96.050
167,  99.256,  95.890
168,  99.244,  95.930
169,  99.260,  96.000
170,  99.398,  96.060
171,  99.358,  96.010
172,  99.222,  96.010
173,  99.414,  95.960
174,  99.324,  95.880
175,  99.370,  96.060
176,  99.482,  96.030
177,  99.490,  96.060
178,  99.410,  96.040
179,  99.396,  96.050
180,  99.480,  96.020
181,  99.360,  95.920
182,  99.490,  96.070
183,  99.478,  95.900
184,  99.436,  96.060
