mng_dataset,cifar10
mng_model,resnet18
first_model_load_path,
mng_save_data,False
batch_size,128
mng_epochs,200
learning_rate,0.1
data_augmentation,True
save_models,True
cutout,False
cutout_n_holes,1
cutout_len,16
seed,1
mng_threshold,0.05
mng_n_branches,4
mng_init_len,16
mng_randcolor,False
mng_faredge,False
n_workers,2
experiment_name,mng_c10_res18_threshold5_s1
device,cuda:0
""
epoch,train_acc,test_acc
1,  31.276,  40.520
2,  44.374,  52.560
3,  53.764,  59.990
4,  60.320,  62.860
5,  64.068,  67.140
6,  67.996,  73.240
7,  71.018,  71.880
8,  73.380,  78.870
9,  74.548,  74.750
10,  75.942,  75.740
11,  76.564,  70.300
12,  77.324,  77.790
13,  77.344,  75.780
14,  78.770,  82.470
15,  79.108,  80.220
16,  78.668,  76.940
17,  79.494,  80.720
18,  80.570,  80.820
19,  79.874,  81.990
20,  79.724,  83.160
21,  80.708,  77.930
22,  80.638,  80.090
23,  80.988,  82.110
24,  81.094,  82.930
25,  80.740,  84.100
26,  81.678,  82.870
27,  81.734,  82.670
28,  81.678,  79.650
29,  81.878,  74.870
30,  81.866,  78.340
31,  82.024,  83.260
32,  82.134,  82.640
33,  82.138,  84.180
34,  81.698,  85.330
35,  82.198,  82.550
36,  82.310,  83.260
37,  82.792,  84.670
38,  82.876,  77.460
39,  82.486,  84.570
40,  82.640,  83.700
41,  82.402,  83.230
42,  82.796,  84.820
43,  82.700,  84.780
44,  82.870,  84.560
45,  82.616,  83.100
46,  83.598,  81.280
47,  82.390,  78.190
48,  82.930,  79.530
49,  83.510,  84.070
50,  83.196,  77.650
51,  82.504,  83.210
52,  82.828,  85.860
53,  83.176,  80.920
54,  83.394,  85.210
55,  83.356,  83.240
56,  83.564,  79.620
57,  83.268,  78.530
58,  84.172,  85.900
59,  83.038,  81.730
60,  83.084,  83.580
61,  88.230,  92.790
62,  90.050,  93.050
63,  89.370,  92.920
64,  91.094,  93.240
65,  90.500,  92.870
66,  90.706,  93.300
67,  91.132,  92.850
68,  91.532,  93.320
69,  91.076,  92.250
70,  90.844,  92.530
71,  91.230,  93.110
72,  90.940,  93.200
73,  91.924,  92.670
74,  91.180,  92.940
75,  91.232,  92.320
76,  91.180,  92.340
77,  90.878,  92.420
78,  91.188,  93.260
79,  91.114,  92.200
80,  91.492,  91.780
81,  91.732,  92.590
82,  90.986,  92.890
83,  91.778,  92.250
84,  91.364,  92.780
85,  91.264,  91.390
86,  90.920,  92.330
87,  91.388,  92.190
88,  91.674,  92.540
89,  91.164,  92.830
90,  91.792,  92.990
91,  91.404,  92.460
92,  91.992,  92.380
93,  91.560,  92.590
94,  91.922,  93.140
95,  91.162,  92.880
96,  91.352,  92.090
97,  91.824,  92.880
98,  91.652,  91.530
99,  91.818,  92.410
100,  91.988,  92.730
101,  92.466,  92.330
102,  92.414,  92.280
103,  91.866,  92.680
104,  91.848,  92.920
105,  92.168,  92.720
106,  91.568,  92.610
107,  92.410,  92.190
108,  92.000,  92.330
109,  92.146,  91.280
110,  91.788,  93.010
111,  92.104,  93.020
112,  92.116,  92.400
113,  92.034,  92.630
114,  91.820,  92.270
115,  92.506,  92.480
116,  92.418,  93.020
117,  92.384,  92.190
118,  91.976,  93.020
119,  92.056,  93.140
120,  92.372,  92.340
121,  95.082,  95.200
122,  96.114,  95.220
123,  96.222,  95.470
124,  96.570,  95.370
125,  97.104,  95.370
126,  96.972,  95.440
127,  97.084,  95.520
128,  97.174,  95.590
129,  97.316,  95.570
130,  97.448,  95.390
131,  97.522,  95.390
132,  97.808,  95.480
133,  97.636,  95.530
134,  97.660,  95.420
135,  97.494,  95.350
136,  97.532,  95.460
137,  97.774,  95.540
138,  98.032,  95.550
139,  97.676,  95.630
140,  97.870,  95.440
141,  97.862,  95.600
142,  97.804,  95.210
143,  98.090,  95.640
144,  97.848,  95.690
145,  97.800,  95.420
146,  97.686,  95.410
147,  97.752,  95.320
148,  98.266,  95.500
149,  97.828,  95.390
150,  97.932,  95.280
151,  98.048,  95.480
152,  97.970,  95.420
153,  97.934,  95.540
154,  97.740,  95.540
155,  98.086,  95.540
156,  98.012,  95.380
157,  98.032,  95.210
158,  97.948,  95.370
159,  97.926,  95.240
160,  98.022,  95.330
161,  98.642,  95.970
162,  98.868,  95.950
163,  98.916,  95.980
164,  99.076,  96.010
