mng_dataset,cifar10
mng_model,wideresnet
first_model_load_path,
mng_save_data,False
batch_size,128
mng_epochs,200
learning_rate,0.1
data_augmentation,True
save_models,True
cutout,False
cutout_n_holes,1
cutout_len,16
seed,3
mango,True
mng_threshold,0
mng_n_branches,9
mng_init_len,11
mng_randcolor,False
mng_faredge,False
n_workers,2
experiment_name,mng_c10_wideres_3x3_s3
device,cuda:0
""
epoch,train_acc,test_acc
1,  39.730,  34.800
2,  59.840,  67.360
3,  67.076,  66.330
4,  72.366,  71.700
5,  74.786,  77.700
6,  76.368,  73.740
7,  77.762,  75.100
8,  79.098,  78.550
9,  79.650,  82.030
10,  80.898,  81.690
11,  80.576,  81.010
12,  81.532,  82.280
13,  82.224,  82.610
14,  82.464,  83.790
15,  82.526,  81.900
16,  83.042,  80.640
17,  83.018,  79.400
18,  83.456,  86.010
19,  83.770,  82.360
20,  84.486,  78.010
21,  84.772,  84.570
22,  84.168,  82.220
23,  84.642,  84.450
24,  84.276,  77.040
25,  84.948,  83.140
26,  85.080,  84.050
27,  85.138,  80.610
28,  85.276,  85.710
29,  85.280,  86.200
30,  85.018,  84.390
31,  85.024,  84.770
32,  85.692,  82.040
33,  85.370,  83.040
34,  85.636,  84.670
35,  85.604,  86.660
36,  85.100,  87.730
37,  85.606,  86.010
38,  86.042,  87.150
39,  85.732,  84.620
40,  85.882,  84.550
41,  86.008,  85.420
42,  86.058,  86.080
43,  85.926,  82.710
44,  85.824,  84.820
45,  86.494,  80.780
46,  86.062,  83.400
47,  86.002,  89.040
48,  85.986,  82.820
49,  85.986,  85.510
50,  86.146,  87.500
51,  86.476,  82.390
52,  86.340,  86.440
53,  86.340,  86.990
54,  86.956,  89.470
55,  86.064,  87.280
56,  86.282,  82.120
57,  86.580,  84.940
58,  86.426,  87.840
59,  86.422,  86.470
60,  86.792,  86.390
61,  90.998,  94.400
62,  92.740,  94.330
63,  93.182,  94.180
64,  93.650,  94.750
65,  93.826,  94.760
66,  94.036,  94.230
67,  93.810,  94.330
68,  94.100,  94.880
69,  93.756,  94.080
70,  94.370,  94.170
71,  94.084,  94.460
72,  93.838,  94.760
73,  94.252,  94.410
74,  94.088,  94.470
75,  93.932,  93.320
76,  93.746,  93.920
77,  93.984,  93.500
78,  93.930,  93.090
79,  93.968,  93.380
80,  93.678,  92.210
81,  94.112,  91.330
82,  94.138,  93.740
83,  93.896,  93.270
84,  94.152,  94.240
85,  93.966,  93.640
86,  93.976,  92.300
87,  94.450,  94.410
88,  93.754,  93.240
89,  93.614,  93.230
90,  93.884,  93.740
91,  94.280,  93.690
92,  94.368,  92.930
93,  94.468,  93.520
94,  94.334,  93.410
95,  93.758,  92.830
96,  94.420,  93.150
97,  94.450,  93.970
98,  93.958,  93.040
99,  94.254,  93.460
100,  94.600,  93.880
101,  94.232,  92.620
102,  94.528,  92.960
103,  93.990,  93.150
104,  94.468,  94.580
105,  94.294,  93.730
106,  94.504,  93.560
107,  94.238,  94.660
108,  94.432,  93.810
109,  94.366,  94.100
110,  94.806,  92.600
111,  94.540,  93.920
112,  94.452,  93.960
113,  94.278,  93.250
114,  94.588,  94.050
115,  94.632,  93.040
116,  94.774,  94.470
117,  94.690,  93.860
118,  94.704,  94.140
119,  94.898,  93.920
120,  94.974,  93.410
121,  97.064,  96.210
122,  97.960,  96.510
123,  98.134,  96.280
124,  98.320,  96.270
125,  98.482,  96.280
126,  98.436,  96.580
127,  98.516,  96.450
128,  98.738,  96.480
129,  98.804,  96.450
130,  98.722,  96.400
131,  98.870,  96.410
132,  98.806,  96.480
133,  98.808,  96.470
134,  98.724,  96.510
135,  98.724,  96.740
136,  98.838,  96.550
137,  98.862,  96.370
138,  99.050,  96.440
139,  98.866,  96.530
140,  98.984,  96.360
141,  98.918,  96.230
142,  98.886,  96.280
143,  98.946,  96.560
144,  99.144,  96.480
145,  99.004,  96.440
146,  98.946,  96.570
147,  98.994,  96.590
148,  99.054,  96.440
149,  99.116,  96.310
150,  99.088,  96.190
151,  99.032,  96.450
152,  98.968,  96.130
153,  99.036,  96.470
154,  99.068,  96.410
155,  98.874,  96.310
156,  99.020,  96.420
157,  99.090,  96.110
158,  99.056,  96.320
159,  98.954,  96.430
160,  99.044,  96.400
161,  99.336,  96.660
162,  99.456,  96.880
163,  99.528,  96.870
164,  99.508,  96.860
165,  99.582,  96.880
166,  99.564,  96.740
167,  99.570,  96.800
168,  99.674,  96.900
169,  99.644,  96.850
170,  99.660,  96.950
171,  99.592,  96.900
172,  99.658,  96.980
173,  99.692,  97.010
174,  99.648,  96.940
175,  99.702,  96.830
176,  99.662,  96.890
177,  99.652,  96.960
178,  99.648,  96.900
179,  99.698,  96.830
180,  99.694,  96.840
181,  99.686,  96.890
182,  99.706,  96.920
183,  99.680,  96.840
184,  99.726,  96.880
185,  99.710,  96.880
186,  99.696,  96.870
187,  99.742,  97.000
188,  99.752,  96.790
189,  99.608,  96.800
190,  99.766,  96.890
191,  99.728,  96.950
192,  99.762,  96.850
193,  99.760,  96.880
194,  99.700,  96.880
195,  99.740,  96.860
196,  99.756,  96.920
197,  99.692,  96.880
198,  99.686,  96.870
199,  99.752,  96.850
200,  99.764,  96.860
best epoch: 173,,  97.010
