mng_dataset,cifar10
mng_model,wideresnet
first_model_load_path,
mng_save_data,False
batch_size,128
mng_epochs,200
learning_rate,0.1
data_augmentation,True
save_models,True
cutout,False
cutout_n_holes,1
cutout_len,16
seed,2
mango,True
mng_threshold,0
mng_n_branches,4
mng_init_len,16
mng_randcolor,True
mng_faredge,False
n_workers,2
experiment_name,mng_c10_wideres_randcolor_s2
device,cuda:0
""
epoch,train_acc,test_acc
1,  38.288,  48.920
2,  56.376,  63.660
3,  65.310,  67.540
4,  69.562,  67.970
5,  71.840,  74.390
6,  74.344,  69.320
7,  75.278,  79.210
8,  76.308,  66.630
9,  77.498,  83.320
10,  78.296,  80.240
11,  78.320,  80.440
12,  79.106,  81.110
13,  79.236,  82.960
14,  79.964,  81.650
15,  79.978,  81.010
16,  80.680,  79.910
17,  80.650,  84.020
18,  81.544,  79.650
19,  80.806,  84.400
20,  81.724,  72.850
21,  81.250,  81.270
22,  81.894,  83.530
23,  82.230,  81.600
24,  81.688,  70.080
25,  82.730,  83.960
26,  82.104,  86.100
27,  81.746,  80.740
28,  82.214,  85.350
29,  83.308,  84.390
30,  82.372,  84.950
31,  82.472,  83.800
32,  83.052,  81.780
33,  82.590,  83.340
34,  83.162,  85.090
35,  82.754,  87.250
36,  83.398,  82.370
37,  83.644,  85.890
38,  84.312,  85.800
39,  83.388,  86.850
40,  83.346,  87.340
41,  83.176,  86.010
42,  83.496,  79.700
43,  83.640,  85.160
44,  83.622,  77.410
45,  83.742,  87.440
46,  83.926,  84.880
47,  83.864,  85.490
48,  83.834,  84.480
49,  84.634,  87.230
50,  83.148,  87.890
51,  83.740,  82.940
52,  83.754,  85.550
53,  83.820,  84.810
54,  83.772,  86.540
55,  84.124,  83.820
56,  84.082,  80.050
57,  83.664,  88.840
58,  83.914,  84.120
59,  84.330,  86.660
60,  83.574,  80.030
61,  89.006,  93.650
62,  90.826,  94.550
63,  90.984,  94.490
64,  91.822,  94.260
65,  91.786,  94.350
66,  92.042,  94.460
67,  92.084,  94.120
68,  91.658,  94.370
69,  92.012,  93.630
70,  92.222,  94.080
71,  91.768,  92.240
72,  91.676,  94.310
73,  92.150,  92.960
74,  91.860,  93.960
75,  92.034,  93.680
76,  91.892,  94.480
77,  91.810,  93.550
78,  92.670,  93.480
79,  92.182,  93.040
80,  91.640,  93.590
81,  92.252,  92.270
82,  92.348,  93.940
83,  91.724,  93.780
84,  92.012,  93.090
85,  91.670,  93.330
86,  91.680,  93.870
87,  91.400,  93.890
88,  92.082,  93.550
89,  92.162,  93.200
90,  92.440,  93.690
91,  92.300,  93.120
92,  92.284,  93.760
93,  91.996,  93.060
94,  92.790,  93.750
95,  92.504,  93.990
96,  92.552,  93.400
97,  92.342,  94.280
98,  93.070,  93.190
99,  92.566,  93.340
100,  92.220,  92.660
101,  92.432,  94.240
102,  92.972,  93.760
103,  92.684,  93.050
104,  92.424,  93.450
105,  93.146,  94.700
106,  92.790,  93.350
107,  92.890,  93.280
108,  92.590,  93.860
109,  92.706,  93.270
110,  92.894,  93.790
111,  92.698,  93.250
112,  92.784,  93.470
113,  92.842,  91.740
114,  92.570,  92.550
115,  93.050,  91.920
116,  92.700,  94.050
117,  92.582,  93.980
118,  93.140,  93.930
119,  92.354,  93.270
120,  92.972,  93.220
121,  95.530,  96.240
122,  96.614,  96.230
123,  97.128,  96.360
124,  97.192,  96.420
125,  97.348,  96.260
126,  97.456,  96.380
127,  97.798,  96.380
128,  97.680,  96.350
129,  97.894,  96.570
130,  97.604,  96.720
131,  97.982,  96.470
132,  97.980,  96.400
133,  98.128,  96.560
134,  97.916,  96.330
135,  97.940,  96.390
136,  98.172,  96.220
137,  98.118,  96.420
138,  98.042,  96.370
139,  98.318,  96.320
140,  98.220,  96.220
141,  98.156,  96.410
142,  98.064,  96.330
143,  98.248,  96.410
144,  98.198,  96.290
145,  98.236,  96.470
146,  98.500,  96.420
147,  98.158,  96.260
148,  98.308,  96.220
149,  98.358,  96.510
150,  98.134,  96.210
151,  98.156,  96.370
152,  98.334,  96.350
153,  98.264,  96.120
154,  98.386,  96.130
155,  98.282,  96.160
156,  98.182,  96.470
157,  98.320,  96.250
158,  98.198,  96.490
159,  98.228,  96.370
160,  98.240,  96.070
161,  98.776,  96.690
162,  98.978,  96.590
163,  99.086,  96.770
164,  99.270,  96.830
165,  99.232,  96.910
166,  99.324,  96.920
167,  99.250,  96.900
168,  99.326,  96.930
169,  99.434,  96.850
170,  99.378,  96.810
171,  99.384,  96.910
172,  99.440,  97.000
173,  99.390,  96.870
174,  99.344,  96.810
175,  99.376,  96.880
176,  99.378,  96.810
177,  99.392,  96.940
178,  99.438,  96.900
179,  99.438,  96.810
180,  99.402,  96.860
181,  99.468,  96.900
182,  99.486,  96.890
183,  99.470,  96.980
184,  99.444,  96.910
185,  99.554,  97.070
186,  99.478,  96.920
187,  99.506,  97.020
188,  99.580,  96.930
189,  99.564,  96.920
190,  99.492,  96.990
191,  99.530,  96.880
192,  99.480,  96.930
193,  99.528,  96.850
194,  99.526,  96.920
195,  99.582,  96.870
196,  99.576,  96.840
197,  99.582,  96.820
198,  99.512,  96.940
199,  99.634,  96.790
200,  99.498,  96.930
best epoch: 185,,  97.070
