first_dataset,cifar10
first_model,resnet18
mng_dataset,cifar10
mng_model,resnet18
first_model_load_path,
mng_load_data_path,
mng_save_data,False
batch_size,128
n_epochs,200
mng_epochs,200
learning_rate,0.1
data_augmentation,True
save_models,True
cutout,False
cutout_n_holes,1
cutout_len,16
seed,3
mango,True
retrain,False
forced,False
gt,False
origmng,False
mng_n_branches,4
mng_init_len,16
n_workers,2
experiment_name,MANGO_CUT-1ph-faster-s3
device,cuda:0
""
epoch,train_acc,test_acc
1,  20.800,  33.680
2,  37.082,  45.630
3,  46.492,  52.720
4,  53.752,  55.800
5,  59.374,  56.450
6,  63.394,  65.730
7,  66.132,  68.490
8,  68.504,  68.380
9,  71.126,  74.650
10,  73.632,  75.780
11,  74.696,  76.850
12,  75.396,  79.570
13,  76.774,  78.220
14,  77.364,  77.650
15,  78.338,  78.960
16,  79.158,  74.590
17,  79.478,  77.240
18,  80.192,  70.860
19,  79.652,  82.260
20,  80.086,  79.910
21,  81.292,  78.100
22,  81.192,  80.150
23,  81.000,  78.930
24,  81.494,  84.400
25,  81.892,  84.680
26,  81.676,  75.910
27,  81.760,  82.330
28,  81.944,  81.560
29,  82.470,  84.230
30,  82.742,  85.120
31,  82.028,  82.960
32,  82.466,  82.160
33,  82.474,  82.150
34,  82.638,  85.060
35,  82.620,  81.590
36,  83.364,  80.390
37,  83.022,  81.890
38,  83.006,  81.510
39,  83.302,  84.220
40,  83.078,  79.300
41,  83.658,  83.420
42,  83.512,  81.260
43,  83.550,  85.250
44,  83.524,  79.710
45,  83.706,  80.680
46,  83.656,  75.850
47,  83.432,  83.890
48,  83.370,  85.330
49,  84.034,  81.920
50,  83.260,  83.610
51,  83.586,  81.590
52,  84.138,  83.500
53,  83.730,  83.390
54,  83.778,  87.150
55,  84.060,  82.660
56,  83.942,  80.880
57,  83.962,  84.420
58,  83.796,  86.610
59,  84.274,  84.920
60,  83.816,  84.630
61,  89.398,  92.500
62,  91.056,  92.830
63,  91.626,  92.810
64,  91.244,  92.180
65,  91.948,  92.880
66,  92.098,  92.480
67,  92.520,  92.280
68,  92.054,  92.900
69,  91.718,  92.560
70,  92.196,  92.580
71,  92.236,  92.010
72,  92.428,  92.590
73,  92.610,  92.080
74,  92.438,  92.130
75,  92.258,  90.890
76,  92.218,  90.240
77,  92.222,  91.150
78,  92.422,  92.340
79,  92.084,  92.030
80,  92.174,  91.850
81,  92.860,  90.860
82,  92.496,  90.980
83,  92.250,  91.380
84,  91.860,  92.550
85,  92.164,  91.360
86,  92.364,  92.110
87,  92.468,  91.790
88,  92.554,  92.190
89,  92.920,  90.270
90,  92.838,  91.470
91,  92.480,  92.110
92,  92.842,  92.020
93,  92.164,  90.900
94,  92.472,  90.850
95,  92.544,  92.220
96,  92.540,  91.970
97,  92.674,  91.060
98,  92.384,  92.010
99,  92.786,  92.220
100,  92.064,  90.510
101,  92.880,  91.900
102,  92.644,  91.470
103,  92.730,  91.510
104,  93.012,  92.190
105,  92.782,  91.940
106,  93.222,  91.770
107,  92.928,  91.270
108,  92.652,  92.070
109,  92.686,  92.540
110,  92.862,  91.420
111,  93.480,  91.950
112,  92.934,  92.170
113,  93.080,  91.530
114,  92.838,  92.210
115,  93.016,  92.110
116,  93.270,  92.420
117,  93.404,  91.760
118,  93.126,  90.480
119,  92.820,  92.450
120,  93.196,  91.060
121,  95.770,  94.610
122,  96.544,  94.850
123,  96.822,  95.040
124,  97.206,  95.010
125,  97.172,  95.350
126,  97.068,  95.310
127,  97.230,  95.280
128,  97.524,  95.340
129,  97.456,  95.330
130,  97.752,  95.480
131,  97.624,  95.500
132,  97.912,  95.340
133,  97.860,  95.400
134,  97.608,  95.320
135,  97.500,  95.280
136,  97.634,  95.530
137,  97.544,  95.280
138,  97.624,  95.450
139,  97.924,  95.400
140,  97.688,  95.290
141,  97.782,  95.060
142,  98.226,  95.480
143,  97.832,  95.300
144,  97.800,  95.300
145,  97.816,  95.130
146,  97.934,  95.560
147,  97.940,  95.270
148,  97.932,  95.390
149,  97.980,  95.270
150,  98.274,  95.380
151,  97.944,  95.460
152,  98.018,  95.200
153,  97.952,  95.190
154,  97.998,  95.190
155,  97.978,  94.920
156,  97.950,  95.100
157,  98.158,  95.310
158,  97.976,  95.320
159,  97.974,  95.240
160,  97.802,  95.220
161,  98.418,  95.620
162,  98.516,  95.740
163,  98.562,  95.700
164,  98.904,  95.700
165,  98.924,  95.700
166,  98.738,  95.830
167,  98.780,  95.820
168,  98.752,  95.800
169,  98.918,  95.710
170,  98.940,  95.730
171,  99.038,  95.690
172,  99.016,  95.910
173,  98.956,  95.700
174,  98.962,  95.840
175,  99.014,  95.740
176,  98.986,  95.810
177,  98.958,  95.780
178,  99.042,  95.810
179,  99.016,  95.780
180,  98.954,  95.680
181,  99.062,  95.850
182,  99.084,  95.890
183,  99.126,  95.820
184,  99.108,  95.840
185,  99.018,  95.860
186,  99.206,  95.850
187,  98.928,  95.850
188,  98.988,  95.950
189,  99.140,  95.910
190,  99.130,  95.960
191,  99.124,  96.030
192,  99.158,  95.870
193,  99.090,  95.850
194,  99.092,  95.820
195,  99.124,  95.860
196,  99.200,  95.850
197,  99.164,  95.770
198,  99.130,  95.860
199,  99.182,  95.760
200,  99.156,  95.820
best epoch: 191,,  96.030
