first_dataset,cifar10
first_model,resnet18
mng_dataset,cifar10
mng_model,resnet18
first_model_load_path,models/mng-per-ep-originalsetting-res18.pt
mng_load_data_path,
mng_save_data,False
batch_size,128
n_epochs,200
mng_epochs,200
learning_rate,0.1
data_augmentation,True
save_models,True
cutout,False
cutout_n_holes,1
cutout_len,16
seed,0
mango,True
forced,False
gt,False
mng_n_branches,4
mng_init_len,16
n_workers,2
experiment_name,MANGO_CUT
device,cuda:0
""
epoch,train_acc,test_acc
1,  29.972,  39.500
2,  41.706,  44.130
3,  49.526,  52.330
4,  56.388,  62.350
5,  60.108,  62.840
6,  63.516,  66.970
7,  65.784,  67.580
8,  67.878,  68.750
9,  69.710,  64.310
10,  71.608,  77.590
11,  72.960,  78.260
12,  73.792,  76.650
13,  74.610,  75.420
14,  75.452,  77.740
15,  76.086,  79.730
16,  76.484,  80.950
17,  77.006,  79.420
18,  77.376,  77.590
19,  77.664,  80.860
20,  77.910,  83.470
21,  77.998,  79.930
22,  78.320,  78.770
23,  78.748,  83.670
24,  79.332,  82.250
25,  79.446,  77.640
26,  79.092,  79.570
27,  79.704,  79.080
28,  79.618,  84.290
29,  79.948,  78.270
30,  79.892,  75.800
31,  79.946,  82.270
32,  80.324,  84.420
33,  80.028,  83.960
34,  80.168,  77.330
35,  80.342,  81.150
36,  80.572,  80.020
37,  80.350,  82.050
38,  80.538,  84.400
39,  80.754,  81.190
40,  80.424,  82.020
41,  80.806,  81.280
42,  80.744,  84.030
43,  80.836,  80.780
44,  81.212,  76.430
45,  80.964,  82.610
46,  80.962,  84.440
47,  81.034,  83.710
48,  81.210,  83.240
49,  81.216,  80.810
50,  81.262,  86.410
51,  81.638,  84.100
52,  81.478,  84.830
53,  81.324,  82.160
54,  81.492,  82.250
55,  81.480,  85.200
56,  81.512,  83.720
57,  81.526,  84.440
58,  81.528,  82.720
59,  81.474,  81.790
60,  81.416,  85.020
61,  87.670,  91.370
62,  89.030,  92.070
63,  89.602,  92.370
64,  89.922,  91.740
65,  89.982,  92.370
66,  90.314,  92.830
67,  90.564,  92.240
68,  90.454,  91.370
69,  90.574,  91.930
70,  90.522,  91.780
71,  90.580,  91.500
72,  90.374,  91.320
73,  90.390,  92.090
74,  90.464,  91.640
75,  90.568,  92.440
76,  90.540,  92.050
77,  90.486,  92.170
78,  90.680,  91.860
79,  90.426,  91.290
80,  90.562,  92.110
81,  90.452,  91.540
82,  90.348,  91.930
83,  90.582,  92.020
84,  90.474,  91.920
85,  90.696,  91.850
86,  90.632,  92.510
87,  90.778,  92.150
88,  90.746,  91.340
89,  90.620,  91.590
90,  90.748,  91.450
91,  90.566,  91.440
92,  91.048,  90.870
93,  90.856,  91.380
94,  90.914,  91.700
95,  90.708,  91.520
96,  90.862,  91.810
97,  90.792,  91.390
98,  91.068,  91.670
99,  91.296,  90.450
100,  91.256,  92.640
101,  91.228,  92.310
102,  91.146,  90.960
103,  91.500,  91.250
104,  91.290,  92.220
105,  91.374,  91.860
106,  91.534,  92.170
107,  91.472,  91.780
108,  91.190,  92.210
109,  91.526,  91.330
110,  91.526,  92.230
111,  91.598,  91.950
112,  91.298,  92.490
113,  91.512,  91.600
114,  91.530,  91.620
115,  91.288,  91.220
116,  91.620,  91.950
117,  91.548,  91.510
118,  91.504,  91.820
119,  91.674,  91.260
120,  91.712,  91.150
121,  94.764,  94.710
122,  95.800,  95.010
123,  95.972,  94.990
124,  96.168,  95.030
125,  96.360,  94.810
126,  96.706,  94.940
127,  96.928,  94.860
128,  96.904,  94.920
129,  96.938,  94.970
130,  96.958,  94.960
131,  96.968,  95.060
132,  96.986,  95.140
133,  97.218,  95.130
134,  97.246,  94.940
135,  97.360,  94.910
136,  97.452,  95.020
137,  97.482,  94.940
138,  97.474,  94.980
139,  97.576,  94.900
140,  97.434,  94.830
141,  97.504,  94.820
142,  97.658,  94.930
143,  97.492,  94.640
144,  97.532,  94.790
145,  97.590,  94.770
146,  97.608,  94.970
147,  97.502,  95.070
148,  97.786,  95.180
149,  97.720,  95.010
150,  97.564,  94.740
151,  97.420,  95.110
152,  97.642,  95.020
153,  97.664,  94.970
154,  97.692,  94.730
155,  97.550,  94.770
156,  97.668,  94.820
157,  97.722,  94.740
158,  97.776,  94.750
159,  97.598,  94.820
160,  97.630,  94.720
161,  98.276,  95.190
162,  98.638,  95.400
163,  98.686,  95.390
164,  98.686,  95.400
165,  98.820,  95.420
166,  98.748,  95.350
167,  98.828,  95.380
168,  98.892,  95.340
169,  98.800,  95.540
170,  98.950,  95.340
171,  98.906,  95.250
172,  99.016,  95.470
173,  99.022,  95.440
174,  99.006,  95.320
175,  99.014,  95.310
176,  98.938,  95.420
177,  99.040,  95.550
178,  99.034,  95.450
179,  99.088,  95.450
180,  99.066,  95.420
181,  99.052,  95.420
182,  99.086,  95.140
183,  99.054,  95.250
184,  99.048,  95.420
185,  99.050,  95.360
186,  99.178,  95.510
187,  99.088,  95.500
188,  99.138,  95.450
189,  99.190,  95.300
190,  99.170,  95.310
191,  99.174,  95.460
192,  99.172,  95.540
193,  99.150,  95.490
194,  99.230,  95.410
195,  99.212,  95.390
196,  99.250,  95.400
197,  99.230,  95.460
198,  99.184,  95.410
199,  99.164,  95.300
200,  99.250,  95.400
best epoch: 177,,  95.550
