first_dataset,cifar10
first_model,resnet18
mng_dataset,cifar10
mng_model,resnet18
first_model_load_path,
mng_load_data_path,
mng_save_data,False
batch_size,128
n_epochs,200
mng_epochs,200
learning_rate,0.1
data_augmentation,True
save_models,True
cutout,True
cutout_n_holes,1
cutout_len,16
seed,4
mango,True
retrain,False
forced,False
gt,False
origmng,False
mng_n_branches,4
mng_init_len,16
n_workers,2
experiment_name,OrigMANGO+cutout-faster-s4
device,cuda:0
""
epoch,train_acc,test_acc
1,  27.286,  38.910
2,  39.440,  42.420
3,  46.818,  46.550
4,  53.274,  53.990
5,  56.774,  60.830
6,  59.320,  64.780
7,  62.548,  70.480
8,  65.228,  64.760
9,  66.746,  73.270
10,  68.488,  76.120
11,  69.408,  76.120
12,  70.828,  75.820
13,  71.582,  77.040
14,  71.712,  79.360
15,  72.102,  72.390
16,  72.440,  79.200
17,  73.056,  77.710
18,  73.418,  77.810
19,  73.896,  73.790
20,  74.550,  77.740
21,  74.678,  79.310
22,  74.998,  78.200
23,  74.860,  76.140
24,  74.792,  73.260
25,  75.188,  75.730
26,  75.898,  80.220
27,  75.886,  82.730
28,  76.016,  76.580
29,  76.210,  75.580
30,  76.402,  83.180
31,  75.402,  83.780
32,  76.186,  83.500
33,  75.998,  82.520
34,  75.960,  82.190
35,  76.400,  78.070
36,  76.792,  79.120
37,  76.272,  81.420
38,  76.950,  84.460
39,  76.788,  75.560
40,  76.626,  78.440
41,  77.362,  80.740
42,  76.590,  83.060
43,  76.152,  76.550
44,  77.322,  75.670
45,  77.354,  77.680
46,  77.246,  80.110
47,  77.216,  81.400
48,  76.742,  83.230
49,  77.296,  80.890
50,  77.256,  78.170
51,  77.390,  82.070
52,  77.572,  74.720
53,  77.302,  81.660
54,  77.124,  85.060
55,  77.002,  83.080
56,  77.264,  80.690
57,  77.378,  82.290
58,  77.940,  81.050
59,  77.614,  83.520
60,  77.148,  82.230
61,  82.648,  91.990
62,  84.270,  92.380
63,  84.210,  92.080
64,  84.876,  92.540
65,  85.284,  92.520
66,  86.000,  92.350
67,  85.792,  92.510
68,  85.614,  92.250
69,  85.922,  91.430
70,  85.554,  91.260
71,  85.982,  91.850
72,  85.710,  92.190
73,  85.046,  92.570
74,  85.930,  92.520
75,  86.086,  91.600
76,  86.204,  91.050
77,  85.958,  91.390
78,  85.826,  92.070
79,  85.350,  91.100
80,  85.660,  91.990
81,  85.816,  91.890
82,  85.816,  92.670
83,  86.060,  91.450
84,  85.762,  91.760
85,  86.212,  91.070
86,  86.250,  92.190
87,  85.748,  91.490
88,  85.766,  92.370
89,  85.768,  91.680
90,  86.354,  92.060
91,  85.470,  92.650
92,  86.080,  91.550
93,  86.846,  92.390
94,  86.706,  92.940
95,  86.474,  90.580
96,  86.286,  92.290
97,  86.660,  92.530
98,  86.852,  92.710
99,  86.532,  91.470
100,  86.766,  92.270
101,  86.842,  91.770
102,  86.184,  92.190
103,  86.622,  92.490
104,  86.586,  92.580
105,  86.822,  92.540
106,  87.240,  93.070
107,  86.474,  91.920
108,  87.260,  91.590
109,  86.204,  90.790
110,  87.048,  90.760
111,  86.678,  90.580
112,  86.896,  92.110
113,  86.536,  93.130
114,  87.016,  92.270
115,  86.776,  91.550
116,  87.318,  92.230
117,  87.620,  93.260
118,  86.928,  92.580
119,  87.704,  92.730
120,  86.626,  92.260
121,  90.196,  95.120
122,  91.258,  95.120
123,  91.604,  95.380
124,  91.668,  95.370
125,  91.646,  95.280
126,  92.648,  95.450
127,  92.338,  95.620
128,  92.552,  95.490
129,  92.596,  95.300
130,  92.970,  95.290
131,  92.492,  95.620
132,  92.536,  95.610
133,  92.542,  95.360
134,  92.866,  95.540
135,  93.116,  95.480
136,  93.442,  95.550
137,  93.244,  95.700
138,  93.750,  95.610
139,  92.880,  95.450
140,  93.434,  95.290
141,  93.784,  95.360
142,  93.312,  95.520
143,  93.274,  95.470
144,  93.850,  95.620
145,  93.594,  95.500
146,  93.268,  95.390
147,  93.492,  95.670
148,  93.718,  95.700
149,  93.342,  95.280
150,  93.770,  95.610
151,  93.420,  95.580
152,  93.870,  95.230
153,  94.192,  95.500
154,  93.922,  95.200
155,  93.584,  95.240
156,  93.114,  95.550
157,  93.608,  95.670
158,  93.728,  95.520
159,  93.728,  95.380
160,  94.056,  95.290
161,  94.554,  95.940
162,  95.212,  96.200
163,  95.322,  96.120
164,  95.604,  96.180
165,  95.788,  96.240
166,  95.640,  96.100
167,  96.012,  96.320
168,  95.808,  96.240
169,  95.744,  96.150
170,  95.830,  96.270
171,  95.902,  96.220
172,  95.854,  96.290
173,  96.186,  96.130
174,  96.290,  96.050
175,  95.728,  96.240
176,  96.054,  96.200
177,  96.272,  96.140
178,  96.026,  96.100
179,  96.146,  96.050
180,  96.208,  95.990
181,  96.384,  96.110
182,  96.032,  96.000
183,  96.232,  96.150
184,  96.304,  96.190
185,  96.348,  96.140
186,  96.336,  96.260
187,  96.148,  96.190
188,  96.762,  96.060
189,  96.302,  96.060
190,  96.322,  96.050
191,  96.458,  96.310
192,  96.220,  96.210
193,  97.074,  96.220
194,  96.560,  96.060
195,  96.588,  96.360
196,  96.628,  96.280
197,  96.300,  96.220
198,  96.678,  96.170
199,  96.688,  96.230
200,  96.582,  96.080
best epoch: 195,,  96.360
