first_dataset,cifar100
first_model,resnet18
mng_dataset,cifar100
mng_model,resnet18
first_model_load_path,
mng_load_data_path,
mng_save_data,False
batch_size,128
n_epochs,200
mng_epochs,200
learning_rate,0.1
data_augmentation,True
save_models,True
cutout,False
cutout_n_holes,1
cutout_len,16
seed,4
mango,True
retrain,False
forced,False
gt,False
origmng,False
mng_n_branches,4
mng_init_len,16
n_workers,2
experiment_name,OrigMANGO-1ph-faster-c100-16to4-s4
device,cuda:0
""
epoch,train_acc,test_acc
1,  7.798,  12.210
2,  15.876,  20.120
3,  22.912,  26.880
4,  29.032,  29.870
5,  34.206,  36.900
6,  38.802,  40.910
7,  41.770,  43.560
8,  44.574,  44.660
9,  46.596,  47.130
10,  48.552,  48.120
11,  50.324,  49.110
12,  51.240,  46.650
13,  52.214,  51.150
14,  53.042,  51.980
15,  54.680,  53.800
16,  54.222,  54.240
17,  55.512,  52.730
18,  55.316,  51.920
19,  55.696,  55.030
20,  56.306,  58.110
21,  57.274,  56.680
22,  57.046,  52.040
23,  57.620,  56.750
24,  57.832,  56.030
25,  58.672,  54.820
26,  58.388,  57.160
27,  57.964,  58.430
28,  58.600,  55.940
29,  59.142,  52.480
30,  59.474,  60.390
31,  59.218,  57.370
32,  59.892,  52.540
33,  59.230,  59.570
34,  59.856,  59.190
35,  60.208,  58.060
36,  60.372,  57.680
37,  60.810,  56.010
38,  60.588,  59.250
39,  60.548,  58.670
40,  61.518,  61.400
41,  60.392,  57.050
42,  61.290,  51.860
43,  60.542,  59.810
44,  61.276,  59.750
45,  61.524,  55.730
46,  60.274,  61.990
47,  61.534,  55.720
48,  61.398,  56.050
49,  61.756,  56.730
50,  60.334,  55.050
51,  61.606,  59.740
52,  62.238,  60.870
53,  60.778,  56.920
54,  62.588,  56.260
55,  61.958,  56.170
56,  61.654,  56.420
57,  62.218,  56.170
58,  62.206,  58.240
59,  61.862,  60.300
60,  61.654,  57.800
61,  71.632,  72.900
62,  75.842,  74.020
63,  77.366,  74.170
64,  79.126,  74.230
65,  78.144,  73.600
66,  79.086,  72.860
67,  80.310,  73.310
68,  81.204,  73.050
69,  80.624,  73.220
70,  81.332,  71.510
71,  81.186,  71.660
72,  80.390,  71.800
73,  81.936,  72.030
74,  81.370,  72.230
75,  80.930,  71.620
76,  80.964,  71.080
77,  81.712,  70.650
78,  82.018,  69.990
79,  80.904,  69.470
80,  81.176,  71.500
81,  81.710,  71.910
82,  81.786,  70.380
83,  83.146,  70.320
84,  82.986,  71.160
85,  82.652,  70.770
86,  81.880,  69.690
87,  82.390,  71.730
88,  83.014,  71.110
89,  82.678,  69.580
90,  82.938,  69.820
91,  83.042,  69.750
92,  82.656,  70.590
93,  84.304,  70.700
94,  83.766,  70.530
95,  83.108,  71.550
96,  83.100,  69.690
97,  82.954,  71.760
98,  83.372,  70.630
99,  85.084,  70.500
100,  84.344,  70.920
101,  84.440,  71.140
102,  85.572,  69.160
103,  84.598,  71.410
104,  83.680,  69.800
105,  85.024,  70.340
106,  85.538,  71.440
107,  85.464,  71.160
108,  83.998,  69.620
109,  85.028,  70.300
110,  84.930,  69.750
111,  85.706,  71.400
112,  84.478,  68.710
113,  85.382,  70.950
114,  84.830,  70.410
115,  85.006,  69.780
116,  84.306,  70.310
117,  86.374,  69.060
118,  85.510,  70.470
119,  85.282,  70.720
120,  85.940,  71.770
121,  91.996,  76.520
122,  94.860,  76.820
123,  95.196,  77.170
124,  95.732,  77.300
125,  95.870,  77.320
126,  96.264,  76.940
127,  96.832,  77.030
128,  97.252,  77.040
129,  97.334,  77.140
130,  97.258,  77.040
131,  97.422,  77.250
132,  97.530,  77.200
133,  97.912,  77.350
134,  97.726,  77.460
135,  97.890,  76.940
136,  98.062,  77.100
137,  98.200,  77.490
138,  97.976,  77.070
139,  98.284,  77.140
140,  98.288,  77.290
141,  98.220,  77.200
142,  98.562,  77.270
143,  98.496,  77.230
144,  98.430,  77.150
145,  98.574,  77.090
146,  98.496,  77.170
147,  98.722,  77.260
148,  98.616,  76.920
149,  98.600,  77.020
150,  98.652,  76.890
151,  98.694,  77.200
152,  98.874,  77.020
153,  98.690,  76.920
154,  98.860,  77.220
155,  98.748,  77.190
156,  98.894,  77.070
157,  98.810,  77.230
158,  98.986,  77.440
159,  98.868,  77.130
160,  98.874,  77.410
161,  99.114,  77.570
162,  99.280,  77.740
163,  99.360,  77.590
164,  99.374,  77.860
165,  99.442,  77.970
166,  99.482,  78.020
167,  99.522,  77.830
168,  99.524,  77.890
169,  99.476,  77.850
170,  99.498,  77.730
171,  99.498,  77.920
172,  99.504,  78.030
173,  99.538,  77.760
174,  99.592,  77.850
175,  99.574,  77.640
176,  99.622,  77.650
177,  99.532,  77.650
178,  99.580,  77.720
179,  99.640,  77.910
180,  99.564,  77.710
181,  99.574,  77.920
182,  99.558,  77.570
183,  99.668,  77.700
184,  99.566,  77.910
185,  99.570,  77.660
186,  99.564,  77.760
187,  99.674,  77.870
188,  99.650,  77.960
189,  99.646,  77.830
190,  99.672,  77.740
191,  99.668,  77.900
192,  99.658,  77.960
193,  99.654,  78.090
194,  99.656,  77.910
195,  99.690,  78.060
196,  99.668,  77.870
197,  99.700,  77.970
198,  99.734,  78.060
199,  99.666,  78.090
200,  99.714,  78.040
best epoch: 199,,  78.090
