first_dataset,cifar100
first_model,resnet18
mng_dataset,cifar100
mng_model,resnet18
first_model_load_path,
mng_load_data_path,
mng_save_data,False
batch_size,128
n_epochs,200
mng_epochs,200
learning_rate,0.1
data_augmentation,True
save_models,True
cutout,False
cutout_n_holes,1
cutout_len,16
seed,4
mango,True
retrain,False
forced,False
gt,False
origmng,False
mng_n_branches,4
mng_init_len,16
n_workers,2
experiment_name,OrigMANGO-1ph-faster-c100-init16-s4
device,cuda:0
""
epoch,train_acc,test_acc
1,  7.678,  12.400
2,  16.440,  21.100
3,  23.690,  28.380
4,  29.536,  32.160
5,  35.148,  38.540
6,  39.466,  41.110
7,  42.620,  44.300
8,  45.092,  48.140
9,  47.032,  46.140
10,  48.292,  51.740
11,  50.270,  49.100
12,  51.458,  50.040
13,  52.244,  54.240
14,  52.834,  52.990
15,  54.094,  52.600
16,  55.004,  54.840
17,  55.460,  51.020
18,  55.608,  54.380
19,  56.442,  52.310
20,  56.456,  54.340
21,  57.192,  57.380
22,  57.008,  55.460
23,  58.386,  49.580
24,  58.054,  51.610
25,  58.246,  53.350
26,  58.944,  57.260
27,  58.862,  55.280
28,  58.942,  59.480
29,  59.784,  53.600
30,  59.772,  58.090
31,  59.482,  55.980
32,  59.496,  57.360
33,  59.848,  56.230
34,  59.880,  57.650
35,  59.876,  57.790
36,  60.358,  57.650
37,  60.660,  59.270
38,  60.394,  58.850
39,  59.880,  56.660
40,  61.212,  59.890
41,  60.730,  60.640
42,  60.884,  60.400
43,  60.654,  58.020
44,  61.866,  59.000
45,  61.202,  53.310
46,  61.658,  58.470
47,  61.350,  58.990
48,  61.862,  57.510
49,  61.484,  58.200
50,  61.510,  60.570
51,  61.296,  59.910
52,  62.028,  61.660
53,  61.022,  56.340
54,  61.382,  54.860
55,  61.986,  60.910
56,  61.328,  58.110
57,  62.088,  57.320
58,  62.700,  61.290
59,  61.712,  57.100
60,  61.362,  60.280
61,  72.758,  72.690
62,  75.774,  73.870
63,  77.906,  73.980
64,  79.376,  74.050
65,  79.008,  72.990
66,  79.132,  73.630
67,  79.328,  73.060
68,  80.896,  72.240
69,  80.894,  72.650
70,  81.192,  72.800
71,  81.078,  72.100
72,  80.546,  72.510
73,  81.272,  71.840
74,  81.430,  71.370
75,  81.410,  71.860
76,  81.134,  71.710
77,  82.124,  72.340
78,  81.704,  72.080
79,  81.832,  70.070
80,  81.276,  70.820
81,  82.786,  70.500
82,  82.648,  71.220
83,  83.626,  70.460
84,  81.336,  71.650
85,  82.676,  71.700
86,  83.262,  70.660
87,  82.954,  71.130
88,  82.728,  71.490
89,  82.540,  70.150
90,  81.846,  70.290
91,  82.796,  71.370
92,  83.876,  70.440
93,  83.838,  70.560
94,  83.936,  69.860
95,  83.088,  70.880
96,  83.288,  70.620
97,  84.230,  70.180
98,  83.778,  71.660
99,  84.222,  71.330
100,  82.322,  70.400
101,  84.840,  71.230
102,  83.882,  70.340
103,  85.100,  69.890
104,  83.806,  70.940
105,  84.574,  70.160
106,  84.862,  70.740
107,  85.296,  70.590
108,  84.056,  71.120
109,  85.114,  71.440
110,  85.082,  69.260
111,  84.852,  71.730
112,  84.690,  70.630
113,  85.496,  70.070
114,  85.474,  68.860
115,  85.060,  70.530
116,  84.590,  69.810
117,  84.288,  69.950
118,  85.556,  70.990
119,  84.362,  71.510
120,  85.652,  71.210
121,  91.694,  76.310
122,  94.474,  76.570
123,  95.242,  76.780
124,  96.072,  76.970
125,  96.296,  76.990
126,  96.352,  77.040
127,  96.926,  76.930
128,  97.206,  76.750
129,  96.934,  77.110
130,  97.612,  77.120
131,  97.466,  77.070
132,  97.468,  77.620
133,  97.668,  77.270
134,  97.936,  76.990
135,  98.160,  77.100
136,  97.940,  77.120
137,  98.140,  77.350
138,  98.088,  77.040
139,  98.140,  77.100
140,  98.286,  77.330
141,  98.528,  77.140
142,  98.466,  77.260
143,  98.392,  77.020
144,  98.708,  76.990
145,  98.464,  77.050
146,  98.496,  76.790
147,  98.566,  76.950
148,  98.676,  76.900
149,  98.488,  76.860
150,  98.594,  77.080
151,  98.728,  77.210
152,  98.726,  76.810
153,  98.616,  77.030
154,  98.862,  76.920
155,  98.828,  76.780
156,  98.666,  77.190
157,  98.884,  77.290
158,  98.878,  76.820
159,  98.920,  77.010
160,  98.764,  76.580
161,  99.198,  77.300
162,  99.304,  77.580
163,  99.402,  77.380
164,  99.360,  77.500
165,  99.406,  77.500
166,  99.470,  77.640
167,  99.462,  77.630
168,  99.488,  77.640
169,  99.494,  77.490
170,  99.530,  77.680
171,  99.514,  77.700
172,  99.506,  77.770
173,  99.542,  77.600
174,  99.578,  77.720
175,  99.618,  77.720
176,  99.552,  77.620
177,  99.590,  77.680
178,  99.580,  77.670
179,  99.568,  77.680
180,  99.608,  77.700
181,  99.578,  77.750
182,  99.586,  77.720
183,  99.654,  77.580
184,  99.670,  77.710
185,  99.648,  77.700
186,  99.542,  77.740
187,  99.600,  77.860
188,  99.622,  77.750
189,  99.676,  77.450
190,  99.626,  77.500
191,  99.666,  77.620
192,  99.724,  77.430
193,  99.686,  77.740
194,  99.662,  77.550
195,  99.650,  77.630
196,  99.700,  77.690
197,  99.692,  77.660
198,  99.694,  77.810
199,  99.716,  77.880
200,  99.694,  77.660
best epoch: 199,,  77.880
