first_dataset,cifar100
first_model,resnet18
mng_dataset,cifar100
mng_model,resnet18
first_model_load_path,
mng_load_data_path,
mng_save_data,False
batch_size,128
n_epochs,200
mng_epochs,200
learning_rate,0.1
data_augmentation,True
save_models,True
cutout,False
cutout_n_holes,1
cutout_len,16
seed,0
mango,True
retrain,False
forced,False
gt,False
origmng,False
mng_n_branches,4
mng_init_len,16
n_workers,2
experiment_name,OrigMANGO-1ph-faster-c100-s0-16to4
device,cuda:0
""
epoch,train_acc,test_acc
1,  7.720,  12.310
2,  16.108,  22.200
3,  23.104,  28.620
4,  30.108,  34.810
5,  35.698,  40.100
6,  39.194,  44.860
7,  42.872,  42.410
8,  45.146,  49.070
9,  47.522,  45.530
10,  49.404,  49.750
11,  50.204,  50.120
12,  51.856,  51.890
13,  52.416,  51.720
14,  53.700,  49.520
15,  53.808,  52.770
16,  54.738,  56.030
17,  55.402,  57.070
18,  55.962,  50.910
19,  56.078,  56.600
20,  57.262,  50.240
21,  56.254,  56.950
22,  56.762,  54.950
23,  58.130,  57.760
24,  58.628,  56.000
25,  58.814,  58.810
26,  58.634,  56.480
27,  58.370,  56.990
28,  60.094,  57.750
29,  59.200,  57.970
30,  59.268,  54.110
31,  59.844,  54.190
32,  59.674,  55.360
33,  59.644,  55.570
34,  60.142,  55.110
35,  60.272,  58.900
36,  60.230,  56.220
37,  59.734,  56.600
38,  60.726,  57.840
39,  60.918,  57.030
40,  60.508,  58.260
41,  60.990,  60.460
42,  59.754,  56.470
43,  60.592,  57.260
44,  61.080,  60.040
45,  61.978,  57.960
46,  61.228,  56.380
47,  61.712,  55.320
48,  61.176,  57.090
49,  61.124,  60.190
50,  61.810,  54.070
51,  61.236,  59.040
52,  61.768,  60.570
53,  61.082,  60.310
54,  61.338,  55.800
55,  62.560,  60.490
56,  61.766,  60.160
57,  61.822,  59.990
58,  62.328,  58.700
59,  61.806,  60.460
60,  61.720,  59.500
61,  72.140,  73.120
62,  75.744,  74.370
63,  77.304,  73.640
64,  79.020,  73.330
65,  79.624,  73.150
66,  80.722,  73.580
67,  80.448,  74.510
68,  80.396,  73.580
69,  80.558,  72.880
70,  80.826,  72.280
71,  80.420,  71.730
72,  81.324,  71.370
73,  81.604,  71.250
74,  81.106,  70.480
75,  80.712,  71.100
76,  81.772,  70.800
77,  81.034,  72.060
78,  82.016,  71.000
79,  82.064,  72.310
80,  81.290,  71.380
81,  81.254,  71.560
82,  82.074,  71.870
83,  82.602,  70.290
84,  80.328,  71.050
85,  81.634,  70.310
86,  81.694,  71.640
87,  82.126,  70.700
88,  82.976,  70.690
89,  83.102,  71.540
90,  83.094,  68.640
91,  83.720,  69.370
92,  82.124,  71.060
93,  83.614,  71.080
94,  83.530,  71.940
95,  83.960,  70.240
96,  82.828,  71.680
97,  83.322,  71.210
98,  83.320,  71.160
99,  84.986,  71.870
100,  84.002,  71.300
101,  84.308,  70.860
102,  84.834,  72.370
103,  85.294,  71.140
104,  83.448,  70.260
105,  84.712,  70.920
106,  84.434,  71.110
107,  84.414,  71.030
108,  84.586,  71.200
109,  84.748,  69.230
110,  84.798,  69.460
111,  85.412,  70.960
112,  84.950,  68.830
113,  85.518,  71.010
114,  84.572,  70.920
115,  85.102,  70.480
116,  86.180,  70.320
117,  85.112,  69.300
118,  85.690,  70.260
119,  85.488,  70.520
120,  85.276,  70.620
121,  91.800,  76.300
122,  94.208,  76.380
123,  95.276,  76.880
124,  95.704,  76.820
125,  96.250,  76.750
126,  96.256,  76.720
127,  97.038,  77.120
128,  97.110,  76.860
129,  97.206,  76.840
130,  97.350,  76.680
131,  97.472,  77.380
132,  97.636,  77.160
133,  97.564,  77.320
134,  97.820,  77.190
135,  97.824,  77.400
136,  98.186,  77.320
137,  98.026,  77.130
138,  98.284,  77.320
139,  98.090,  76.900
140,  98.468,  77.380
141,  98.272,  77.260
142,  98.358,  77.090
143,  98.388,  77.560
144,  98.542,  76.990
145,  98.686,  77.230
146,  98.514,  77.190
147,  98.434,  77.460
148,  98.590,  77.130
149,  98.662,  77.240
150,  98.720,  77.480
151,  98.690,  77.200
152,  98.888,  77.070
153,  98.636,  77.270
154,  98.652,  76.920
155,  98.770,  76.960
156,  98.844,  77.090
157,  98.856,  77.260
158,  98.718,  77.030
159,  98.796,  76.940
160,  98.704,  77.140
161,  99.096,  77.430
162,  99.308,  77.360
163,  99.408,  77.460
164,  99.348,  77.460
165,  99.546,  77.420
166,  99.424,  77.800
167,  99.502,  77.660
168,  99.454,  77.630
169,  99.524,  77.860
170,  99.516,  77.880
171,  99.468,  77.590
172,  99.600,  77.820
173,  99.564,  77.630
174,  99.580,  77.810
175,  99.564,  78.000
176,  99.608,  77.810
177,  99.536,  77.820
178,  99.580,  77.780
179,  99.562,  78.060
180,  99.542,  77.860
181,  99.666,  78.160
182,  99.600,  77.890
183,  99.620,  78.000
184,  99.582,  77.780
185,  99.670,  78.120
186,  99.626,  78.100
187,  99.648,  78.040
188,  99.642,  78.060
189,  99.660,  77.840
190,  99.570,  77.860
191,  99.624,  78.040
192,  99.628,  77.990
193,  99.702,  78.150
194,  99.668,  78.190
195,  99.676,  77.870
196,  99.698,  77.860
197,  99.662,  77.920
198,  99.684,  77.790
199,  99.644,  77.850
200,  99.672,  78.090
best epoch: 194,,  78.190
