first_dataset,cifar10
first_model,resnet18
mng_dataset,cifar10
mng_model,resnet18
first_model_load_path,
mng_load_data_path,
mng_save_data,False
batch_size,128
n_epochs,200
mng_epochs,200
learning_rate,0.1
data_augmentation,True
save_models,True
cutout,False
cutout_n_holes,1
cutout_len,16
seed,0
mango,True
retrain,False
forced,False
gt,False
origmng,False
mng_n_branches,4
mng_init_len,16
n_workers,2
experiment_name,OrigMANGO-1ph-faster-deep
device,cuda:0
""
epoch,train_acc,test_acc
1,  24.838,  34.060
2,  38.296,  44.760
3,  44.532,  52.990
4,  51.624,  56.990
5,  57.644,  59.450
6,  62.156,  66.520
7,  65.918,  70.520
8,  68.852,  68.020
9,  70.302,  72.480
10,  72.232,  76.670
11,  73.774,  75.140
12,  74.176,  75.320
13,  76.066,  73.710
14,  77.202,  78.930
15,  77.008,  79.980
16,  77.276,  78.640
17,  77.828,  81.490
18,  78.466,  76.570
19,  78.866,  80.880
20,  80.116,  81.560
21,  79.950,  82.630
22,  79.604,  81.530
23,  80.350,  83.090
24,  80.770,  80.860
25,  80.488,  75.230
26,  80.606,  83.500
27,  80.566,  77.900
28,  81.274,  81.170
29,  81.178,  86.090
30,  81.114,  82.250
31,  81.190,  85.100
32,  80.748,  85.070
33,  81.812,  84.740
34,  81.704,  85.730
35,  81.688,  85.270
36,  81.598,  76.200
37,  82.748,  81.840
38,  82.198,  83.920
39,  82.196,  86.490
40,  81.294,  82.560
41,  82.078,  83.340
42,  82.468,  84.440
43,  82.174,  87.320
44,  81.786,  84.510
45,  82.308,  81.950
46,  82.518,  84.650
47,  82.704,  82.650
48,  82.134,  82.810
49,  82.814,  84.070
50,  82.842,  81.240
51,  83.010,  87.960
52,  83.208,  81.250
53,  82.716,  82.850
54,  82.392,  85.130
55,  82.690,  85.770
56,  82.752,  84.010
57,  83.038,  85.150
58,  82.772,  85.640
59,  83.216,  83.770
60,  83.222,  81.850
61,  87.974,  92.210
62,  89.254,  92.770
63,  89.722,  93.090
64,  89.996,  93.250
65,  90.468,  93.580
66,  91.336,  92.420
67,  90.492,  93.210
68,  90.818,  92.670
69,  91.202,  93.140
70,  91.042,  92.680
71,  90.792,  93.100
72,  91.026,  92.670
73,  91.468,  93.270
74,  90.884,  92.480
75,  91.036,  92.350
76,  91.150,  92.560
77,  91.136,  92.140
78,  90.544,  92.520
79,  91.336,  92.220
80,  90.180,  91.320
81,  91.060,  92.550
82,  91.750,  92.680
83,  90.954,  91.530
84,  90.660,  92.750
85,  91.698,  92.370
86,  91.238,  92.540
87,  91.418,  93.020
88,  91.604,  91.970
89,  90.892,  92.440
90,  90.998,  91.730
91,  91.748,  92.750
92,  91.562,  92.630
93,  91.516,  92.190
94,  91.994,  91.940
95,  91.976,  91.210
96,  91.640,  93.500
97,  91.938,  91.750
98,  91.252,  92.830
99,  91.548,  92.430
100,  91.018,  92.220
101,  91.770,  92.620
102,  91.494,  93.210
103,  91.986,  93.070
104,  91.882,  92.200
105,  91.926,  92.780
106,  92.058,  92.340
107,  91.768,  91.340
108,  91.590,  92.280
109,  91.368,  92.980
110,  92.134,  92.250
111,  92.044,  92.830
112,  92.070,  93.150
113,  92.664,  93.130
114,  92.342,  92.050
115,  92.360,  92.660
116,  91.672,  92.410
117,  92.290,  92.900
118,  92.290,  92.280
119,  92.154,  92.670
120,  91.982,  92.890
121,  94.614,  95.510
122,  96.032,  95.590
123,  96.372,  95.420
124,  96.594,  95.400
125,  96.932,  95.400
126,  96.678,  95.630
127,  97.086,  95.590
128,  97.340,  95.510
129,  97.442,  95.510
130,  97.510,  95.450
131,  97.434,  95.400
132,  97.394,  95.450
133,  97.702,  95.570
134,  97.790,  95.680
135,  97.730,  95.680
136,  97.886,  95.440
137,  97.866,  95.620
138,  97.804,  95.600
139,  97.834,  95.560
140,  97.916,  95.690
141,  98.032,  95.580
142,  97.956,  95.540
143,  98.114,  95.390
144,  97.980,  95.390
145,  97.988,  95.480
146,  98.212,  95.390
147,  98.142,  95.400
148,  98.008,  95.240
149,  98.248,  95.390
150,  97.994,  95.300
151,  98.230,  95.480
152,  98.186,  95.560
153,  98.238,  95.380
154,  98.088,  95.590
155,  98.070,  95.310
156,  98.048,  95.520
157,  98.240,  95.320
158,  98.050,  95.220
159,  98.030,  95.300
160,  97.938,  95.160
161,  98.680,  95.660
162,  98.974,  95.740
163,  99.150,  95.810
164,  99.022,  95.810
165,  99.242,  95.850
166,  99.280,  95.900
167,  99.342,  95.980
168,  99.332,  96.100
169,  99.374,  95.910
170,  99.316,  96.020
171,  99.380,  96.050
172,  99.366,  96.000
173,  99.378,  95.810
174,  99.416,  95.950
175,  99.354,  95.940
176,  99.458,  95.890
177,  99.500,  95.950
178,  99.498,  95.950
179,  99.482,  95.990
180,  99.416,  95.950
181,  99.448,  95.830
182,  99.498,  95.930
183,  99.490,  95.940
184,  99.534,  95.840
185,  99.538,  95.800
186,  99.478,  95.890
187,  99.472,  95.980
188,  99.560,  95.880
189,  99.540,  96.080
190,  99.608,  95.820
191,  99.568,  95.830
192,  99.568,  95.940
193,  99.586,  95.950
194,  99.538,  95.870
195,  99.576,  95.910
196,  99.552,  96.000
197,  99.566,  95.990
198,  99.628,  96.070
199,  99.606,  95.990
200,  99.614,  96.020
best epoch: 168,,  96.100
