first_dataset,cifar10
first_model,resnet18
mng_dataset,cifar10
mng_model,resnet18
first_model_load_path,
mng_load_data_path,
mng_save_data,False
batch_size,128
n_epochs,200
mng_epochs,200
learning_rate,0.1
data_augmentation,True
save_models,True
cutout,False
cutout_n_holes,1
cutout_len,16
seed,4
mango,True
retrain,False
forced,False
gt,False
origmng,False
mng_n_branches,4
mng_init_len,16
n_workers,2
experiment_name,OrigMANGO-1ph-faster-randcol-s4
device,cuda:0
""
epoch,train_acc,test_acc
1,  31.088,  41.350
2,  45.006,  51.720
3,  54.274,  61.070
4,  60.890,  65.670
5,  65.206,  61.930
6,  68.812,  76.100
7,  71.770,  74.290
8,  73.928,  75.570
9,  74.614,  77.860
10,  75.100,  79.060
11,  76.038,  78.260
12,  76.872,  78.970
13,  77.278,  80.850
14,  77.464,  80.080
15,  78.430,  79.550
16,  78.158,  81.410
17,  79.284,  79.010
18,  79.290,  78.340
19,  79.234,  84.110
20,  79.288,  82.240
21,  79.664,  78.430
22,  79.730,  82.380
23,  80.668,  82.830
24,  80.856,  76.570
25,  80.970,  85.340
26,  80.624,  85.930
27,  80.890,  84.020
28,  80.878,  79.820
29,  81.218,  85.810
30,  81.918,  81.070
31,  81.096,  81.760
32,  81.560,  84.660
33,  81.388,  84.440
34,  81.566,  83.850
35,  80.964,  80.520
36,  81.702,  78.580
37,  80.994,  85.410
38,  81.970,  83.640
39,  81.794,  86.070
40,  82.148,  81.240
41,  81.858,  84.090
42,  82.178,  87.090
43,  81.862,  82.330
44,  82.180,  79.660
45,  82.360,  70.110
46,  82.312,  81.610
47,  82.132,  84.600
48,  82.350,  82.830
49,  82.824,  87.160
50,  83.062,  87.010
51,  82.532,  83.930
52,  81.996,  82.250
53,  82.098,  86.000
54,  82.792,  85.660
55,  82.132,  85.030
56,  83.188,  84.560
57,  82.920,  87.240
58,  82.812,  85.630
59,  82.520,  79.500
60,  83.078,  85.090
61,  87.404,  92.900
62,  89.186,  93.150
63,  89.672,  93.160
64,  90.144,  93.950
65,  90.288,  93.150
66,  90.730,  93.610
67,  91.106,  93.340
68,  90.964,  92.860
69,  90.422,  92.830
70,  91.308,  93.000
71,  90.532,  93.340
72,  90.924,  92.070
73,  90.894,  92.790
74,  91.084,  93.410
75,  90.108,  92.620
76,  90.784,  93.210
77,  90.756,  92.460
78,  90.772,  92.250
79,  90.246,  92.100
80,  90.532,  92.440
81,  90.774,  91.580
82,  91.308,  92.810
83,  90.770,  93.330
84,  90.706,  92.780
85,  90.724,  93.070
86,  90.956,  92.500
87,  91.246,  91.940
88,  90.946,  93.070
89,  90.958,  92.900
90,  91.478,  93.240
91,  90.972,  91.890
92,  91.198,  92.910
93,  90.670,  92.980
94,  91.572,  92.470
95,  92.050,  92.970
96,  91.524,  93.090
97,  91.504,  93.010
98,  91.796,  93.060
99,  91.606,  90.710
100,  92.034,  93.280
101,  91.852,  92.750
102,  91.058,  91.800
103,  91.514,  93.680
104,  92.072,  93.300
105,  91.466,  93.200
106,  91.090,  93.240
107,  92.364,  92.210
108,  91.192,  92.580
109,  92.066,  92.320
110,  92.296,  92.320
111,  91.208,  92.550
112,  91.568,  92.190
113,  92.250,  92.380
114,  91.350,  91.920
115,  92.332,  92.510
116,  92.570,  92.940
117,  91.628,  92.920
118,  91.720,  92.340
119,  91.460,  93.030
120,  92.290,  91.990
121,  94.862,  95.620
122,  95.480,  95.430
123,  96.140,  95.700
124,  96.466,  95.820
125,  96.544,  95.640
126,  96.700,  95.800
127,  96.964,  95.700
128,  97.196,  95.790
129,  97.064,  95.530
130,  97.212,  95.750
131,  97.420,  95.940
132,  97.222,  95.970
133,  97.588,  95.750
134,  97.536,  95.730
135,  97.480,  95.660
136,  97.882,  95.570
137,  97.708,  96.020
138,  97.470,  95.970
139,  97.836,  95.770
140,  97.636,  95.780
141,  97.820,  95.710
142,  97.948,  95.710
143,  97.942,  95.610
144,  97.748,  95.520
145,  97.928,  95.690
146,  97.728,  95.880
147,  97.954,  95.670
148,  97.838,  95.600
149,  97.860,  95.670
150,  97.810,  95.380
151,  97.718,  95.600
152,  97.886,  95.650
153,  97.754,  95.520
154,  98.066,  95.450
155,  98.142,  95.390
156,  97.780,  95.480
157,  97.986,  95.670
158,  97.886,  95.490
159,  98.046,  95.590
160,  97.948,  95.270
161,  98.454,  95.890
162,  98.790,  95.950
163,  99.086,  95.970
164,  99.040,  96.080
165,  99.114,  96.050
166,  99.236,  96.010
167,  99.208,  95.970
168,  99.238,  96.130
169,  99.282,  96.080
170,  99.258,  96.140
171,  99.254,  96.090
172,  99.258,  96.050
173,  99.300,  96.130
174,  99.240,  96.180
175,  99.272,  96.010
176,  99.386,  96.220
177,  99.420,  96.340
178,  99.372,  96.200
179,  99.420,  96.230
180,  99.414,  96.190
181,  99.394,  96.190
182,  99.400,  96.090
183,  99.430,  96.320
184,  99.394,  96.160
185,  99.490,  96.180
186,  99.430,  96.220
187,  99.492,  96.220
188,  99.512,  96.320
189,  99.476,  96.250
190,  99.508,  96.220
191,  99.514,  96.160
192,  99.422,  96.340
193,  99.490,  96.230
194,  99.500,  96.120
195,  99.462,  96.080
196,  99.558,  96.220
197,  99.580,  96.210
198,  99.482,  96.160
199,  99.546,  96.230
200,  99.600,  96.250
best epoch: 192,,  96.340
