first_dataset,cifar10
first_model,resnet18
mng_dataset,cifar10
mng_model,resnet18
first_model_load_path,
mng_load_data_path,
mng_save_data,False
batch_size,128
n_epochs,200
mng_epochs,200
learning_rate,0.1
data_augmentation,True
save_models,True
cutout,False
cutout_n_holes,1
cutout_len,16
seed,1
mango,True
retrain,False
forced,False
gt,False
origmng,False
mng_n_branches,4
mng_init_len,16
n_workers,2
experiment_name,OrigMANGO-1ph-faster-s1
device,cuda:0
""
epoch,train_acc,test_acc
1,  27.908,  41.510
2,  41.358,  47.360
3,  49.376,  56.850
4,  56.538,  63.930
5,  61.582,  68.030
6,  65.122,  62.140
7,  67.832,  69.580
8,  70.414,  72.140
9,  72.422,  78.450
10,  73.626,  73.580
11,  74.924,  75.200
12,  76.144,  78.240
13,  76.676,  73.320
14,  78.162,  80.380
15,  78.356,  80.290
16,  78.508,  81.780
17,  78.726,  80.360
18,  79.184,  81.980
19,  79.606,  79.110
20,  79.008,  81.930
21,  80.044,  85.040
22,  79.762,  84.670
23,  80.016,  83.670
24,  80.354,  79.430
25,  80.218,  81.980
26,  81.206,  71.760
27,  80.308,  80.220
28,  81.034,  81.900
29,  80.966,  83.150
30,  81.266,  78.920
31,  81.206,  84.160
32,  81.964,  68.180
33,  81.600,  82.030
34,  82.246,  84.130
35,  81.472,  84.770
36,  81.228,  85.570
37,  81.722,  81.690
38,  82.316,  82.130
39,  81.998,  81.120
40,  82.206,  82.750
41,  82.376,  82.590
42,  81.992,  80.560
43,  82.628,  80.770
44,  82.882,  84.370
45,  82.502,  80.350
46,  82.142,  83.200
47,  83.042,  81.890
48,  82.908,  80.690
49,  82.912,  81.490
50,  82.302,  84.630
51,  82.534,  85.430
52,  82.458,  83.490
53,  82.980,  85.440
54,  82.806,  84.640
55,  82.374,  81.160
56,  82.920,  83.830
57,  83.050,  82.290
58,  82.904,  78.280
59,  82.856,  86.970
60,  82.516,  85.250
61,  87.760,  92.880
62,  89.696,  92.980
63,  90.260,  93.140
64,  89.670,  92.970
65,  90.808,  92.600
66,  90.922,  93.320
67,  90.468,  93.210
68,  91.070,  92.590
69,  90.576,  93.060
70,  90.980,  93.190
71,  91.050,  92.190
72,  91.124,  93.730
73,  90.758,  92.440
74,  91.080,  93.050
75,  91.192,  92.820
76,  91.208,  93.200
77,  90.534,  92.250
78,  90.684,  92.580
79,  91.090,  92.800
80,  90.574,  92.430
81,  91.458,  91.600
82,  90.830,  92.450
83,  90.932,  92.710
84,  90.724,  92.660
85,  91.622,  93.200
86,  91.410,  92.500
87,  91.496,  91.760
88,  91.590,  92.740
89,  91.580,  91.980
90,  91.330,  92.360
91,  91.468,  90.900
92,  91.456,  92.560
93,  91.218,  92.920
94,  91.532,  92.440
95,  91.008,  92.540
96,  91.574,  91.370
97,  91.432,  92.460
98,  91.910,  92.260
99,  91.480,  92.490
100,  91.194,  93.060
101,  92.208,  92.720
102,  91.672,  90.630
103,  91.888,  92.610
104,  91.418,  92.630
105,  91.418,  92.800
106,  92.100,  91.400
107,  91.760,  92.950
108,  91.440,  92.830
109,  92.460,  92.770
110,  92.218,  93.130
111,  92.042,  92.660
112,  92.294,  91.730
113,  92.642,  93.060
114,  92.160,  91.760
115,  92.038,  92.630
116,  92.092,  92.690
117,  92.028,  92.630
118,  92.066,  92.410
119,  92.490,  92.820
120,  92.474,  91.310
121,  95.004,  95.220
122,  95.826,  95.430
123,  96.476,  95.560
124,  96.604,  95.450
125,  96.786,  95.530
126,  96.782,  95.720
127,  96.972,  95.300
128,  97.084,  95.370
129,  97.128,  95.460
130,  97.190,  95.450
131,  97.582,  95.210
132,  97.460,  95.440
133,  97.568,  95.540
134,  97.428,  95.290
135,  97.896,  95.590
136,  97.660,  95.690
137,  97.628,  95.350
138,  97.736,  95.370
139,  97.852,  95.260
140,  97.778,  95.450
141,  97.828,  95.430
142,  97.904,  95.160
143,  97.810,  95.140
144,  97.902,  95.360
145,  97.838,  95.510
146,  97.906,  95.530
147,  98.014,  95.400
148,  98.074,  95.460
149,  97.852,  95.360
150,  98.200,  95.320
151,  98.140,  95.150
152,  98.026,  95.490
153,  98.162,  95.430
154,  98.080,  95.410
155,  98.000,  95.510
156,  98.046,  95.310
157,  98.184,  95.490
158,  98.298,  95.350
159,  97.856,  95.380
160,  97.966,  94.970
161,  98.622,  95.710
162,  98.920,  95.750
163,  99.136,  95.790
164,  99.040,  95.800
165,  99.208,  95.850
166,  99.086,  95.970
167,  99.284,  95.930
168,  99.308,  95.840
169,  99.232,  95.880
170,  99.298,  95.840
171,  99.216,  95.930
172,  99.330,  95.910
173,  99.374,  95.810
174,  99.404,  95.980
175,  99.326,  95.940
176,  99.352,  96.030
177,  99.378,  96.070
178,  99.490,  96.050
179,  99.462,  95.960
180,  99.442,  95.920
181,  99.514,  95.920
182,  99.476,  95.930
183,  99.492,  95.950
184,  99.496,  95.880
185,  99.506,  95.950
186,  99.548,  95.810
187,  99.506,  95.970
188,  99.536,  95.870
189,  99.534,  95.870
190,  99.480,  96.120
191,  99.580,  95.920
192,  99.546,  95.900
193,  99.566,  95.900
194,  99.508,  95.880
195,  99.544,  95.830
196,  99.582,  95.880
197,  99.550,  95.890
198,  99.594,  95.780
199,  99.576,  95.760
200,  99.668,  95.830
best epoch: 190,,  96.120
