first_dataset,cifar10
first_model,resnet18
mng_dataset,cifar10
mng_model,resnet18
first_model_load_path,
mng_load_data_path,
mng_save_data,False
batch_size,128
n_epochs,200
mng_epochs,200
learning_rate,0.1
data_augmentation,True
save_models,True
cutout,False
cutout_n_holes,1
cutout_len,16
seed,1
mango,True
retrain,False
forced,False
gt,False
origmng,True
mng_n_branches,4
mng_init_len,16
n_workers,2
experiment_name,OrigMANGO-1phase-run1
device,cuda:0
""
epoch,train_acc,test_acc
1,  29.794,  39.560
2,  41.184,  50.510
3,  49.964,  55.050
4,  55.850,  61.680
5,  59.940,  63.920
6,  62.966,  65.050
7,  65.144,  69.090
8,  67.350,  72.760
9,  69.040,  78.970
10,  70.384,  78.980
11,  71.922,  76.750
12,  72.736,  78.990
13,  73.234,  78.300
14,  74.060,  81.980
15,  74.956,  79.560
16,  75.436,  81.350
17,  75.328,  79.620
18,  76.312,  83.150
19,  76.170,  81.020
20,  76.332,  82.190
21,  76.528,  80.250
22,  77.054,  80.320
23,  76.970,  82.390
24,  77.496,  79.830
25,  77.484,  82.600
26,  77.746,  82.410
27,  77.792,  82.640
28,  77.700,  82.920
29,  78.374,  83.050
30,  78.062,  85.010
31,  78.220,  86.720
32,  78.452,  81.270
33,  78.590,  85.020
34,  78.680,  81.620
35,  78.450,  82.970
36,  78.874,  88.380
37,  78.792,  83.130
38,  79.160,  76.570
39,  79.046,  79.230
40,  78.620,  85.520
41,  78.858,  79.520
42,  78.856,  83.860
43,  79.364,  81.970
44,  79.464,  87.360
45,  79.334,  85.490
46,  79.134,  88.040
47,  79.162,  82.380
48,  79.448,  85.310
49,  79.236,  86.130
50,  79.316,  84.790
51,  79.230,  79.350
52,  79.858,  82.090
53,  79.764,  84.030
54,  79.342,  87.680
55,  79.710,  82.390
56,  79.796,  85.970
57,  79.916,  84.380
58,  79.652,  83.620
59,  79.914,  78.660
60,  79.820,  82.340
61,  84.020,  93.660
62,  86.236,  92.690
63,  86.996,  93.330
64,  87.304,  93.440
65,  87.718,  93.770
66,  88.140,  93.530
67,  87.994,  93.750
68,  88.262,  93.420
69,  88.184,  93.480
70,  88.372,  93.350
71,  88.358,  93.480
72,  88.628,  93.780
73,  88.598,  93.110
74,  88.690,  93.290
75,  88.468,  93.960
76,  88.652,  93.620
77,  88.748,  92.780
78,  88.478,  92.650
79,  88.392,  92.420
80,  88.488,  93.300
81,  88.654,  92.350
82,  89.180,  92.670
83,  88.638,  92.830
84,  88.888,  91.690
85,  89.006,  93.410
86,  88.860,  92.240
87,  89.026,  92.980
88,  89.380,  93.260
89,  89.048,  93.070
90,  89.066,  93.650
91,  89.278,  92.650
92,  89.324,  92.460
93,  89.138,  93.250
94,  89.088,  93.080
95,  89.234,  93.150
96,  89.328,  93.870
97,  89.514,  93.390
98,  89.638,  93.280
99,  89.730,  94.260
100,  89.618,  93.320
101,  89.768,  92.170
102,  89.938,  93.580
103,  89.594,  93.530
104,  89.786,  92.420
105,  89.874,  93.420
106,  89.928,  91.900
107,  90.016,  93.430
108,  89.814,  93.420
109,  89.866,  93.500
110,  90.150,  93.020
111,  89.984,  93.570
112,  90.066,  92.680
113,  90.134,  92.760
114,  89.968,  93.610
115,  90.024,  92.660
116,  90.230,  93.020
117,  90.300,  93.140
118,  90.322,  93.040
119,  90.260,  93.630
120,  90.242,  93.770
121,  93.892,  95.350
122,  95.588,  95.680
123,  95.964,  95.500
124,  96.482,  95.690
125,  96.652,  95.730
126,  96.808,  95.760
127,  97.224,  95.750
128,  97.254,  95.850
129,  97.390,  95.650
130,  97.666,  95.820
131,  97.662,  95.750
132,  97.904,  95.850
133,  97.836,  95.620
134,  97.880,  95.900
135,  97.962,  95.590
136,  98.028,  95.710
137,  98.048,  95.750
138,  98.098,  95.730
139,  98.226,  95.770
140,  98.134,  95.620
141,  98.248,  95.660
142,  98.184,  95.640
143,  98.338,  95.310
144,  98.278,  95.560
145,  98.108,  95.780
146,  98.224,  95.450
147,  98.350,  95.540
148,  98.400,  95.500
149,  98.158,  95.270
150,  98.238,  95.520
151,  98.276,  95.390
152,  98.392,  95.390
153,  98.468,  95.510
154,  98.198,  95.410
155,  98.310,  95.730
156,  98.354,  95.540
157,  98.236,  95.480
158,  98.278,  95.560
159,  98.206,  95.450
160,  98.232,  95.570
161,  98.980,  96.040
162,  99.262,  96.010
163,  99.378,  95.940
164,  99.452,  96.010
165,  99.456,  95.950
166,  99.512,  96.030
167,  99.530,  96.020
168,  99.606,  96.080
169,  99.600,  96.050
170,  99.600,  96.050
171,  99.606,  96.040
172,  99.618,  96.110
173,  99.656,  96.100
174,  99.654,  96.090
175,  99.618,  96.110
176,  99.688,  96.160
177,  99.676,  96.130
178,  99.704,  96.170
179,  99.706,  96.090
180,  99.662,  96.080
181,  99.716,  96.060
182,  99.724,  96.180
183,  99.712,  96.150
184,  99.710,  96.120
185,  99.746,  96.130
186,  99.748,  96.080
187,  99.732,  96.170
188,  99.776,  96.130
189,  99.710,  96.170
190,  99.776,  96.040
191,  99.760,  96.100
192,  99.742,  96.110
193,  99.748,  96.060
194,  99.742,  96.030
195,  99.810,  96.130
196,  99.764,  96.180
197,  99.798,  96.170
198,  99.802,  96.050
199,  99.812,  96.020
200,  99.804,  96.140
best epoch: 196,,  96.180
