first_dataset,cifar10
first_model,resnet18
mng_dataset,cifar10
mng_model,resnet18
first_model_load_path,
mng_load_data_path,
mng_save_data,False
batch_size,128
n_epochs,200
mng_epochs,200
learning_rate,0.1
data_augmentation,True
save_models,True
cutout,False
cutout_n_holes,1
cutout_len,16
seed,4
mango,True
retrain,False
forced,False
gt,False
origmng,True
mng_n_branches,4
mng_init_len,16
n_workers,2
experiment_name,OrigMANGO-1phase-s4
device,cuda:0
""
epoch,train_acc,test_acc
1,  28.584,  37.430
2,  39.272,  42.460
3,  45.470,  50.660
4,  51.296,  55.120
5,  56.664,  55.440
6,  59.994,  67.710
7,  62.964,  72.430
8,  65.886,  67.820
9,  67.900,  76.530
10,  69.618,  74.350
11,  70.350,  70.930
12,  71.702,  79.440
13,  72.434,  75.570
14,  73.046,  77.220
15,  73.330,  79.550
16,  73.736,  80.620
17,  75.060,  76.630
18,  75.090,  75.140
19,  75.040,  79.340
20,  76.084,  76.780
21,  76.234,  80.360
22,  76.060,  83.410
23,  76.480,  84.330
24,  76.530,  79.310
25,  76.948,  82.430
26,  77.014,  82.370
27,  76.850,  83.510
28,  77.266,  82.420
29,  77.396,  84.770
30,  77.322,  83.470
31,  77.702,  82.850
32,  77.966,  82.750
33,  77.758,  81.810
34,  77.750,  84.620
35,  78.018,  83.360
36,  77.860,  80.740
37,  78.132,  82.830
38,  78.412,  83.800
39,  78.360,  86.060
40,  78.720,  83.630
41,  78.482,  81.210
42,  78.312,  82.770
43,  78.236,  85.260
44,  78.580,  85.040
45,  78.846,  80.800
46,  78.958,  87.010
47,  78.782,  85.900
48,  79.074,  86.010
49,  79.152,  85.980
50,  79.118,  83.590
51,  79.196,  85.300
52,  79.158,  83.930
53,  78.956,  86.210
54,  79.206,  80.410
55,  79.110,  85.030
56,  79.256,  83.250
57,  79.320,  82.940
58,  79.386,  83.700
59,  79.146,  85.240
60,  79.388,  82.640
61,  83.844,  92.400
62,  86.040,  93.030
63,  86.596,  92.950
64,  87.066,  93.020
65,  87.312,  93.370
66,  87.886,  93.500
67,  87.666,  93.550
68,  88.064,  92.400
69,  87.976,  93.110
70,  88.122,  93.030
71,  88.148,  92.190
72,  88.158,  92.870
73,  88.182,  93.380
74,  88.134,  93.420
75,  88.186,  92.970
76,  88.458,  92.390
77,  88.356,  92.830
78,  88.462,  93.380
79,  88.386,  92.760
80,  88.444,  92.750
81,  88.518,  93.020
82,  88.684,  92.670
83,  88.596,  92.490
84,  88.618,  92.110
85,  88.674,  93.190
86,  88.668,  93.310
87,  88.970,  93.330
88,  88.798,  93.400
89,  88.836,  93.000
90,  89.074,  93.000
91,  88.922,  92.470
92,  89.276,  91.870
93,  89.032,  92.460
94,  89.234,  91.990
95,  89.186,  93.280
96,  88.932,  92.180
97,  89.436,  92.760
98,  89.366,  92.050
99,  89.532,  92.330
100,  89.522,  92.940
101,  89.934,  93.230
102,  89.550,  92.250
103,  89.506,  92.880
104,  89.660,  93.080
105,  89.666,  93.660
106,  89.572,  93.210
107,  90.132,  92.720
108,  89.820,  93.040
109,  89.812,  91.960
110,  90.064,  92.190
111,  89.660,  92.890
112,  89.960,  93.330
113,  89.952,  92.960
114,  90.178,  92.420
115,  90.018,  92.270
116,  90.278,  92.820
117,  90.164,  93.700
118,  90.216,  92.910
119,  90.416,  93.250
120,  90.136,  92.190
121,  93.946,  95.220
122,  95.552,  95.360
123,  96.218,  95.280
124,  96.324,  95.460
125,  96.916,  95.420
126,  97.040,  95.440
127,  97.200,  95.520
128,  97.360,  95.650
129,  97.486,  95.540
130,  97.560,  95.440
131,  97.650,  95.200
132,  97.826,  95.370
133,  98.006,  95.130
134,  97.958,  95.340
135,  97.998,  95.340
136,  98.076,  95.160
137,  98.184,  95.020
138,  98.178,  95.310
139,  98.262,  95.110
140,  98.324,  95.190
141,  98.330,  95.510
142,  98.242,  95.190
143,  98.346,  95.460
144,  98.456,  95.360
145,  98.358,  95.210
146,  98.374,  95.130
147,  98.346,  95.180
148,  98.382,  95.280
149,  98.464,  95.270
150,  98.370,  95.310
151,  98.394,  95.280
152,  98.402,  95.310
153,  98.356,  95.110
154,  98.366,  94.970
155,  98.478,  95.290
156,  98.308,  95.130
157,  98.382,  94.920
158,  98.504,  95.020
159,  98.470,  95.030
160,  98.380,  95.260
161,  99.084,  95.460
162,  99.306,  95.520
163,  99.472,  95.460
164,  99.524,  95.510
165,  99.524,  95.520
166,  99.522,  95.560
167,  99.534,  95.710
168,  99.544,  95.590
169,  99.598,  95.600
170,  99.600,  95.580
171,  99.624,  95.650
172,  99.642,  95.580
173,  99.624,  95.580
174,  99.690,  95.720
175,  99.706,  95.490
176,  99.670,  95.510
177,  99.714,  95.520
178,  99.746,  95.630
179,  99.702,  95.570
180,  99.750,  95.710
181,  99.724,  95.570
182,  99.734,  95.710
183,  99.748,  95.750
184,  99.728,  95.770
185,  99.762,  95.750
186,  99.794,  95.720
187,  99.758,  95.590
188,  99.736,  95.680
189,  99.788,  95.730
190,  99.802,  95.570
191,  99.780,  95.700
192,  99.780,  95.600
193,  99.796,  95.750
194,  99.782,  95.600
195,  99.814,  95.700
196,  99.810,  95.710
197,  99.774,  95.600
198,  99.788,  95.580
199,  99.826,  95.720
200,  99.822,  95.610
best epoch: 184,,  95.770
