first_dataset,cifar10
first_model,resnet18
mng_dataset,cifar10
mng_model,wideresnet
first_model_load_path,
mng_load_data_path,
mng_save_data,False
batch_size,128
n_epochs,200
mng_epochs,200
learning_rate,0.1
data_augmentation,True
save_models,True
cutout,False
cutout_n_holes,1
cutout_len,16
seed,4
mango,True
retrain,False
forced,False
gt,False
origmng,True
mng_n_branches,4
mng_init_len,16
n_workers,2
experiment_name,OrigMANGO-1phase-wide-s4
device,cuda:0
""
epoch,train_acc,test_acc
1,  37.018,  38.370
2,  54.868,  51.740
3,  61.270,  66.470
4,  65.172,  73.780
5,  68.250,  59.930
6,  70.066,  67.280
7,  71.340,  69.970
8,  72.414,  78.890
9,  73.586,  77.210
10,  74.454,  82.290
11,  74.630,  81.280
12,  75.142,  80.850
13,  75.266,  75.360
14,  76.152,  80.780
15,  76.958,  79.840
16,  77.152,  85.420
17,  77.266,  78.220
18,  77.390,  78.040
19,  77.824,  87.140
20,  78.086,  77.710
21,  78.224,  85.390
22,  78.704,  83.570
23,  78.566,  87.150
24,  78.930,  85.820
25,  78.900,  87.620
26,  78.892,  83.730
27,  79.104,  83.610
28,  78.920,  82.340
29,  79.356,  81.640
30,  79.206,  81.020
31,  79.850,  85.060
32,  79.776,  84.970
33,  79.700,  89.150
34,  80.024,  86.860
35,  80.130,  86.530
36,  80.078,  86.220
37,  80.084,  87.160
38,  80.156,  86.610
39,  80.376,  86.350
40,  80.126,  83.620
41,  80.420,  88.740
42,  80.456,  88.830
43,  80.642,  82.390
44,  80.438,  85.880
45,  80.474,  78.950
46,  80.534,  84.430
47,  80.854,  85.690
48,  80.530,  83.590
49,  80.700,  85.670
50,  80.576,  87.070
51,  81.100,  86.690
52,  80.610,  81.290
53,  80.814,  86.050
54,  80.958,  88.340
55,  80.934,  77.560
56,  80.936,  83.050
57,  80.788,  84.040
58,  80.780,  86.830
59,  81.264,  87.510
60,  80.880,  84.520
61,  85.780,  94.090
62,  87.734,  94.470
63,  88.338,  94.710
64,  88.518,  94.180
65,  88.828,  94.560
66,  89.244,  94.790
67,  89.392,  94.370
68,  89.574,  94.690
69,  89.450,  94.190
70,  89.672,  93.930
71,  89.794,  94.830
72,  89.564,  94.320
73,  89.680,  94.590
74,  89.932,  93.550
75,  89.760,  94.070
76,  89.618,  93.970
77,  89.668,  94.660
78,  89.930,  92.930
79,  89.924,  94.460
80,  90.172,  94.360
81,  89.968,  92.930
82,  89.970,  93.940
83,  90.052,  94.470
84,  90.080,  93.330
85,  90.354,  94.490
86,  90.290,  92.850
87,  90.246,  94.190
88,  90.136,  94.370
89,  90.324,  93.260
90,  90.168,  93.780
91,  90.546,  94.700
92,  90.436,  94.500
93,  90.492,  94.210
94,  90.616,  94.010
95,  90.648,  94.300
96,  90.766,  94.710
97,  90.708,  94.690
98,  90.774,  94.440
99,  90.722,  94.430
100,  90.932,  94.020
101,  90.792,  94.350
102,  90.944,  93.580
103,  90.908,  94.410
104,  91.054,  94.380
105,  91.018,  94.890
106,  91.064,  94.580
107,  91.170,  93.540
108,  90.982,  94.280
109,  91.394,  94.150
110,  91.424,  93.760
111,  91.190,  94.950
112,  91.328,  93.400
113,  91.140,  94.070
114,  91.358,  94.350
115,  91.472,  94.630
116,  91.500,  95.090
117,  91.418,  93.910
118,  91.630,  94.600
119,  91.770,  94.610
120,  91.526,  93.600
121,  95.304,  96.660
122,  96.818,  96.600
123,  97.198,  96.700
124,  97.406,  96.700
125,  97.672,  96.570
126,  97.844,  96.690
127,  97.960,  96.420
128,  98.020,  96.520
129,  98.058,  96.620
130,  98.288,  96.270
131,  98.180,  96.600
132,  98.436,  96.670
133,  98.384,  96.560
134,  98.476,  96.460
135,  98.380,  96.590
136,  98.446,  96.380
137,  98.450,  96.680
138,  98.624,  96.490
139,  98.544,  96.580
140,  98.600,  96.430
141,  98.638,  96.360
142,  98.704,  96.550
143,  98.680,  96.570
144,  98.708,  96.610
145,  98.690,  96.470
146,  98.784,  96.480
147,  98.714,  96.510
148,  98.626,  96.560
149,  98.608,  96.690
150,  98.658,  96.420
151,  98.766,  96.240
152,  98.754,  96.160
153,  98.620,  96.320
154,  98.668,  96.490
155,  98.642,  96.260
156,  98.570,  96.700
157,  98.636,  96.400
158,  98.788,  96.180
159,  98.676,  96.360
160,  98.634,  96.210
161,  99.152,  96.740
162,  99.404,  96.740
163,  99.480,  96.710
164,  99.524,  96.740
165,  99.576,  96.830
166,  99.580,  96.770
167,  99.560,  96.650
168,  99.618,  96.820
169,  99.660,  96.750
170,  99.634,  96.750
171,  99.664,  96.840
172,  99.706,  96.820
173,  99.716,  96.750
174,  99.682,  96.800
175,  99.746,  96.850
176,  99.686,  96.840
177,  99.720,  96.870
178,  99.770,  96.980
179,  99.688,  97.010
180,  99.732,  96.910
181,  99.754,  96.960
182,  99.738,  96.880
183,  99.748,  96.710
184,  99.750,  96.770
185,  99.804,  97.010
186,  99.726,  97.000
187,  99.758,  96.910
188,  99.776,  96.950
189,  99.808,  96.830
190,  99.764,  96.890
191,  99.784,  96.800
192,  99.812,  97.000
193,  99.810,  96.960
194,  99.794,  96.890
195,  99.800,  97.000
196,  99.770,  96.960
197,  99.732,  96.990
198,  99.788,  96.910
199,  99.774,  96.930
200,  99.788,  96.990
best epoch: 185,,  97.010
