first_dataset,cifar10
first_model,resnet18
mng_dataset,cifar10
mng_model,resnet18
first_model_load_path,
mng_load_data_path,
mng_save_data,False
batch_size,128
n_epochs,200
mng_epochs,200
learning_rate,0.1
data_augmentation,True
save_models,True
cutout,False
cutout_n_holes,1
cutout_len,16
seed,0
mango,True
retrain,False
forced,False
gt,False
origmng,True
mng_n_branches,4
mng_init_len,16
n_workers,2
experiment_name,OrigMANGO-1phase
device,cuda:0
""
epoch,train_acc,test_acc
1,  29.424,  41.750
2,  41.656,  49.850
3,  49.564,  55.070
4,  56.622,  56.830
5,  60.762,  67.390
6,  64.176,  72.400
7,  67.238,  71.890
8,  68.930,  69.490
9,  70.460,  74.490
10,  71.610,  77.390
11,  72.222,  71.040
12,  72.850,  82.140
13,  73.668,  82.010
14,  74.446,  74.660
15,  74.504,  78.410
16,  74.896,  82.160
17,  75.406,  80.050
18,  75.832,  77.370
19,  76.348,  82.550
20,  76.328,  83.070
21,  76.464,  82.420
22,  76.894,  83.510
23,  76.888,  81.510
24,  77.164,  82.940
25,  77.568,  76.760
26,  77.262,  85.420
27,  77.750,  76.070
28,  77.594,  84.220
29,  78.042,  83.980
30,  78.214,  81.740
31,  78.178,  85.760
32,  78.704,  84.200
33,  78.490,  85.910
34,  78.464,  84.950
35,  78.874,  82.770
36,  78.736,  78.800
37,  78.678,  84.910
38,  78.952,  82.130
39,  78.934,  81.440
40,  79.092,  83.160
41,  79.060,  79.250
42,  78.498,  85.780
43,  79.094,  85.600
44,  79.212,  86.210
45,  79.040,  87.400
46,  79.340,  87.030
47,  79.378,  84.720
48,  79.244,  80.780
49,  79.612,  86.680
50,  79.388,  83.610
51,  79.112,  84.320
52,  79.982,  84.690
53,  79.624,  85.050
54,  79.428,  85.890
55,  79.810,  81.440
56,  79.666,  86.010
57,  79.600,  88.950
58,  79.298,  86.510
59,  79.740,  84.120
60,  80.060,  87.490
61,  84.244,  92.950
62,  86.036,  93.230
63,  86.860,  93.590
64,  87.448,  93.920
65,  87.634,  93.940
66,  87.830,  93.480
67,  88.254,  93.920
68,  88.204,  93.940
69,  88.238,  92.890
70,  88.298,  92.470
71,  88.304,  93.540
72,  88.114,  93.530
73,  88.478,  92.850
74,  88.458,  92.650
75,  88.490,  93.100
76,  88.366,  93.440
77,  88.352,  93.490
78,  88.624,  93.220
79,  88.660,  93.210
80,  88.628,  92.860
81,  88.664,  93.080
82,  88.766,  92.970
83,  88.664,  92.850
84,  88.722,  92.640
85,  88.846,  92.370
86,  88.912,  93.230
87,  88.788,  92.810
88,  88.990,  92.030
89,  88.910,  92.330
90,  89.364,  92.670
91,  89.194,  93.170
92,  89.164,  93.200
93,  89.196,  92.660
94,  89.356,  92.500
95,  89.320,  93.360
96,  89.152,  93.430
97,  89.320,  92.970
98,  89.488,  93.070
99,  89.610,  93.280
100,  89.674,  93.580
101,  89.590,  93.440
102,  89.702,  93.210
103,  89.562,  93.030
104,  89.630,  91.740
105,  89.976,  91.210
106,  89.804,  92.720
107,  89.846,  93.040
108,  90.012,  93.610
109,  89.926,  93.550
110,  90.020,  93.820
111,  90.200,  93.020
112,  89.974,  92.510
113,  90.230,  93.070
114,  90.066,  93.460
115,  89.954,  91.930
116,  90.164,  93.850
117,  90.238,  94.050
118,  90.056,  92.950
119,  90.338,  93.250
120,  90.096,  93.030
121,  94.000,  95.650
122,  95.560,  95.730
123,  96.100,  95.710
124,  96.306,  95.620
125,  96.576,  95.950
126,  96.930,  95.880
127,  97.076,  95.880
128,  97.140,  95.880
129,  97.478,  95.790
130,  97.430,  95.690
131,  97.386,  95.770
132,  97.610,  95.630
133,  97.694,  95.520
134,  97.864,  95.570
135,  97.928,  95.690
136,  97.884,  95.740
137,  97.986,  95.840
138,  97.994,  95.710
139,  97.958,  95.560
140,  97.984,  95.730
141,  98.208,  95.890
142,  98.144,  95.810
143,  98.126,  95.870
144,  98.208,  95.750
145,  98.318,  95.630
146,  98.162,  95.730
147,  98.156,  95.810
148,  98.150,  95.440
149,  98.140,  95.540
150,  98.108,  95.570
151,  98.138,  95.580
152,  98.190,  95.400
153,  98.276,  95.740
154,  98.264,  95.670
155,  98.322,  95.350
156,  98.296,  95.610
157,  98.380,  95.620
158,  98.236,  95.600
159,  98.272,  95.470
160,  98.210,  95.470
161,  98.940,  95.760
162,  99.238,  95.750
163,  99.254,  95.790
164,  99.390,  96.000
165,  99.448,  96.110
166,  99.446,  96.100
167,  99.518,  96.010
168,  99.508,  95.970
169,  99.612,  96.070
170,  99.518,  96.180
171,  99.580,  95.970
172,  99.630,  96.050
173,  99.634,  96.100
174,  99.628,  96.180
175,  99.632,  95.980
176,  99.630,  96.120
177,  99.628,  96.190
178,  99.682,  95.960
179,  99.706,  96.190
180,  99.666,  96.100
181,  99.688,  96.040
182,  99.676,  96.220
183,  99.706,  96.170
184,  99.666,  96.050
185,  99.712,  96.120
186,  99.690,  95.990
187,  99.726,  96.150
188,  99.756,  96.040
189,  99.728,  96.080
190,  99.754,  96.270
191,  99.756,  96.130
192,  99.762,  96.270
193,  99.784,  96.270
194,  99.770,  96.250
195,  99.796,  96.170
196,  99.792,  96.240
197,  99.792,  96.360
198,  99.810,  96.240
199,  99.770,  96.260
200,  99.792,  96.230
best epoch: 197,,  96.360
