first_dataset,cifar10
first_model,resnet18
mng_dataset,cifar10
mng_model,resnet18
first_model_load_path,
mng_load_data_path,
mng_save_data,False
batch_size,128
n_epochs,200
mng_epochs,200
learning_rate,0.1
data_augmentation,True
save_models,True
cutout,True
cutout_n_holes,1
cutout_len,16
seed,4
mango,False
retrain,False
forced,False
gt,False
origmng,False
mng_n_branches,4
mng_init_len,16
n_workers,2
experiment_name,cutout-c10-s4
device,cuda:0
""
epoch,train_acc,test_acc
1,  26.694,  38.480
2,  42.094,  48.590
3,  51.250,  56.790
4,  58.248,  63.590
5,  62.978,  63.060
6,  66.552,  63.000
7,  69.404,  71.450
8,  72.202,  66.030
9,  73.750,  72.790
10,  74.978,  59.990
11,  75.948,  66.940
12,  76.908,  80.240
13,  77.172,  80.290
14,  78.216,  73.780
15,  78.884,  77.600
16,  79.220,  79.160
17,  79.542,  78.370
18,  79.868,  82.520
19,  80.118,  81.040
20,  80.482,  83.400
21,  80.688,  77.720
22,  80.526,  80.710
23,  81.052,  83.700
24,  81.104,  78.270
25,  81.280,  81.710
26,  81.468,  83.810
27,  81.524,  75.880
28,  81.620,  82.340
29,  81.804,  80.680
30,  81.866,  83.860
31,  81.860,  84.860
32,  82.122,  79.940
33,  82.112,  83.200
34,  82.194,  83.610
35,  82.534,  84.290
36,  82.520,  79.030
37,  82.560,  83.060
38,  82.664,  82.500
39,  82.588,  85.990
40,  82.658,  81.790
41,  82.858,  75.130
42,  82.778,  84.910
43,  82.812,  83.790
44,  82.742,  84.390
45,  82.876,  78.810
46,  82.924,  84.490
47,  83.134,  84.440
48,  83.238,  84.340
49,  83.226,  83.340
50,  83.326,  85.130
51,  83.406,  76.300
52,  83.400,  83.010
53,  83.380,  81.740
54,  83.598,  83.180
55,  83.574,  81.570
56,  83.524,  84.610
57,  83.554,  85.190
58,  83.494,  83.320
59,  83.368,  83.820
60,  83.484,  81.910
61,  89.250,  91.410
62,  90.838,  92.840
63,  91.284,  92.710
64,  91.530,  92.380
65,  91.658,  92.910
66,  91.820,  92.810
67,  91.936,  92.470
68,  91.912,  92.460
69,  92.056,  92.610
70,  92.018,  92.510
71,  91.954,  91.290
72,  92.302,  91.990
73,  91.984,  91.480
74,  92.186,  92.000
75,  91.938,  92.270
76,  92.010,  91.740
77,  91.790,  92.270
78,  91.874,  92.450
79,  92.004,  92.030
80,  92.000,  91.620
81,  91.866,  92.180
82,  92.020,  91.970
83,  92.096,  90.890
84,  91.872,  91.010
85,  92.084,  92.260
86,  92.048,  91.160
87,  92.046,  92.610
88,  92.168,  91.870
89,  92.002,  91.640
90,  92.178,  92.180
91,  92.166,  91.440
92,  92.160,  91.200
93,  92.244,  92.320
94,  92.334,  91.700
95,  92.256,  92.010
96,  92.354,  92.480
97,  92.382,  92.540
98,  92.282,  91.900
99,  92.310,  92.040
100,  92.532,  92.400
101,  92.466,  92.090
102,  92.478,  91.680
103,  92.414,  91.820
104,  92.664,  92.570
105,  92.580,  92.210
106,  92.374,  92.410
107,  92.668,  92.240
108,  92.640,  91.980
109,  92.544,  92.160
110,  92.662,  91.400
111,  92.816,  91.200
112,  92.686,  92.810
113,  92.894,  91.970
114,  92.624,  89.310
115,  92.754,  91.000
116,  92.800,  90.840
117,  92.808,  91.750
118,  92.686,  92.050
119,  92.724,  91.730
120,  92.836,  91.790
121,  95.720,  95.070
122,  96.298,  95.140
123,  96.788,  95.120
124,  96.900,  95.270
125,  97.118,  95.530
126,  97.246,  95.400
127,  97.398,  95.380
128,  97.462,  95.320
129,  97.432,  95.450
130,  97.610,  95.430
131,  97.482,  95.320
132,  97.494,  95.430
133,  97.592,  95.430
134,  97.680,  95.350
135,  97.744,  95.270
136,  97.642,  95.370
137,  97.716,  95.400
138,  97.668,  95.430
139,  97.826,  95.500
140,  97.768,  95.380
141,  97.752,  95.490
142,  97.762,  95.560
143,  97.850,  95.430
144,  97.902,  95.500
145,  97.876,  95.330
146,  97.824,  95.370
147,  97.786,  95.360
148,  97.808,  95.340
149,  97.938,  95.340
150,  97.918,  95.420
151,  98.006,  95.080
152,  97.920,  95.100
153,  97.936,  95.230
154,  97.828,  95.140
155,  97.938,  95.540
156,  97.856,  94.860
157,  98.036,  95.230
158,  98.032,  95.480
159,  97.900,  95.120
160,  97.888,  95.340
161,  98.430,  95.880
162,  98.594,  95.860
163,  98.638,  95.930
164,  98.764,  95.890
165,  98.740,  96.000
166,  98.832,  95.900
167,  98.844,  96.070
168,  98.944,  95.970
169,  98.796,  95.980
170,  98.930,  96.040
171,  98.908,  96.010
172,  98.884,  95.960
173,  98.832,  95.920
174,  98.938,  95.980
175,  98.968,  96.020
176,  98.920,  96.040
177,  98.856,  95.920
178,  98.918,  96.000
179,  98.994,  95.930
180,  98.970,  95.780
181,  98.946,  95.920
182,  99.028,  95.720
183,  99.104,  95.940
184,  98.984,  95.980
185,  99.056,  95.900
186,  99.024,  95.950
187,  99.070,  96.070
188,  99.052,  95.880
189,  99.136,  96.010
190,  99.070,  95.970
191,  99.084,  96.030
192,  99.110,  95.910
193,  99.186,  95.790
194,  99.094,  96.050
195,  99.100,  95.930
196,  99.198,  95.870
197,  99.182,  96.030
198,  99.040,  96.020
199,  99.084,  95.910
200,  99.102,  95.890
best epoch: 187,,  96.070
