first_dataset,cifar10
first_model,resnet18
mng_dataset,cifar10
mng_model,resnet18
first_model_load_path,models/mng-per-ep-originalsetting-res18.pt
mng_load_data_path,
mng_save_data,False
batch_size,128
n_epochs,200
learning_rate,0.1
data_augmentation,True
save_models,True
cutout,False
fixedcutout,False
cutout_n_holes,1
cutout_len,16
seed,0
mango,True
mng_n_branches,4
mng_init_len,16
n_workers,2
experiment_name,cutout2
device,cuda:0
""
epoch,train_acc,test_acc
1,  28.896,  40.190
2,  43.228,  43.580
3,  51.978,  52.370
4,  59.118,  56.590
5,  63.808,  64.470
6,  67.722,  68.870
7,  71.726,  73.620
8,  74.626,  67.770
9,  76.898,  69.210
10,  78.976,  76.700
11,  80.310,  78.200
12,  82.150,  76.550
13,  83.506,  78.010
14,  84.584,  77.710
15,  85.586,  77.390
16,  86.662,  78.430
17,  87.226,  78.130
18,  87.838,  74.840
19,  88.316,  77.320
20,  88.814,  78.900
21,  89.172,  74.290
22,  89.578,  77.830
23,  89.814,  71.610
24,  90.122,  76.340
25,  90.228,  78.520
26,  90.330,  77.970
27,  90.750,  77.390
28,  90.684,  79.580
29,  90.800,  74.420
30,  90.852,  76.830
31,  90.852,  78.620
32,  90.844,  74.720
33,  90.984,  77.900
34,  91.280,  80.480
35,  91.314,  78.600
36,  91.444,  79.000
37,  91.242,  77.080
38,  91.294,  78.630
39,  91.380,  78.690
40,  91.502,  77.950
41,  91.682,  78.920
42,  91.482,  79.200
43,  91.784,  79.720
44,  91.732,  78.530
45,  91.694,  77.370
46,  91.780,  77.060
47,  91.266,  76.570
48,  91.782,  79.350
49,  92.032,  78.520
50,  91.714,  78.030
51,  91.758,  76.890
52,  91.560,  77.940
53,  91.922,  78.790
54,  91.792,  76.740
55,  91.832,  79.890
56,  92.134,  78.820
57,  91.750,  79.520
58,  92.182,  73.220
59,  91.668,  75.800
60,  92.146,  79.110
61,  98.400,  85.450
62,  99.978,  85.960
63,  100.000,  86.080
64,  99.998,  86.180
65,  100.000,  86.110
66,  100.000,  86.270
67,  100.000,  86.220
68,  100.000,  86.270
69,  100.000,  86.300
70,  100.000,  86.330
71,  100.000,  86.300
72,  100.000,  86.160
73,  100.000,  86.380
74,  100.000,  86.180
75,  100.000,  86.280
76,  100.000,  86.270
77,  100.000,  86.370
78,  100.000,  86.260
79,  100.000,  86.260
80,  100.000,  86.350
81,  100.000,  86.300
82,  100.000,  86.520
83,  100.000,  86.400
84,  100.000,  86.420
85,  100.000,  86.410
86,  100.000,  86.420
87,  100.000,  86.250
88,  100.000,  86.370
89,  100.000,  86.470
90,  100.000,  86.410
91,  100.000,  86.350
92,  100.000,  86.490
93,  100.000,  86.380
94,  100.000,  86.460
95,  100.000,  86.500
96,  100.000,  86.390
97,  100.000,  86.360
98,  100.000,  86.260
99,  100.000,  86.240
100,  100.000,  86.260
101,  100.000,  86.430
102,  82.134,  69.710
103,  79.670,  79.370
104,  88.714,  81.420
105,  93.380,  81.740
106,  96.132,  81.180
107,  97.110,  82.650
108,  97.464,  82.160
109,  98.080,  82.790
110,  98.778,  81.610
111,  98.820,  82.170
112,  99.304,  83.740
113,  98.940,  81.230
114,  98.608,  82.390
115,  97.764,  81.560
116,  97.928,  82.380
117,  98.552,  82.760
118,  98.918,  83.720
119,  99.454,  83.260
120,  99.702,  84.570
121,  99.946,  85.880
122,  100.000,  85.990
123,  100.000,  86.060
124,  100.000,  86.190
125,  100.000,  86.000
126,  100.000,  86.120
127,  100.000,  86.040
128,  100.000,  85.990
129,  100.000,  86.140
130,  100.000,  86.080
131,  100.000,  86.310
132,  100.000,  86.110
133,  100.000,  86.150
134,  100.000,  86.200
135,  100.000,  86.270
136,  100.000,  86.330
137,  100.000,  86.310
138,  100.000,  86.210
139,  100.000,  86.210
140,  100.000,  86.430
141,  100.000,  86.270
142,  100.000,  86.450
143,  100.000,  86.510
144,  100.000,  86.360
145,  100.000,  86.430
146,  100.000,  86.350
147,  100.000,  86.500
148,  100.000,  86.420
149,  100.000,  86.350
150,  100.000,  86.580
151,  100.000,  86.520
152,  100.000,  86.420
153,  100.000,  86.500
154,  100.000,  86.580
155,  100.000,  86.590
156,  100.000,  86.560
157,  100.000,  86.640
158,  100.000,  86.560
159,  100.000,  86.620
160,  100.000,  86.580
161,  100.000,  86.700
162,  100.000,  86.560
163,  100.000,  86.590
164,  100.000,  86.620
165,  100.000,  86.540
166,  100.000,  86.590
167,  100.000,  86.730
168,  100.000,  86.600
169,  100.000,  86.830
170,  100.000,  86.600
171,  100.000,  86.690
172,  100.000,  86.540
173,  100.000,  86.610
174,  100.000,  86.600
175,  100.000,  86.680
176,  100.000,  86.640
177,  100.000,  86.570
178,  100.000,  86.710
179,  100.000,  86.730
180,  100.000,  86.580
181,  100.000,  86.740
182,  100.000,  86.670
183,  100.000,  86.730
184,  100.000,  86.630
185,  100.000,  86.670
186,  100.000,  86.710
187,  100.000,  86.750
188,  100.000,  86.580
189,  100.000,  86.670
190,  100.000,  86.760
191,  100.000,  86.740
192,  100.000,  86.790
193,  100.000,  86.870
194,  100.000,  86.770
195,  100.000,  86.800
196,  100.000,  86.700
197,  100.000,  86.740
198,  100.000,  86.760
199,  100.000,  86.750
200,  100.000,  86.810
