first_dataset,cifar10
first_model,resnet18
mng_dataset,cifar10
mng_model,resnet18
first_model_load_path,models/mng-per-ep-originalsetting-res18.pt
mng_load_data_path,data/MANGO/mngcut.txt
mng_save_data,False
batch_size,128
n_epochs,200
learning_rate,0.1
data_augmentation,True
save_models,True
cutout,False
fixedcutout,False
cutout_n_holes,1
cutout_len,16
seed,0
mango,True
mng_n_branches,4
mng_init_len,16
n_workers,2
experiment_name,mngcut
device,cuda:0
""
epoch,train_acc,test_acc
1,  33.464,  47.830
2,  48.954,  49.110
3,  58.170,  59.460
4,  64.630,  67.750
5,  69.436,  71.040
6,  73.118,  72.640
7,  76.506,  73.830
8,  78.588,  75.200
9,  80.466,  72.580
10,  82.222,  78.380
11,  83.646,  76.860
12,  84.818,  73.360
13,  86.036,  72.870
14,  86.924,  79.600
15,  87.708,  72.550
16,  88.014,  75.510
17,  88.554,  77.340
18,  89.064,  76.390
19,  89.656,  70.310
20,  89.604,  75.320
21,  89.844,  76.720
22,  90.578,  77.590
23,  90.426,  76.070
24,  90.258,  78.090
25,  90.344,  73.430
26,  90.994,  69.140
27,  90.984,  74.850
28,  90.776,  76.000
29,  91.156,  76.940
30,  90.922,  79.330
31,  91.210,  73.100
32,  91.060,  75.320
33,  91.510,  76.590
34,  91.364,  74.510
35,  91.348,  76.590
36,  91.466,  75.800
37,  91.446,  79.570
38,  91.370,  75.210
39,  91.756,  77.380
40,  91.092,  78.100
41,  91.836,  77.520
42,  91.648,  73.770
43,  91.730,  78.090
44,  91.766,  76.340
45,  91.872,  76.900
46,  91.706,  76.940
47,  92.184,  77.270
48,  91.660,  75.860
49,  91.694,  73.050
50,  91.774,  76.300
51,  91.896,  78.590
52,  91.740,  75.520
53,  91.694,  76.220
54,  92.014,  76.340
55,  91.870,  78.970
56,  91.816,  78.050
57,  91.858,  76.180
58,  91.938,  72.860
59,  92.420,  77.890
60,  91.784,  77.910
61,  98.390,  84.530
62,  99.984,  84.730
63,  99.998,  84.810
64,  100.000,  84.750
65,  100.000,  84.850
66,  100.000,  85.010
67,  100.000,  84.840
68,  100.000,  85.000
69,  100.000,  84.950
70,  100.000,  85.070
71,  100.000,  85.080
72,  100.000,  84.950
73,  100.000,  85.050
74,  100.000,  85.040
75,  100.000,  85.150
76,  100.000,  84.980
77,  100.000,  84.980
78,  100.000,  85.100
79,  100.000,  85.020
80,  100.000,  85.070
81,  100.000,  85.220
82,  100.000,  85.130
83,  100.000,  85.020
84,  100.000,  85.050
85,  100.000,  85.130
86,  100.000,  85.190
87,  100.000,  85.230
88,  100.000,  85.170
89,  100.000,  85.210
90,  100.000,  84.990
91,  100.000,  85.050
92,  100.000,  85.170
93,  100.000,  85.090
94,  100.000,  85.070
95,  100.000,  85.150
96,  100.000,  85.180
97,  100.000,  85.340
98,  100.000,  85.160
99,  100.000,  85.330
100,  100.000,  85.250
101,  100.000,  85.220
102,  100.000,  85.420
103,  100.000,  85.210
104,  100.000,  85.370
105,  100.000,  85.490
106,  100.000,  85.250
107,  100.000,  85.410
108,  100.000,  85.390
109,  100.000,  85.100
110,  89.394,  25.780
111,  45.120,  54.830
112,  61.632,  64.390
113,  70.038,  69.430
114,  75.236,  74.960
115,  79.348,  75.300
116,  82.762,  75.260
117,  86.190,  77.770
118,  89.406,  78.700
119,  91.930,  76.770
120,  93.008,  76.230
121,  98.590,  81.820
122,  99.918,  81.970
123,  99.988,  81.980
124,  99.998,  82.220
125,  99.998,  82.200
126,  100.000,  82.330
127,  100.000,  82.200
128,  100.000,  81.880
129,  100.000,  81.990
130,  100.000,  82.060
131,  100.000,  82.090
132,  100.000,  82.070
133,  100.000,  82.070
134,  100.000,  82.210
135,  99.998,  82.160
136,  100.000,  82.020
137,  100.000,  82.360
138,  100.000,  82.170
139,  100.000,  82.210
140,  100.000,  82.160
141,  100.000,  82.080
142,  100.000,  82.050
143,  100.000,  82.340
144,  100.000,  82.090
145,  100.000,  82.120
146,  100.000,  82.060
147,  100.000,  82.390
148,  100.000,  82.300
149,  100.000,  82.140
150,  100.000,  82.330
151,  100.000,  82.110
152,  100.000,  82.300
153,  100.000,  82.380
154,  100.000,  82.170
155,  100.000,  82.320
156,  100.000,  82.330
157,  100.000,  82.240
158,  100.000,  82.270
159,  100.000,  82.280
160,  100.000,  82.260
161,  100.000,  82.090
162,  100.000,  82.280
163,  100.000,  82.150
164,  100.000,  82.170
165,  100.000,  82.100
166,  100.000,  82.380
167,  100.000,  82.040
168,  100.000,  82.210
169,  100.000,  82.270
170,  100.000,  82.360
171,  100.000,  82.440
172,  100.000,  82.180
173,  100.000,  82.290
174,  100.000,  82.260
175,  100.000,  82.180
176,  100.000,  82.180
177,  100.000,  82.470
178,  100.000,  82.250
179,  100.000,  82.190
180,  100.000,  82.300
181,  100.000,  82.320
182,  100.000,  82.260
183,  100.000,  82.410
184,  100.000,  82.280
185,  100.000,  82.270
186,  100.000,  82.340
187,  100.000,  82.440
188,  100.000,  82.500
189,  100.000,  82.320
190,  100.000,  82.430
191,  100.000,  82.380
192,  100.000,  82.400
193,  100.000,  82.320
194,  100.000,  82.230
195,  100.000,  82.350
196,  100.000,  82.200
197,  100.000,  82.320
198,  100.000,  82.490
199,  100.000,  82.520
200,  100.000,  82.390
