first_dataset,cifar10
first_model,resnet18
mng_dataset,cifar10
mng_model,resnet18
first_model_load_path,models/mng-per-ep-originalsetting-res18.pt
mng_load_data_path,
mng_save_data,False
batch_size,128
n_epochs,200
learning_rate,0.1
data_augmentation,True
save_models,True
cutout,False
fixedcutout,False
cutout_n_holes,1
cutout_len,16
seed,0
mango,True
mng_n_branches,4
mng_init_len,16
n_workers,2
experiment_name,mngcut2-astrans
device,cuda:0
""
epoch,train_acc,test_acc
1,  31.472,  42.990
2,  45.876,  50.760
3,  55.072,  54.800
4,  61.318,  60.890
5,  66.162,  69.770
6,  70.238,  70.110
7,  72.382,  74.600
8,  74.142,  74.420
9,  75.508,  77.150
10,  76.482,  74.130
11,  77.124,  74.700
12,  77.980,  75.750
13,  78.470,  78.570
14,  79.050,  78.000
15,  79.548,  78.500
16,  80.058,  81.010
17,  80.506,  78.900
18,  80.708,  79.740
19,  80.830,  81.580
20,  81.210,  80.260
21,  81.420,  80.260
22,  81.490,  82.110
23,  81.932,  81.450
24,  81.888,  80.150
25,  82.102,  80.650
26,  82.268,  84.060
27,  82.364,  78.240
28,  82.766,  83.860
29,  82.514,  81.180
30,  82.490,  80.500
31,  82.588,  82.020
32,  82.854,  77.380
33,  82.954,  83.470
34,  83.178,  83.550
35,  82.998,  82.680
36,  83.128,  83.760
37,  83.214,  82.550
38,  83.602,  78.370
39,  83.246,  82.280
40,  83.264,  84.060
41,  83.462,  84.020
42,  83.544,  82.750
43,  83.406,  84.030
44,  83.568,  79.270
45,  83.348,  83.320
46,  83.668,  77.780
47,  83.546,  85.210
48,  83.828,  76.510
49,  84.048,  84.770
50,  83.820,  82.900
51,  83.870,  82.040
52,  83.784,  85.610
53,  83.808,  81.170
54,  84.056,  81.850
55,  83.992,  82.970
56,  84.336,  82.790
57,  83.884,  85.680
58,  84.042,  80.550
59,  84.116,  84.700
60,  83.968,  84.520
61,  89.784,  92.230
62,  91.326,  92.550
63,  91.718,  92.180
64,  92.120,  92.580
65,  92.478,  92.920
66,  92.542,  92.910
67,  92.520,  93.060
68,  92.544,  91.910
69,  92.618,  92.670
70,  92.724,  92.490
71,  92.702,  91.250
72,  92.714,  92.260
73,  92.562,  91.710
74,  92.318,  91.400
75,  92.518,  92.370
76,  92.538,  92.260
77,  92.568,  92.010
78,  92.608,  91.710
79,  92.244,  89.110
80,  92.370,  90.890
81,  92.468,  91.310
82,  92.360,  91.520
83,  92.394,  91.630
84,  92.690,  91.950
85,  92.650,  90.940
86,  92.662,  91.850
87,  92.478,  92.250
88,  92.714,  92.410
89,  92.604,  91.230
90,  92.588,  92.030
91,  92.696,  91.510
92,  92.728,  92.160
93,  92.712,  91.560
94,  92.682,  92.190
95,  93.090,  91.560
96,  92.890,  91.910
97,  92.782,  90.720
98,  92.774,  91.430
99,  93.032,  91.800
100,  92.914,  90.940
101,  93.038,  91.610
102,  92.948,  91.940
103,  92.938,  91.620
104,  93.086,  92.120
105,  93.208,  91.320
106,  93.226,  91.190
107,  92.936,  91.740
108,  93.032,  91.700
109,  93.330,  91.880
110,  93.134,  92.060
111,  93.250,  92.140
112,  93.268,  92.450
113,  93.202,  92.030
114,  93.316,  90.930
115,  93.350,  91.300
116,  93.418,  91.920
117,  93.432,  91.550
118,  93.180,  91.620
119,  93.504,  90.130
120,  93.244,  91.530
121,  95.966,  94.560
122,  96.930,  94.850
123,  97.226,  95.010
124,  97.420,  95.100
125,  97.548,  95.080
126,  97.752,  95.290
127,  97.786,  95.140
128,  97.974,  95.060
129,  98.028,  94.950
130,  98.002,  95.120
131,  98.016,  95.070
132,  98.142,  94.850
133,  98.046,  95.010
134,  98.074,  94.960
135,  98.188,  95.040
136,  98.194,  94.950
137,  97.980,  95.040
138,  98.210,  95.050
139,  98.278,  94.970
140,  98.192,  94.900
141,  98.202,  94.980
142,  98.298,  94.880
143,  98.214,  94.940
144,  98.304,  94.850
145,  98.378,  94.620
146,  98.354,  95.000
147,  98.284,  95.020
148,  98.268,  95.000
149,  98.280,  94.680
150,  98.418,  95.190
151,  98.186,  94.760
152,  98.398,  94.890
153,  98.358,  94.970
154,  98.392,  94.890
155,  98.462,  94.770
156,  98.434,  94.320
157,  98.228,  94.530
158,  98.330,  95.050
159,  98.136,  94.850
160,  98.372,  94.640
161,  98.694,  95.240
162,  98.884,  95.350
163,  98.988,  95.320
164,  99.002,  95.320
165,  99.080,  95.400
166,  99.100,  95.370
167,  99.128,  95.350
168,  99.132,  95.510
169,  99.154,  95.530
170,  99.186,  95.390
171,  99.168,  95.540
