first_dataset,cifar10
first_model,resnet18
mng_dataset,cifar10
mng_model,resnet18
first_model_load_path,models/mng-per-ep-originalsetting-res18.pt
mng_load_data_path,
mng_save_data,False
batch_size,128
n_epochs,200
learning_rate,0.1
data_augmentation,True
save_models,True
cutout,False
cutout_n_holes,1
cutout_len,16
seed,0
mango,True
mng_n_branches,4
mng_init_len,16
n_workers,2
experiment_name,origmng-trans-mindepth8
device,cuda:0
""
epoch,train_acc,test_acc
1,  34.300,  46.080
2,  52.026,  52.420
3,  62.396,  61.580
4,  68.282,  69.240
5,  72.856,  73.880
6,  77.104,  77.260
7,  79.574,  76.050
8,  81.150,  74.890
9,  82.284,  77.830
10,  83.322,  80.930
11,  83.750,  80.760
12,  84.530,  80.610
13,  85.006,  82.110
14,  85.232,  79.330
15,  85.768,  81.520
16,  86.188,  81.160
17,  86.336,  84.910
18,  86.734,  81.010
19,  87.002,  82.080
20,  87.200,  82.750
21,  87.376,  82.010
22,  87.274,  79.790
23,  87.764,  79.410
24,  87.800,  81.270
25,  87.952,  78.220
26,  88.002,  83.890
27,  88.128,  81.360
28,  88.088,  83.070
29,  88.382,  83.660
30,  88.280,  80.500
31,  88.422,  83.250
32,  88.376,  84.480
33,  88.638,  84.880
34,  88.810,  84.540
35,  88.878,  84.110
36,  88.976,  86.430
37,  88.754,  82.890
38,  88.978,  86.080
39,  89.118,  84.800
40,  88.826,  84.540
41,  89.140,  81.930
42,  89.234,  86.020
43,  89.196,  84.630
44,  89.252,  78.130
45,  89.210,  85.180
46,  89.158,  81.270
47,  89.294,  83.390
48,  89.064,  81.700
49,  89.292,  82.290
50,  89.158,  85.400
51,  89.406,  87.360
52,  89.396,  85.080
53,  89.488,  84.130
54,  89.334,  84.880
55,  89.696,  85.070
56,  89.658,  85.820
57,  89.414,  84.090
58,  89.664,  85.310
59,  89.596,  81.400
60,  89.426,  83.760
61,  94.606,  92.610
62,  96.018,  93.140
63,  96.530,  93.500
64,  96.932,  93.030
65,  97.056,  92.970
66,  97.228,  93.040
67,  97.400,  93.000
68,  97.358,  92.510
69,  97.304,  92.650
70,  97.306,  92.490
71,  97.186,  91.160
72,  97.102,  92.420
73,  97.070,  92.420
74,  97.118,  91.760
75,  96.852,  91.460
76,  96.950,  90.810
77,  96.960,  91.410
78,  96.956,  90.900
79,  96.802,  91.210
80,  96.952,  91.040
81,  96.792,  90.490
82,  96.828,  92.030
83,  96.794,  91.510
84,  96.978,  91.440
85,  96.738,  91.080
86,  96.936,  91.650
87,  96.870,  91.160
88,  96.996,  90.220
89,  96.942,  90.760
90,  96.982,  90.240
91,  96.822,  91.280
92,  96.972,  89.860
93,  96.954,  90.430
94,  97.128,  90.510
95,  96.982,  91.600
96,  96.928,  91.070
97,  97.022,  91.150
98,  97.012,  89.860
99,  97.152,  90.680
100,  96.988,  92.320
101,  97.224,  91.790
102,  97.024,  90.770
103,  97.020,  91.920
104,  97.154,  91.340
105,  97.132,  91.340
106,  96.930,  90.980
107,  97.394,  91.640
108,  97.204,  90.630
109,  97.056,  91.100
110,  97.212,  90.920
111,  97.086,  91.670
112,  97.354,  91.650
113,  97.236,  90.790
114,  97.156,  91.390
115,  97.218,  91.540
116,  97.254,  88.390
117,  97.112,  92.110
118,  97.050,  90.930
119,  97.126,  91.520
120,  97.346,  91.700
121,  99.054,  94.470
122,  99.598,  94.660
123,  99.722,  94.670
124,  99.772,  94.870
125,  99.814,  94.710
126,  99.848,  94.860
127,  99.872,  94.850
128,  99.916,  94.770
129,  99.928,  94.810
130,  99.928,  94.850
131,  99.906,  94.890
132,  99.928,  95.070
133,  99.932,  95.030
134,  99.950,  94.880
135,  99.950,  94.830
136,  99.954,  94.820
137,  99.952,  95.000
138,  99.954,  94.960
139,  99.968,  95.010
140,  99.956,  94.910
141,  99.962,  94.860
142,  99.960,  94.980
143,  99.972,  94.940
144,  99.980,  95.000
145,  99.966,  94.900
146,  99.964,  95.080
147,  99.948,  94.770
148,  99.970,  95.210
149,  99.980,  95.040
150,  99.964,  95.170
151,  99.980,  95.110
152,  99.972,  94.980
153,  99.970,  95.110
154,  99.988,  95.080
155,  99.982,  95.020
156,  99.980,  95.120
157,  99.980,  95.000
158,  99.974,  95.110
159,  99.966,  94.990
160,  99.984,  95.170
161,  99.988,  95.180
162,  99.994,  95.170
163,  99.982,  95.160
164,  99.988,  95.140
165,  99.996,  95.190
166,  99.990,  95.150
167,  99.992,  95.150
168,  99.992,  95.110
169,  99.994,  95.150
170,  99.992,  95.230
171,  99.988,  95.180
172,  99.992,  95.150
173,  99.988,  95.220
174,  99.998,  95.270
175,  99.990,  95.140
176,  99.994,  95.200
177,  99.996,  95.210
178,  99.992,  95.040
179,  99.992,  95.140
180,  100.000,  95.150
181,  99.986,  95.220
182,  99.984,  95.250
183,  99.992,  95.180
184,  99.996,  95.180
185,  99.986,  95.150
186,  99.992,  95.190
187,  99.998,  95.270
188,  99.990,  95.220
189,  99.992,  95.240
190,  99.988,  95.290
191,  99.996,  95.220
192,  99.994,  95.270
193,  99.998,  95.230
194,  99.996,  95.260
195,  99.994,  95.220
196,  99.998,  95.240
197,  99.996,  95.290
198,  99.988,  95.200
199,  99.992,  95.150
200,  99.996,  95.140
best 190,  99.988,  95.290
