first_dataset,cifar10
first_model,resnet18
mng_dataset,cifar10
mng_model,resnet18
first_model_load_path,models/mng-per-ep-originalsetting-res18.pt
mng_load_data_path,
mng_save_data,False
batch_size,128
n_epochs,200
learning_rate,0.1
data_augmentation,True
save_models,True
cutout,False
cutout_n_holes,1
cutout_len,16
seed,0
mango,True
mng_n_branches,4
mng_init_len,16
n_workers,2
experiment_name,origmngcut+aug-noID
device,cuda:0
""
epoch,train_acc,test_acc
1,  31.510,  44.530
2,  45.722,  44.070
3,  54.770,  56.680
4,  59.986,  60.570
5,  63.150,  68.860
6,  66.100,  69.710
7,  68.766,  71.420
8,  70.786,  72.450
9,  72.148,  71.140
10,  73.484,  75.450
11,  74.018,  75.970
12,  74.998,  74.990
13,  75.530,  80.740
14,  76.276,  79.490
15,  76.788,  78.600
16,  77.006,  76.750
17,  77.284,  78.160
18,  77.504,  74.410
19,  77.730,  81.040
20,  78.236,  80.440
21,  78.160,  82.110
22,  78.594,  78.560
23,  78.624,  81.870
24,  78.784,  78.600
25,  79.218,  73.660
26,  79.218,  80.640
27,  79.130,  79.500
28,  79.196,  79.540
29,  79.734,  81.510
30,  79.810,  81.830
31,  80.000,  80.690
32,  79.944,  82.940
33,  79.970,  78.050
34,  79.948,  75.300
35,  80.058,  81.100
36,  80.116,  83.050
37,  80.476,  80.770
38,  80.372,  81.140
39,  80.158,  80.910
40,  80.260,  83.910
41,  80.632,  78.860
42,  80.406,  83.960
43,  80.750,  79.240
44,  80.810,  82.820
45,  80.726,  83.400
46,  80.636,  82.240
47,  80.890,  81.730
48,  80.898,  84.870
49,  80.772,  77.370
50,  80.768,  85.180
51,  81.032,  83.610
52,  80.898,  82.590
53,  81.164,  84.690
54,  81.298,  84.700
55,  81.332,  79.370
56,  81.286,  83.730
57,  81.258,  86.750
58,  81.330,  83.740
59,  81.174,  86.230
60,  81.274,  85.810
61,  87.452,  92.010
62,  88.868,  92.320
63,  89.486,  92.900
64,  89.748,  92.990
65,  90.060,  92.810
66,  90.382,  92.810
67,  90.198,  92.310
68,  90.550,  92.710
69,  90.262,  92.240
70,  90.208,  91.670
71,  90.464,  91.640
72,  90.230,  91.880
73,  90.490,  91.980
74,  90.412,  91.310
75,  90.312,  91.750
76,  90.506,  92.860
77,  90.224,  91.990
78,  90.564,  90.840
79,  90.534,  90.590
80,  90.410,  91.950
81,  90.368,  92.460
82,  90.342,  91.850
83,  90.484,  90.240
84,  90.380,  92.460
85,  90.594,  91.740
86,  90.502,  91.970
87,  90.658,  91.830
88,  90.766,  91.350
89,  90.682,  92.090
90,  90.832,  92.390
91,  90.704,  91.340
92,  90.828,  91.840
93,  90.816,  91.730
94,  90.986,  90.670
95,  90.924,  92.080
96,  90.846,  91.570
97,  90.924,  92.250
98,  91.164,  91.710
99,  90.888,  92.360
100,  91.092,  90.860
101,  91.070,  91.950
102,  91.202,  91.260
103,  91.054,  92.580
104,  91.250,  92.270
105,  91.262,  92.270
106,  91.294,  91.500
107,  91.424,  93.060
108,  91.226,  92.060
109,  91.098,  91.940
110,  91.532,  93.190
111,  91.458,  92.290
112,  91.498,  92.180
113,  91.574,  92.070
114,  91.458,  92.370
115,  91.470,  92.250
116,  91.774,  92.460
117,  91.436,  92.540
118,  91.480,  92.520
119,  91.566,  92.090
120,  91.270,  91.920
121,  94.586,  94.850
122,  95.560,  95.090
123,  95.998,  95.160
124,  96.222,  95.260
125,  96.418,  95.190
126,  96.456,  94.970
127,  96.700,  95.380
128,  96.728,  95.350
129,  96.918,  95.210
130,  96.746,  95.160
131,  97.002,  95.220
132,  97.050,  95.140
133,  97.176,  95.500
134,  97.218,  95.310
135,  97.234,  94.900
136,  97.218,  94.970
137,  97.290,  95.200
138,  97.198,  95.190
139,  97.496,  95.300
140,  97.372,  95.140
141,  97.236,  95.030
142,  97.476,  94.990
143,  97.478,  95.110
144,  97.444,  95.280
145,  97.430,  95.240
146,  97.494,  95.120
147,  97.492,  95.360
148,  97.586,  95.240
149,  97.492,  94.910
150,  97.456,  95.450
151,  97.492,  95.250
152,  97.502,  95.190
153,  97.532,  95.150
154,  97.620,  95.100
155,  97.578,  95.200
156,  97.618,  94.630
157,  97.574,  95.120
158,  97.510,  94.820
159,  97.548,  94.880
160,  97.578,  95.000
161,  98.042,  95.480
162,  98.322,  95.650
163,  98.540,  95.690
164,  98.654,  95.570
165,  98.672,  95.520
166,  98.714,  95.610
167,  98.742,  95.610
168,  98.780,  95.610
169,  98.840,  95.480
170,  98.722,  95.490
171,  98.860,  95.730
172,  98.906,  95.660
173,  98.988,  95.750
174,  98.986,  95.800
175,  98.868,  95.680
176,  98.998,  95.830
177,  98.938,  95.940
178,  98.946,  95.840
179,  99.016,  95.740
180,  99.064,  95.750
181,  99.026,  95.810
182,  99.024,  95.790
183,  99.062,  95.750
184,  99.004,  95.540
185,  99.082,  95.620
186,  99.076,  95.720
187,  99.072,  95.840
188,  99.048,  95.740
189,  99.100,  95.750
190,  99.162,  95.750
191,  99.102,  95.800
192,  99.092,  95.570
193,  99.120,  95.760
194,  99.138,  95.810
195,  99.144,  95.720
196,  99.142,  95.640
197,  99.224,  95.690
198,  99.114,  95.580
199,  99.152,  95.520
200,  99.220,  95.530
best 177,  98.938,  95.940
