first_dataset,cifar10
first_model,resnet18
mng_dataset,cifar10
mng_model,resnet18
first_model_load_path,models/mng-per-ep-originalsetting-res18.pt
mng_load_data_path,
mng_save_data,False
batch_size,128
n_epochs,200
learning_rate,0.1
data_augmentation,False
save_models,True
cutout,False
cutout_n_holes,1
cutout_len,16
seed,0
mango,True
mng_n_branches,4
mng_init_len,16
n_workers,0
experiment_name,origmngcut-noaug
device,cuda:0
""
epoch,train_acc,test_acc
1,  30.412,  42.860
2,  46.218,  51.920
3,  55.072,  56.310
4,  61.918,  61.020
5,  66.966,  71.610
6,  71.144,  73.300
7,  74.280,  72.690
8,  76.570,  76.200
9,  78.834,  77.740
10,  80.236,  75.750
11,  81.376,  79.690
12,  82.154,  76.470
13,  83.410,  76.270
14,  84.346,  79.830
15,  84.912,  80.590
16,  85.418,  80.500
17,  85.880,  79.830
18,  86.528,  75.510
19,  86.936,  78.360
20,  87.252,  80.220
21,  87.592,  79.980
22,  87.718,  81.290
23,  87.754,  82.510
24,  87.958,  78.610
25,  88.410,  78.250
26,  88.472,  80.030
27,  88.552,  75.500
28,  88.838,  79.720
29,  88.796,  82.010
30,  89.120,  77.690
31,  88.970,  80.670
32,  89.322,  80.950
33,  89.218,  79.540
34,  89.274,  80.880
35,  89.146,  82.110
36,  89.732,  79.280
37,  89.360,  80.660
38,  89.134,  81.510
39,  89.670,  81.530
40,  89.570,  79.680
41,  89.874,  82.100
42,  89.828,  82.790
43,  89.642,  80.310
44,  90.048,  82.910
45,  89.694,  78.630
46,  89.728,  77.900
47,  90.068,  81.550
48,  89.938,  79.590
49,  89.908,  82.030
50,  90.106,  79.770
51,  90.204,  79.550
52,  89.996,  81.470
53,  89.992,  81.550
54,  89.894,  81.350
55,  90.286,  80.840
56,  90.158,  79.400
57,  90.326,  83.020
58,  90.288,  81.980
59,  90.028,  81.900
60,  90.470,  80.790
61,  97.078,  87.970
62,  98.936,  88.030
63,  99.252,  88.070
64,  99.414,  88.140
65,  99.464,  87.810
66,  99.604,  88.000
67,  99.582,  88.130
68,  99.598,  87.830
69,  99.596,  87.730
70,  99.654,  87.610
71,  99.708,  87.790
72,  99.756,  87.510
73,  99.722,  87.060
74,  99.558,  86.710
75,  99.436,  85.960
76,  99.152,  85.750
77,  98.778,  85.290
78,  98.202,  84.130
79,  97.918,  84.540
80,  97.800,  84.750
81,  97.566,  85.180
82,  97.648,  85.290
83,  97.734,  84.520
84,  98.004,  84.910
85,  98.246,  85.770
86,  98.162,  84.470
87,  97.966,  83.880
88,  98.134,  83.600
89,  98.196,  84.810
90,  98.096,  84.500
91,  98.078,  85.010
92,  98.014,  85.530
93,  98.214,  84.970
94,  98.318,  83.720
95,  98.470,  84.910
96,  98.038,  83.490
97,  97.998,  85.340
98,  98.216,  84.600
99,  98.366,  85.370
100,  98.106,  84.310
101,  98.178,  84.050
102,  98.218,  83.590
103,  98.076,  84.740
104,  98.134,  84.830
105,  98.400,  84.800
106,  98.084,  84.190
107,  98.160,  84.280
108,  98.446,  84.880
109,  98.282,  84.900
110,  98.282,  84.380
111,  98.318,  83.540
112,  98.148,  84.350
113,  97.916,  84.600
114,  98.372,  84.950
115,  98.436,  84.510
116,  98.476,  84.650
117,  98.098,  83.160
118,  98.054,  84.330
119,  98.246,  84.640
120,  98.390,  85.200
121,  99.404,  87.350
122,  99.784,  87.960
123,  99.822,  87.640
124,  99.896,  87.770
125,  99.900,  87.830
126,  99.916,  87.900
127,  99.932,  87.850
128,  99.938,  87.890
129,  99.942,  87.810
130,  99.952,  87.850
131,  99.960,  87.810
132,  99.954,  87.900
133,  99.946,  87.930
134,  99.962,  87.750
135,  99.966,  88.010
136,  99.964,  88.090
137,  99.968,  88.000
138,  99.976,  87.860
139,  99.986,  88.010
140,  99.982,  87.990
141,  99.974,  88.000
142,  99.978,  88.070
143,  99.990,  87.920
144,  99.978,  88.060
145,  99.990,  88.100
146,  99.984,  88.270
147,  99.984,  88.150
148,  99.984,  88.130
149,  99.988,  87.960
150,  99.980,  88.090
151,  99.976,  88.060
152,  99.990,  88.030
153,  99.992,  88.000
154,  99.986,  88.240
155,  99.986,  88.170
156,  99.988,  88.250
157,  99.994,  88.110
158,  99.992,  88.140
159,  99.992,  88.110
160,  99.994,  88.260
161,  99.988,  88.240
162,  99.990,  88.310
163,  99.982,  88.180
164,  99.994,  88.310
165,  99.996,  88.290
166,  99.992,  88.240
167,  99.994,  88.270
168,  99.998,  88.310
169,  99.990,  88.300
170,  99.992,  88.160
171,  99.990,  88.200
172,  99.992,  88.100
