first_dataset,cifar10
first_model,resnet18
mng_dataset,cifar10
mng_model,resnet18
first_model_load_path,models/mng-per-ep-originalsetting-res18.pt
mng_load_data_path,
mng_save_data,False
batch_size,128
n_epochs,200
learning_rate,0.1
data_augmentation,True
save_models,True
cutout,False
cutout_n_holes,1
cutout_len,16
seed,0
mango,True
mng_n_branches,4
mng_init_len,16
n_workers,2
experiment_name,random-perpix-pch
device,cuda:0
""
epoch,train_acc,test_acc
1,  23.408,  35.910
2,  37.468,  43.950
3,  45.492,  52.280
4,  52.054,  59.140
5,  58.014,  63.590
6,  62.216,  64.990
7,  65.384,  65.400
8,  67.798,  71.540
9,  69.948,  65.990
10,  71.864,  74.160
11,  73.060,  76.670
12,  74.012,  66.990
13,  74.838,  73.650
14,  75.612,  76.940
15,  76.250,  74.800
16,  76.606,  77.190
17,  76.896,  74.860
18,  77.444,  76.940
19,  77.840,  78.830
20,  77.986,  82.050
21,  78.116,  78.470
22,  78.222,  80.760
23,  78.562,  74.540
24,  79.056,  80.470
25,  78.928,  77.240
26,  79.200,  82.230
27,  79.606,  76.390
28,  79.648,  79.850
29,  79.664,  81.960
30,  79.746,  83.600
31,  80.068,  83.140
32,  80.256,  81.930
33,  80.350,  80.840
34,  80.236,  80.550
35,  80.366,  81.960
36,  80.548,  81.620
37,  80.456,  80.460
38,  80.944,  83.480
39,  80.642,  80.880
40,  80.526,  79.960
41,  80.554,  85.870
42,  80.916,  81.760
43,  81.034,  81.530
44,  81.238,  78.770
45,  81.012,  79.400
46,  80.612,  86.490
47,  81.336,  79.670
48,  80.798,  82.450
49,  81.072,  82.260
50,  81.106,  82.190
51,  81.310,  81.410
52,  81.170,  77.450
53,  81.386,  85.290
54,  81.474,  83.090
55,  81.350,  82.670
56,  81.284,  81.330
57,  81.580,  84.300
58,  81.726,  85.310
59,  81.452,  84.450
60,  81.658,  81.620
61,  87.540,  91.870
62,  89.060,  92.020
63,  89.672,  91.600
64,  89.760,  92.450
65,  90.150,  92.230
66,  90.484,  91.920
67,  90.322,  91.470
68,  90.512,  92.190
69,  90.378,  91.640
70,  90.590,  92.350
71,  90.802,  91.260
72,  90.592,  90.560
73,  90.692,  92.180
74,  90.262,  91.010
75,  90.534,  91.850
76,  90.684,  91.900
77,  90.462,  91.140
78,  90.574,  92.380
79,  90.664,  91.460
80,  90.280,  90.330
81,  90.664,  91.600
82,  90.580,  90.980
83,  90.638,  91.340
84,  90.788,  92.140
85,  90.594,  91.600
86,  90.424,  91.830
87,  90.538,  90.220
88,  90.760,  91.430
89,  90.680,  91.730
90,  90.780,  91.710
91,  90.984,  91.710
92,  90.724,  91.850
93,  90.908,  91.770
94,  91.066,  91.140
95,  91.176,  91.380
96,  91.106,  91.980
97,  90.984,  90.760
98,  90.946,  91.220
99,  91.160,  90.020
100,  91.134,  91.740
101,  91.132,  90.850
102,  91.144,  91.200
103,  91.344,  91.220
104,  91.358,  91.090
105,  91.230,  91.270
106,  91.360,  91.120
107,  91.346,  90.230
108,  91.258,  91.070
109,  91.470,  91.070
110,  91.558,  91.240
111,  91.398,  91.780
112,  91.584,  91.280
113,  91.368,  89.440
114,  91.648,  90.830
115,  91.680,  91.800
116,  91.542,  90.490
117,  91.508,  91.600
118,  91.364,  92.520
119,  91.680,  91.340
120,  91.524,  90.910
121,  94.500,  94.700
122,  95.712,  94.980
123,  95.954,  94.930
124,  96.162,  95.240
125,  96.394,  94.920
126,  96.428,  94.910
127,  96.628,  95.060
128,  96.858,  95.180
129,  96.828,  95.280
130,  96.812,  95.120
131,  96.974,  95.230
132,  97.044,  95.190
133,  97.154,  95.020
134,  97.142,  95.260
135,  97.278,  95.010
136,  97.264,  94.880
137,  97.282,  95.100
138,  97.284,  95.000
139,  97.340,  94.850
140,  97.224,  95.010
141,  97.546,  94.920
142,  97.404,  95.060
143,  97.442,  95.030
144,  97.482,  94.920
145,  97.588,  95.170
146,  97.472,  95.000
147,  97.580,  95.160
148,  97.554,  95.020
149,  97.652,  94.920
150,  97.406,  94.960
151,  97.484,  94.970
152,  97.378,  94.480
153,  97.456,  95.010
154,  97.624,  95.120
155,  97.450,  94.930
156,  97.624,  95.060
157,  97.538,  94.460
158,  97.628,  95.030
159,  97.542,  94.740
160,  97.558,  94.730
161,  98.164,  95.300
162,  98.422,  95.400
163,  98.542,  95.490
164,  98.578,  95.550
165,  98.618,  95.470
166,  98.652,  95.560
167,  98.754,  95.590
168,  98.752,  95.500
169,  98.758,  95.610
170,  98.826,  95.570
171,  98.838,  95.480
172,  98.890,  95.650
173,  98.860,  95.550
174,  98.902,  95.500
175,  98.916,  95.510
176,  98.900,  95.570
177,  98.906,  95.640
178,  98.946,  95.670
179,  98.912,  95.550
180,  98.994,  95.520
181,  98.938,  95.440
182,  98.982,  95.570
183,  98.976,  95.640
184,  99.032,  95.500
185,  98.952,  95.650
186,  99.134,  95.630
187,  99.052,  95.580
188,  98.996,  95.500
189,  99.070,  95.480
190,  99.054,  95.460
191,  99.116,  95.410
192,  98.990,  95.560
193,  99.078,  95.640
194,  99.014,  95.460
195,  99.096,  95.430
196,  99.132,  95.600
197,  99.182,  95.450
198,  99.126,  95.600
199,  99.104,  95.660
200,  99.078,  95.630
best: 178,  98.946,  95.670
