first_dataset,cifar10
first_model,resnet18
mng_dataset,cifar10
mng_model,resnet18
first_model_load_path,models/mng-per-ep-originalsetting-res18.pt
mng_load_data_path,
mng_save_data,False
batch_size,128
n_epochs,200
mng_epochs,300
learning_rate,0.1
data_augmentation,True
save_models,True
cutout,False
cutout_n_holes,1
cutout_len,16
seed,0
mango,True
mng_n_branches,4
mng_init_len,16
n_workers,2
experiment_name,res18-mngrandcolor_run0
device,cuda:0
""
epoch,train_acc,test_acc
1,  34.124,  48.320
2,  52.664,  57.590
3,  63.656,  62.090
4,  69.030,  69.270
5,  73.358,  75.290
6,  77.648,  74.640
7,  79.762,  76.400
8,  81.182,  76.420
9,  82.218,  70.520
10,  83.046,  77.900
11,  83.668,  78.840
12,  84.180,  79.140
13,  84.764,  80.060
14,  85.282,  80.560
15,  85.618,  83.080
16,  85.950,  80.430
17,  86.280,  82.840
18,  86.340,  79.440
19,  86.634,  83.550
20,  86.898,  76.830
21,  87.018,  80.840
22,  87.176,  81.020
23,  87.438,  83.410
24,  87.782,  81.010
25,  87.822,  83.230
26,  87.770,  81.990
27,  88.106,  85.610
28,  87.932,  77.710
29,  88.360,  78.700
30,  88.370,  75.610
31,  88.232,  83.950
32,  88.504,  85.320
33,  88.452,  83.540
34,  88.758,  85.800
35,  88.934,  80.720
36,  88.656,  83.200
37,  88.822,  82.150
38,  88.822,  81.210
39,  88.922,  80.450
40,  89.124,  85.030
41,  89.052,  84.010
42,  88.840,  84.960
43,  89.046,  86.360
44,  89.300,  77.230
45,  88.996,  85.430
46,  89.232,  75.830
47,  89.322,  83.250
48,  89.200,  85.450
49,  89.358,  85.150
50,  89.228,  86.560
51,  89.520,  82.720
52,  89.606,  85.850
53,  89.336,  85.450
54,  89.410,  73.720
55,  89.392,  83.850
56,  89.618,  83.200
57,  89.554,  86.170
58,  89.600,  81.380
59,  89.370,  84.200
60,  89.484,  83.230
61,  94.672,  92.340
62,  96.146,  92.840
63,  96.752,  92.560
64,  96.898,  92.890
65,  97.122,  93.210
66,  97.366,  91.840
67,  97.194,  92.380
68,  97.192,  92.820
69,  97.180,  91.760
70,  97.352,  91.810
71,  97.276,  91.610
72,  97.120,  91.950
73,  97.146,  92.070
74,  96.950,  91.090
75,  97.026,  91.190
76,  96.992,  91.640
77,  97.172,  91.930
78,  96.816,  90.970
79,  96.718,  91.130
80,  96.724,  90.410
81,  96.954,  90.810
82,  96.888,  90.840
83,  96.656,  92.020
84,  97.016,  91.740
85,  96.914,  91.370
86,  96.920,  90.960
87,  96.856,  91.230
