first_dataset,cifar10
first_model,resnet18
mng_dataset,cifar10
mng_model,resnet18
first_model_load_path,models/mng-per-ep-originalsetting-res18.pt
mng_load_data_path,
mng_save_data,True
batch_size,128
n_epochs,200
learning_rate,0.1
data_augmentation,True
save_models,True
cutout,False
cutout_n_holes,1
cutout_len,16
seed,0
mango,True
mng_n_branches,4
mng_init_len,16
n_workers,2
experiment_type,testmng
device,cuda:0
""
epoch,train_acc,test_acc
1,  31.932,  40.550
2,  47.210,  49.320
3,  56.456,  59.470
4,  63.618,  61.790
5,  69.004,  60.830
6,  72.772,  66.560
7,  75.750,  68.330
8,  77.994,  71.040
9,  79.834,  69.840
10,  81.394,  71.090
11,  82.656,  70.510
12,  84.258,  73.300
13,  85.406,  71.330
14,  86.650,  75.170
15,  87.018,  74.650
16,  87.794,  75.680
17,  88.352,  64.530
18,  88.694,  73.060
19,  89.324,  75.510
20,  89.416,  73.250
21,  89.694,  70.860
22,  90.188,  72.540
23,  90.076,  75.840
24,  90.198,  72.860
25,  90.382,  72.390
26,  90.512,  71.750
27,  90.744,  71.690
28,  90.556,  77.530
29,  90.658,  72.930
30,  91.168,  75.130
31,  90.964,  74.750
32,  90.948,  71.850
33,  91.116,  74.170
34,  91.006,  74.530
35,  91.330,  72.520
36,  91.162,  71.030
37,  91.344,  76.160
38,  91.456,  73.280
39,  91.246,  71.970
40,  91.154,  71.610
41,  91.352,  74.260
42,  91.350,  73.410
43,  91.558,  75.700
44,  91.600,  73.110
45,  91.178,  72.420
46,  91.648,  66.870
47,  91.722,  70.790
48,  91.680,  75.140
49,  91.674,  74.060
50,  91.628,  73.710
51,  91.642,  75.100
52,  91.916,  75.840
53,  91.598,  75.910
54,  91.640,  69.480
55,  91.826,  75.140
56,  92.002,  75.370
57,  91.590,  73.760
58,  91.674,  73.300
59,  91.998,  75.980
60,  91.902,  74.580
61,  98.488,  81.510
62,  99.978,  81.890
63,  99.998,  82.150
64,  99.998,  82.210
65,  100.000,  82.240
66,  100.000,  82.130
67,  100.000,  82.180
68,  100.000,  82.280
69,  100.000,  82.460
70,  99.998,  82.360
71,  99.998,  82.200
72,  100.000,  82.480
73,  100.000,  82.500
74,  100.000,  82.470
75,  100.000,  82.460
76,  100.000,  82.490
77,  100.000,  82.480
78,  100.000,  82.660
79,  100.000,  82.630
80,  100.000,  82.640
81,  100.000,  82.750
82,  100.000,  82.510
83,  100.000,  82.700
84,  100.000,  82.700
85,  100.000,  82.630
86,  100.000,  82.570
87,  100.000,  82.830
88,  100.000,  82.820
89,  100.000,  82.760
90,  100.000,  82.630
91,  100.000,  82.820
92,  100.000,  82.630
93,  100.000,  82.800
94,  100.000,  82.780
95,  100.000,  82.620
96,  100.000,  82.550
97,  99.984,  68.940
98,  78.390,  74.770
99,  89.256,  77.800
100,  95.128,  75.500
101,  96.478,  75.850
102,  97.412,  77.360
103,  98.438,  75.850
104,  98.660,  75.800
105,  98.998,  78.200
106,  99.124,  77.480
107,  99.030,  78.450
108,  98.632,  77.500
109,  97.854,  76.940
110,  98.434,  76.250
111,  98.918,  78.730
112,  98.698,  76.480
113,  98.596,  77.470
114,  99.086,  78.860
115,  99.432,  78.190
116,  99.220,  79.040
117,  99.076,  77.570
118,  99.344,  77.960
119,  97.536,  76.310
120,  98.014,  73.960
121,  99.592,  82.140
122,  99.994,  82.130
123,  100.000,  82.260
124,  100.000,  82.240
125,  100.000,  82.400
126,  100.000,  82.240
127,  100.000,  82.430
128,  100.000,  82.500
129,  100.000,  82.320
130,  100.000,  82.530
131,  100.000,  82.300
132,  100.000,  82.380
133,  100.000,  82.580
134,  100.000,  82.610
135,  100.000,  82.560
136,  100.000,  82.650
137,  100.000,  82.760
138,  100.000,  82.680
139,  100.000,  82.560
140,  100.000,  82.350
141,  100.000,  82.600
142,  100.000,  82.750
143,  100.000,  82.470
144,  100.000,  82.970
145,  100.000,  82.800
146,  100.000,  82.670
147,  100.000,  82.750
148,  100.000,  82.920
149,  100.000,  82.730
150,  100.000,  82.930
151,  100.000,  82.880
152,  100.000,  82.970
153,  100.000,  83.020
154,  100.000,  82.870
155,  100.000,  82.830
156,  100.000,  83.200
157,  100.000,  83.020
158,  100.000,  83.030
159,  100.000,  82.910
160,  100.000,  83.350
161,  100.000,  83.180
162,  100.000,  83.050
163,  100.000,  83.160
164,  100.000,  83.100
165,  100.000,  83.050
166,  100.000,  82.930
167,  100.000,  82.970
168,  100.000,  83.260
169,  100.000,  82.710
170,  100.000,  83.090
171,  100.000,  83.220
172,  100.000,  83.290
173,  100.000,  83.170
174,  100.000,  82.830
175,  100.000,  82.910
176,  100.000,  83.250
177,  100.000,  83.160
178,  100.000,  82.770
179,  100.000,  82.870
180,  100.000,  83.370
181,  100.000,  83.240
182,  100.000,  83.080
183,  100.000,  83.070
184,  100.000,  83.160
185,  100.000,  83.100
186,  100.000,  83.190
187,  100.000,  82.950
188,  100.000,  82.930
189,  100.000,  83.410
190,  100.000,  83.250
191,  100.000,  83.060
192,  100.000,  82.870
193,  100.000,  83.310
194,  100.000,  83.110
195,  100.000,  82.990
196,  100.000,  83.300
197,  100.000,  83.040
198,  100.000,  83.200
199,  100.000,  82.930
200,  100.000,  82.850
