first_dataset,cifar10
first_model,resnet18
mng_dataset,cifar10
mng_model,resnet18
first_model_load_path,
mng_load_data_path,
mng_save_data,False
batch_size,128
n_epochs,200
learning_rate,0.1
data_augmentation,True
save_models,True
cutout,False
fixedcutout,True
cutout_n_holes,1
cutout_len,16
seed,0
mango,False
mng_n_branches,4
mng_init_len,16
n_workers,2
experiment_type,fixedcutout
device,cuda:0
""
epoch,train_acc,test_acc
1,  27.246,  38.660
2,  40.394,  47.370
3,  48.994,  50.260
4,  55.762,  57.350
5,  61.560,  58.720
6,  65.920,  71.820
7,  69.936,  70.610
8,  72.358,  62.720
9,  74.212,  78.470
10,  75.370,  78.890
11,  76.726,  77.740
12,  77.356,  80.450
13,  77.896,  77.750
14,  78.474,  78.590
15,  79.126,  80.620
16,  79.242,  77.660
17,  79.580,  79.340
18,  79.910,  80.000
19,  80.052,  82.580
20,  80.640,  79.670
21,  80.488,  79.880
22,  80.694,  82.500
23,  81.172,  83.540
24,  81.380,  83.550
25,  81.396,  80.570
26,  81.632,  83.790
27,  81.442,  80.820
28,  81.716,  81.360
29,  81.816,  80.480
30,  82.282,  81.490
31,  82.128,  84.030
32,  82.248,  83.200
33,  82.202,  83.230
34,  82.400,  81.210
35,  82.440,  83.130
36,  82.484,  83.980
37,  82.568,  84.530
38,  82.530,  78.960
39,  82.486,  84.210
40,  82.520,  81.440
41,  82.554,  80.850
42,  82.786,  86.040
43,  83.036,  79.180
44,  82.890,  86.280
45,  82.954,  82.960
46,  82.740,  85.540
47,  83.190,  80.870
48,  83.222,  85.370
49,  83.256,  85.490
50,  83.174,  77.730
51,  83.002,  77.060
52,  83.204,  82.550
53,  83.266,  82.720
54,  83.324,  84.280
55,  83.376,  81.940
56,  83.246,  85.670
57,  83.320,  82.740
58,  83.440,  84.060
59,  83.682,  83.380
60,  83.142,  85.360
61,  89.212,  92.200
62,  90.560,  92.460
63,  91.150,  92.810
64,  91.482,  92.450
65,  91.654,  92.330
66,  91.810,  92.380
67,  91.856,  92.610
68,  91.940,  91.590
69,  91.856,  92.430
70,  91.844,  92.670
71,  92.100,  92.250
72,  91.798,  92.240
73,  91.946,  91.890
74,  91.632,  91.440
75,  91.748,  91.500
76,  91.760,  91.280
77,  91.768,  91.490
78,  91.836,  92.320
79,  92.090,  90.910
80,  91.680,  91.460
81,  91.860,  91.670
82,  92.010,  91.500
83,  91.878,  92.000
84,  91.952,  91.990
85,  91.996,  91.920
86,  92.080,  90.990
87,  91.834,  92.380
88,  92.220,  92.250
89,  92.070,  92.640
90,  92.288,  91.800
91,  91.974,  92.140
92,  92.088,  91.430
93,  92.274,  89.940
94,  92.126,  90.680
95,  92.228,  92.240
96,  92.116,  92.400
97,  92.272,  91.900
98,  92.270,  91.830
99,  92.510,  92.740
100,  92.484,  92.960
101,  92.388,  92.100
102,  92.416,  91.670
103,  92.218,  92.510
104,  92.408,  91.700
105,  92.666,  92.110
106,  92.502,  92.200
107,  92.420,  92.290
108,  92.584,  92.140
109,  92.652,  91.930
110,  92.594,  90.820
111,  92.536,  91.660
112,  92.642,  91.980
113,  92.658,  92.130
114,  92.582,  91.100
115,  92.660,  92.230
116,  92.608,  91.630
117,  92.696,  91.590
118,  92.510,  91.920
119,  92.786,  92.090
120,  92.744,  91.180
121,  95.466,  95.190
122,  96.128,  95.310
123,  96.564,  95.160
124,  96.814,  95.190
125,  97.000,  95.390
126,  97.118,  95.300
127,  97.124,  95.190
128,  97.236,  95.310
129,  97.340,  95.190
130,  97.394,  95.610
131,  97.466,  95.320
132,  97.544,  95.320
133,  97.516,  94.990
134,  97.638,  95.280
135,  97.668,  95.170
136,  97.592,  95.100
137,  97.664,  95.200
138,  97.690,  95.260
139,  97.714,  95.480
140,  97.662,  95.140
141,  97.724,  95.110
142,  97.854,  95.280
143,  97.826,  95.250
144,  97.900,  95.240
145,  97.768,  95.060
146,  97.696,  95.240
147,  97.756,  95.280
148,  97.936,  95.330
149,  97.868,  95.060
150,  97.854,  95.230
151,  97.840,  95.190
152,  97.856,  95.010
153,  97.800,  95.040
154,  97.728,  95.040
155,  97.896,  94.940
156,  97.994,  95.170
157,  97.958,  94.990
158,  97.834,  95.110
159,  97.836,  95.020
160,  97.762,  94.890
161,  98.272,  95.440
162,  98.612,  95.660
163,  98.636,  95.610
164,  98.824,  95.610
165,  98.744,  95.660
166,  98.880,  95.560
167,  98.916,  95.620
168,  98.808,  95.690
169,  98.848,  95.770
170,  98.814,  95.830
171,  98.850,  95.750
172,  98.884,  95.810
173,  98.918,  95.730
174,  98.928,  95.750
175,  99.004,  95.760
176,  98.960,  95.800
177,  98.930,  95.770
178,  99.028,  95.810
179,  99.002,  95.850
180,  99.042,  95.700
181,  98.998,  95.860
182,  99.032,  95.870
183,  99.008,  95.830
184,  98.994,  95.800
185,  99.000,  95.970
186,  98.984,  95.930
187,  99.006,  95.780
188,  99.064,  95.790
189,  99.056,  95.740
190,  99.090,  95.760
191,  99.070,  95.730
192,  99.110,  95.880
193,  99.052,  95.840
194,  99.150,  95.760
195,  99.110,  95.720
196,  99.102,  95.740
197,  99.128,  95.750
198,  99.120,  95.840
199,  99.090,  95.970
200,  99.130,  95.870
